"","Acidimicrobiia","Acidithiobacillia","Acidobacteriia","Actinobacteria","Alphaproteobacteria","Anaerolineae","Bacilli","Bacteroidia","Betaproteobacteria","Candidatus Brocadiae","Chitinophagia","Chlamydiia","Clostridia","Cytophagia","Dehalococcoidia","Deinococci","Deltaproteobacteria","Elusimicrobia","Epsilonproteobacteria","Erysipelotrichia","Flavobacteriia","Fusobacteriia","Gammaproteobacteria","Gemmatimonadetes","Methylacidiphilae","Mollicutes","Negativicutes","Nitriliruptoria","Nitrospira","Oligoflexia","Opitutae","Phycisphaerae","Planctomycetia","Saprospiria","Sphingobacteriia","Spirochaetia","Tepidiformia","Thermoleophilia","Thermoplasmata","Tissierellia","Unclassified","Verrucomicrobiae","Vicinamibacteria","Zetaproteobacteria"
"Meltwater_A",0.000497457811646803,0,0,0,0.333183248098821,0,0,8.29096352744672e-05,0.00269811641650338,0.000165819270548934,0,5.52730901829781e-05,0.00125746280166275,0,0,0,0.000138182725457445,0.000165819270548934,0.000129691049591345,0,0.185438789347007,0.00110584469493248,0.418618478725044,0,0,0.00290232782416419,0,0,0,8.29096352744672e-05,0,0,0.00149237343494041,0.00257019869350848,0,0.00902291735622495,0,0,0.00149237343494041,0.00156343883660424,0.0354294462358094,0.00190692161131275,0,0
"Meltwater_B",0.00304732831185034,0,0.00858236754494888,0.030155069308161,0.440315875599696,0,3.918889289931e-05,0.0100135459136317,0.0368121541120235,0.000376213371833376,0.000940533429583439,0,0.00942380454478037,0.101436530380574,0,0,0,0,0.000846480086625095,0,0.0408123152730942,0,0.108528696490564,0,0,0.00336505052187945,0,0,0,0,0.0040489964143567,0,0.00376213371833376,0,0.00712454072909455,0.0123297779595952,0.000188106685916688,0.00766534745110503,0,0,0.162828406748939,0.00157325591857593,0.00578428059193815,0
"Meltwater_C",0.00147643550472435,0,0,0.0357297392143292,0.279994217851764,0,0,0,0.115513768311176,0,0,0.0202271664147235,0.032851817986869,0.07884165595228,0,0.00115989668060541,0.000553663314271629,0,0.00184554438090543,0,0.0422137518059102,0.000233768954914688,0.115313362596444,0.00620102911984225,0,0.00706854418267732,0.0066255043274505,0,0,0.00882170214072796,0,0,0.0145315325253446,0,0,0.00527137538839579,0,0,0,0,0.225525523346644,0,0,0
"Meltwater_T-S_A",0,0,0,0,0.171530054514954,0,0.000238318936457039,0.000625587208199729,0,0,0,0,0.000545154567145478,0,0,0,0,0.00196613122577058,4.46848005856949e-05,0,0.513029924807274,0.000336694776506166,0.25948955944903,0,0,0.00188314516754,0,0,0,0,0,0,0,0.00250234883279891,0,0.00051116070950365,0,0,0,0.0438166387457443,0.00348059625849061,0,0,0
"Meltwater_T-S_B",0,0,0,0.000719776381455043,0.103541546225597,0,0,0.0627902124905641,0.000132203825165212,0,0,0,0.0112487634893622,0,0,0,0.000329040631522305,0.00215932914436513,2.57062993376801e-05,0.0105322380714952,0.36889401152572,0.000559560376280665,0.161231402741419,0,0,0.00776543191590086,0,0,0,0,0,0,0,0.00125103990110043,0,0.00111393963796614,0,0,0,0.0238848244131816,0.243820972929567,0,0,0
"Meltwater_T-S_C",0,0,0,0,0.144183306883359,0,0,0.000194908153948441,0.00242885545689596,0,0,0,0.000584724461845324,0,0,0,0,0.000584724461845324,0,0,0.398693954812379,0.000979073517508449,0.374157335347766,0,0,0.0148949865695569,0,0,0,0,0,0,0,0.00409307123291727,0,0.00947581511065226,0,0,0,0.0308233323458464,0.0189059116454794,0,0,0
"Sea ice_1_A",0.000233157883115723,0,0,0,0.181493758850691,0,0.000133233076066127,0.00785705056912189,0.00212432737949881,0,0.00010362572582921,0,0.00158547360518691,0,0,0,2.33157883115722e-05,0.00093263153246289,0.000777192943719075,0,0.441229916264733,0.000292802922982535,0.303457634086726,0,0,0.000223878212507073,0,0.000233157883115723,0,0.00062175435497526,0,0,0,0.0336265480315787,0,0,0,0,0.00295333318613249,0.0142559391390756,0.0024786372525079,0.00536263131166162,0,0
"Sea ice_1_B",0.000909875387233846,0,0,0,0.308067322028378,0,0.000285451101877285,0.0017560340106558,0.00873582318566591,0,0,0.000192679493767167,0.0027477805380984,0.0117201464912449,0,0,0,0,0.000939824977577088,0,0.272454630447749,0.000270173024776124,0.341302161176219,0,0,0.00234420383442566,0,0,0,0.00101691955043783,0.00246201575369158,0,0.000642264979223891,0.0141476702367929,0,0.00946166299623014,0,0,0,0.000244672373037673,0.0185324597200515,0.0017662286928657,0,0
"Sea ice_1_C",0,0,0,0,0.233986456374128,0,0,0.00421443026631523,0.00131880130782653,0,0.00125763950804328,0,0.0018088602285899,0.000923160915478575,0,0.000121628579114437,0,0.000240824586646585,0.00200687155538821,0,0.238577620481557,0.00021842229951667,0.416325059539675,0,0,0.000454574219764855,0,0.000481649173293169,0,0.000722473759939754,0.0111983432790662,0,0.000321099448862113,0.0437257174487982,0,0.000487532574409802,0,0,0,0.00201547243348273,0.0145877424399673,0.025005619580137,0,0
"Sea ice_2",0.0002885640732603,0,0,0,0.228439230810491,0,0,0.00550310748007162,0.00111702221907213,0,0.00347518023711329,0,0.0016755333286082,0.000698138886920081,0,0.000141038158973754,0.000193065568728516,0,0.000232712962306694,0,0.257136854484439,0,0.371686917215994,0,0,0.000286711024989016,0,0.00111702221907213,0,0.000791224071842759,0.00134042666288656,0,0,0.0966472446657187,0,0,0,0,0,0,0.0192275796950941,0.00981625586457327,0,0.000186170369845355
