"","Acantharea","Apusomonadidae_Group-1","Archamoebea","Bacillariophyta","Bicoecea","Bolidophyceae","Centroheliozoa_X","Chlorarachniophyceae","Chlorodendrophyceae","Chlorophyceae","Chrysophyceae","Ciliophora_X","Coccidiomorphea","Colpodea","Colpodellidea","CONThreeP","Cryptophyceae","Cyclotrichium_like_organism","Dictyochophyceae","Dinophyceae","Discosea-Flabellinia","Embryophyceae","Endomyxa-Ascetosporea","Endomyxa-Phytomyxea","Euglenozoa","Eustigmatophyceae","Filosa-Granofilosea","Filosa-Imbricatea","Filosa-Sarcomonadea","Filosa-Thecofilosea","Florideophyceae","Heterolobosea","Heterotrichea","Labyrinthulomycetes","Litostomatea","Mamiellophyceae","MAST-1","MAST-12","MAST-2","MAST-3","MAST-7","Mycetozoa-Myxogastrea","Nephroselmidophyceae","Oligohymenophorea","Oomycota","Opalinata","Pelagophyceae","Phaeodarea","Phaeophyceae","Phyllopharyngea","Picozoa_X","Pirsonia_Clade","Placidideae","Planomonadida","Porphyridiophyceae","Preaxostyla","Prymnesiophyceae","Pyramimonadales","Spirotrichea","Syndiniales","Synurophyceae","Telonemia_X","Tubulinea","Ulvophyceae","Unclassified Eukaryota"
"Meltwater_A",5.10006324078419e-05,0,0,0.649589954915441,0.00021930271935372,0.000601807462412534,0,0.000265203288520778,0,0,4.59005691670577e-05,0,0.000198902466390583,0,0,0,0.0457679675227973,3.06003794447051e-05,0.0116434443787103,0.0763428466512985,3.06003794447051e-05,0,0,0,0.000102001264815684,0,0.000489606071115282,0.000459005691670577,0.000382504743058814,0.00744099226830413,0.000423305248985087,6.63008221301944e-05,0,0,0,0.00213692649788857,0.017345315081907,0.000892511067137233,0.00144841796038271,0.00059670739917175,0.000703808727228218,0,0,2.55003162039209e-05,0,0,0.0092566147820233,9.18011383341153e-05,0.00120871498806585,0.000193802403149799,0.00255513168363288,0.000142801770741957,0.01703931128746,0,0.00155041922519839,0.000270303351761562,0.0318039943695302,0.00835900365164528,0.0501846222893164,0.000826210245007038,0,0.00725228992839511,0,0,0.0519645443603501
"Meltwater_B",0,0,0,0.508030945648759,0,0,0,0,0,0,0.0124194941878731,0,0,0,0,0,0.0193606660383286,0,0.00398601947847942,0.0820668394596293,0.00397620169651272,0.00674481621112158,0,0,0.025202246308514,0,0.018437794533459,0.110135878102419,0.0131852811812755,0.000314169022934339,0,0,0,0,0.00331841030474395,0.00237590323594094,0.0238473923971096,0.00147266729500471,0,0,0,0,0,0,0,0,0.0167000471253534,0,0,0,0.00390747722274584,0,0.0103184888469997,0,0,0.011251178133836,0.0151881087024819,0.0208038799874332,0.0269694470625196,0.000392711278667923,0,0.0295711592836946,0.00246426327364122,0,0.0275585139805215
"Meltwater_C",0,0,0,0.457695712659669,0,0,0,0,0,0,0.0148981914759074,0,0.0170734791956494,0,0,0,0.00786644745162514,0,0.00422410522321993,0.0950550145440749,0,0,0,0,0.0113570254205135,0,0.0298722650815733,0.0985455925129632,0.00227646389275326,0.0279246237511066,0,0,0,0,0,0.0125711394966485,0.000632351081320349,0,0,0,0,0,0,0,0,0,0.0284557986594157,0,0,0,0,0,0,0,0,0.00665233337549007,0.0230428734033135,0.0121917288478563,0.0299228531680789,0,0,0.0179840647527507,0.0225116984950044,0,0.0792462375110661
"Meltwater_T-S_A",0,0,0,0.787984661269706,0,0.000294379672308944,0,0,0,0,0.000154936669636286,0,0,0,0,0,0.0505558353023202,0,0.0324050044544293,0.0102258201959949,0,0,0,0,0,0,0,0,0,0.0116667312236124,0,0,0,1.54936669636286e-05,0,0.01276678157803,0.00804895998760507,0,0.000209164504008986,0,0,0,0,0,0,0,0.000154936669636286,0,0,4.64810008908859e-05,0.00138668319324476,0,0,0,0.00180501220126273,0,0.0181120966804819,0.00199868303830809,0.0011387845218267,0.000309873339272572,0,0.00055777201069063,0,0,0.0601619088197699
"Meltwater_T-S_B",0,0,0,0.798187353588882,0,0.000298305798538302,0,0,0,0,0.00023688989883924,0,0,0,0,0,0.0509050071505655,0,0.0337962922343982,0.00779981926178088,0,0,0,0,0,0,0,0,0,0.0139852777314721,0,0,0,0,0,0.0124411065390386,0.00639602726865947,0,0.000184247699097186,0,0,0,0,0,0,0,9.65106995270976e-05,0,0,0,0.00153539749247655,0,0,0,0.00204427208998307,0,0.00825605165954535,0.0018775717907999,0.00186002439088588,0.000193021399054195,0,0.000491327197592497,0,0,0.0594154961088641
"Meltwater_T-S_C",0,0,0,0.79488765087164,3.37300360349218e-05,0.000432868795781497,0,0,0,0,0,0,0,0,0,0,0.0240888674016067,8.43250900873046e-05,0.0173653468853123,0.0151728945430423,0,0,0,0,5.62167267248697e-06,0,0,2.24866906899479e-05,0.000163028507502122,0.00684719731508913,2.24866906899479e-05,0,0,0,0,0.00130984973268946,0.0225091773806378,0,0,0.000101190108104765,0.000309191996986783,0,0,0,0,0,0.00552048256438221,0,0.000163028507502122,0,0.00120303795191221,0,0.000247353597589427,0,0.0010793611531175,5.62167267248697e-06,0.0467554516170741,0.00479528678963139,0.013829314774318,0.000337300360349218,0,0.00508761376860071,0,0,0.0376202335242828
"Sea ice_1_A",0,0.000292622824580317,0,0.606714923764054,0,0.000431233636223625,0,4.62036038811027e-05,1.54012012937009e-05,0.000554443246573233,0.00244879100569844,0,6.16048051748036e-05,0,0,0,0.0315724626520869,0.000107808409055906,0.0110426613275836,0.190081626366857,0,0,0,0,0.00255659941475435,0,0.00104728168797166,0.0168797166178962,0.00107808409055906,0.0302941629447097,0,1.54012012937009e-05,0,0.00149391652548899,9.24072077622055e-05,0.00586785769290005,0.00274141383027876,0,0,0,9.24072077622055e-05,0,0,0.000354227629755121,0,7.70060064685045e-05,0.00269521022639766,0.000107808409055906,7.70060064685045e-05,0.000785461265978746,0.000723856460803943,0.00280301863545357,0.000939473278915755,0,0.00115509009702757,0.000261820421992915,0.0068381333744032,0.00127829970737718,0.0050053904204528,0.0085168643154166,0.0033574618820268,0.00100107808409056,0,0,0.0584937625134761
"Sea ice_1_B",0,9.46239063660053e-05,0,0.564315141280771,6.55088582533883e-05,0.000960796587716361,0,0.000160132764619394,0,0.000509513341970798,0.00331183672281018,0,8.00663823096968e-05,0,0.000451283245745564,0,0.0413870408920851,0,0.00893831977057342,0.0949223356091596,0,2.18362860844628e-05,0.00010190266839416,0,0.000625973534421266,0,0.00104086297002606,0.0164572809456568,0.0029115048112617,0.04152533737062,0,0.000131017716506777,0,0,0.000516792103998952,0.0058230096225234,0.012315665351637,0.00178329669689779,0.00155037631199686,0,0.000422168197632947,0,0,0.000575022200224186,0,0,0.00732243460032318,0,0.000815221347153276,0.000152854002591239,0.0038504651128936,0.00113548687639206,0.015525599406053,0,0.00225641622872782,0.000545907152111569,0.0289767516340821,0.00933137292009375,0.0523925290786543,0.0020526108919395,0.000807942585125122,0.00644898315694467,0,0,0.067386778856652
"Sea ice_1_C",0,0.000677119284751668,0,0.503776747855241,0,0.000880912467541005,6.57397363836571e-05,0.000223515103704434,1.31479472767314e-05,0.000381290471025211,0.00537751043618315,0.000177497288235874,7.88876836603885e-05,0.000348420602833383,9.20356309371199e-05,0,0.0118594484436117,0,0.00543010222529008,0.147421358840351,3.28698681918285e-05,0,0,2.62958945534628e-05,0.00302402787364823,0,0.00262958945534628,0.0298458403181803,0.00608749958912665,0.1045064589291,7.88876836603885e-05,0,3.94438418301943e-05,0.0006902672320284,6.57397363836571e-05,0.00569963514446307,0.00579167077540019,1.31479472767314e-05,0.000381290471025211,0.000802024783880617,0.000315550734641554,1.31479472767314e-05,0,0.000328698681918286,0.000289254840088091,4.601781546856e-05,0.00308976761003188,0.00151201393682411,0.000216941130066068,0.00120961114945929,0.000999243993031588,0.0020708016960852,0.00473326101962331,0,0.000387864444663577,0.00527890083160767,0.0499030338888341,0.00165664135686816,0.0205962594089998,0.0032409690037143,0.00986753443118693,0.00319495118824574,0,1.97219209150971e-05,0.0545113894093285
"Sea ice_2",0,0.00140129619898406,0,0.50544753897355,0,0.0023121387283237,0.00119110176913645,0,0,0,0.0683131897004729,0,0.000280259239796812,0.000315291644771414,0,0,0.000175162024873008,0,0.00367840252233316,0.207987388334209,0,0,0,0,0.00847784200385356,0,0.000595550884568226,0.0306883867577509,0.0186022070415134,0.031914520931862,0,0,0,0.00672622175512349,0.000630583289542827,0.00304781923279033,0.0093886845331932,0,0,0.000560518479593624,0,0.000665615694517429,0,0.00108600455421265,0,0,0,0.000980907339288842,0,0.00115606936416185,0.000280259239796812,0,0,0,0,0.00868803643370117,0.00893326326852338,0,0.00900332807847259,0.00315291644771414,0.000420388859695218,0.000385356454720617,0,0,0.0635137502189525
