MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,196465,200825,Smp,20ppt3C,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,167503,200825,Smp,20ppt3C,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,413953,200825,Smp,20ppt3C,C,200825,413953,200825_Smp_20ppt3C_C 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,359780,200825,Smp,35ppt0C,A,200825,359780,200825_Smp_35ppt0C_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,412514,200825,Smp,35ppt0C,B,200825,412514,200825_Smp_35ppt0C_B 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,137139,200825,Smp,35ppt0C,C,200825,137139,200825_Smp_35ppt0C_C 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,66945,200825,Smp,50ppt-3C,A,200825,66945,200825_Smp_50ppt-3C_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,88612,200825,Smp,50ppt-3C,B,200825,88612,200825_Smp_50ppt-3C_B 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,83265,200825,Smp,50ppt-3C,C,200825,83265,200825_Smp_50ppt-3C_C 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,5440,200825,Smp,Ev15SW,A,200825,5440,200825_Smp_Ev15SW_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,66368,200825,Smp,Ev32Core,A,200825,66368,200825_Smp_Ev32Core_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,65102,200825,Smp,Ev32Core,B,200825,65102,200825_Smp_Ev32Core_B 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,5440,200825,Smp,Ev32Core,C,200825,5440,200825_Smp_Ev32Core_C 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,180296,200825,Smp,Ev37Core,A,200825,180296,200825_Smp_Ev37Core_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,634376,200825,Smp,Ev51Slush,A,200825,634376,200825_Smp_Ev51Slush_A 3OC12-HSL
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,48223,200825,Smp,EvXCore,A,200825,48223,200825_Smp_EvXCore_A 3OC12-HSL
