MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Rank,RankPercent
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.40559102755442344,0.22087670624226607,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,RP,0,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine_X_RP,0.6,76.76311476,NA,NA,30,0
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,Inj_vol,0.537899526020174,0.537899526020174,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,RP,0,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine_X_RP,0.6,76.76311476,NA,NA,30,0
"2,4 decadienal",Inj_vol,0.7083091452461996,0.7083091452461996,NA,200825,Smp,20ppt3C_A,A,200825,NA,"200825_Smp_20ppt3C_A 2,4 decadienal",RP,0,"2,4 decadienal_X_RP",0.6,76.76311476,NA,NA,30,0
"2,4 octadienal",Inj_vol,0.6603165844812365,0.6603165844812365,NA,200825,Smp,20ppt3C_A,A,200825,NA,"200825_Smp_20ppt3C_A 2,4 octadienal",RP,0,"2,4 octadienal_X_RP",0.6,76.76311476,NA,NA,30,0
3 Indolebutyric Acid,Inj_vol,0.3453492577105907,0.3453492577105907,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3 Indolebutyric Acid,RP,0,3 Indolebutyric Acid_X_RP,0.6,76.76311476,NA,NA,30,0
3 Indolepropionic Acid,Inj_vol,0.26548681911875144,0.26548681911875144,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3 Indolepropionic Acid,RP,0,3 Indolepropionic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
3-Indoleacetonitrile,"Indole 3 Acetic Acid, D5",0.20443087139254643,0.02079674471266443,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3-Indoleacetonitrile,RP,0,3-Indoleacetonitrile_X_RP,0.6,76.76311476,NA,NA,30,0
3OC10-HSL,Inj_vol,0.20454390911357967,0.20454390911357967,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3OC10-HSL,RP,0,3OC10-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,196465,200825,Smp,20ppt3C_A,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL,RP,196465,3OC12-HSL_X_RP,0.6,76.76311476,327441.6666666667,2559.3672249262963,18,0.4
3OC6-HSL,Inj_vol,0.7070188314295138,0.7070188314295138,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3OC6-HSL,RP,0,3OC6-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,56276,200825,Smp,20ppt3C_A,A,200825,57991.75549372448,200825_Smp_20ppt3C_A 3OC8-HSL,RP,56276,3OC8-HSL_X_RP,0.6,76.76311476,96652.92582287414,755.4638145551519,26,0.1333333333333333
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,480086,200825,Smp,20ppt3C_A,A,200825,480086,200825_Smp_20ppt3C_A 3OHC12-HSL,RP,480086,3OHC12-HSL_X_RP,0.6,76.76311476,800143.3333333334,6254.123500602987,14,0.5333333333333333
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,168941,200825,Smp,20ppt3C_A,A,200825,168941,200825_Smp_20ppt3C_A 7-dehydrocholesterol,RP,168941,7-dehydrocholesterol_X_RP,0.6,76.76311476,281568.3333333334,2200.809601436762,19,0.3666666666666667
Abscisic Acid,Inj_vol,0.5948010832827125,0.5948010832827125,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Abscisic Acid,RP,0,Abscisic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Acetosyringone,Inj_vol,0.24792455412610317,0.24792455412610317,50847,200825,Smp,20ppt3C_A,A,200825,50847,200825_Smp_20ppt3C_A Acetosyringone,RP,50847,Acetosyringone_X_RP,0.6,76.76311476,84745,662.3884421440328,27,0.09999999999999998
Acetovanillone,Inj_vol,0.7897289637909989,0.7897289637909989,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Acetovanillone,RP,0,Acetovanillone_X_RP,0.6,76.76311476,NA,NA,30,0
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,20833194,200825,Smp,20ppt3C_A,A,200825,21468361.15930997,200825_Smp_20ppt3C_A Adenosyl Methionine,RP,20833194,Adenosyl Methionine_X_RP,0.6,76.76311476,35780601.93218328,279670.27167189395,4,0.8666666666666667
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,162104,200825,Smp,20ppt3C_A,A,200825,167046.26363911282,200825_Smp_20ppt3C_A Agmatine,RP,162104,Agmatine_X_RP,0.6,76.76311476,278410.4393985214,2176.126700452206,20,0.33333333333333337
Aminobenzoic Acid,Inj_vol,0.5114016306311635,0.5114016306311635,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Aminobenzoic Acid,RP,0,Aminobenzoic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
C10-HSL,Inj_vol,0.9262008018419345,0.9262008018419345,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A C10-HSL,RP,0,C10-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
C12-HSL,Inj_vol,0.20572058228250228,0.20572058228250228,98561,200825,Smp,20ppt3C_A,A,200825,98561,200825_Smp_20ppt3C_A C12-HSL,RP,98561,C12-HSL_X_RP,0.6,76.76311476,164268.33333333334,1283.9630115082111,23,0.23333333333333328
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,764454,200825,Smp,20ppt3C_A,A,200825,700853.6009525832,200825_Smp_20ppt3C_A C14-HSL,RP,764454,C14-HSL_X_RP,0.6,76.76311476,1168089.3349209721,9130.082893897716,11,0.6333333333333333
C4-HSL,"Indole 3 Acetic Acid, D5",0.49066820013581464,0.367452377816696,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A C4-HSL,RP,0,C4-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
C6-HSL,Inj_vol,1.2210316309898446,1.2210316309898446,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A C6-HSL,RP,0,C6-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
C8-HSL,Inj_vol,0.5414204917688966,0.5414204917688966,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A C8-HSL,RP,0,C8-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
Caffeine,Inj_vol,0.48306858005634506,0.48306858005634506,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Caffeine,RP,0,Caffeine_X_RP,0.6,76.76311476,NA,NA,30,0
Camalexin,Inj_vol,0.6476252141375256,0.6476252141375256,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Camalexin,RP,0,Camalexin_X_RP,0.6,76.76311476,NA,NA,30,0
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,459832,200825,Smp,20ppt3C_A,A,200825,459832,200825_Smp_20ppt3C_A Carotene,RP,459832,Carotene_X_RP,0.6,76.76311476,766386.6666666667,5990.272820972227,15,0.5
cinnamoyl-HSL,Inj_vol,0.715640120116691,0.715640120116691,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A cinnamoyl-HSL,RP,0,cinnamoyl-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
Coenzyme B12,Inj_vol,1.0447508835915482,1.0447508835915482,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Coenzyme B12,RP,0,Coenzyme B12_X_RP,0.6,76.76311476,NA,NA,30,0
Coenzyme Q1,Inj_vol,0.37887335009514855,0.37887335009514855,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Coenzyme Q1,RP,0,Coenzyme Q1_X_RP,0.6,76.76311476,NA,NA,30,0
Coenzyme Q10,Inj_vol,0.21913840860552228,0.21913840860552228,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Coenzyme Q10,RP,0,Coenzyme Q10_X_RP,0.6,76.76311476,NA,NA,30,0
Cys-Gly,Inj_vol,0.47254606595266346,0.47254606595266346,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Cys-Gly,RP,0,Cys-Gly_X_RP,0.6,76.76311476,NA,NA,30,0
Decarboxylated S-Adenosylmethionine,Inj_vol,0.40109385236301076,0.40109385236301076,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Decarboxylated S-Adenosylmethionine,RP,0,Decarboxylated S-Adenosylmethionine_X_RP,0.6,76.76311476,NA,NA,30,0
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,80089,200825,Smp,20ppt3C_A,A,200825,80089,200825_Smp_20ppt3C_A Desthiobiotin,RP,80089,Desthiobiotin_X_RP,0.6,76.76311476,133481.6666666667,1043.3266061492996,24,0.19999999999999996
Dimethyl glycine,"Pyridoxal, D3",0.41237449063336584,0.26687834500513763,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Dimethyl glycine,RP,0,Dimethyl glycine_X_RP,0.6,76.76311476,NA,NA,30,0
Dimethyl-benzimidazole,Inj_vol,1.2903183502445554,1.2903183502445554,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Dimethyl-benzimidazole,RP,0,Dimethyl-benzimidazole_X_RP,0.6,76.76311476,NA,NA,30,0
Domoic Acid,Inj_vol,1.2472257273016407,1.2472257273016407,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Domoic Acid,RP,0,Domoic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Ethyl 3 aminobenzoate,Inj_vol,0.40480703257741996,0.40480703257741996,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Ethyl 3 aminobenzoate,RP,0,Ethyl 3 aminobenzoate_X_RP,0.6,76.76311476,NA,NA,30,0
Ferulic Acid,Inj_vol,0.6743221319126758,0.6743221319126758,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Ferulic Acid,RP,0,Ferulic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,41234,200825,Smp,20ppt3C_A,A,200825,41234,200825_Smp_20ppt3C_A Glutathione,RP,41234,Glutathione_X_RP,0.6,76.76311476,68723.33333333334,537.1590265574575,29,0.033333333333333326
HHQ,Inj_vol,1.395505387136098,1.395505387136098,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A HHQ,RP,0,HHQ_X_RP,0.6,76.76311476,NA,NA,30,0
Homoserine lactone,Inj_vol,0.5061004956459786,0.5061004956459786,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Homoserine lactone,RP,0,Homoserine lactone_X_RP,0.6,76.76311476,NA,NA,30,0
