"","X","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag","Filled_area","Backfill_Flag"
"1",75,"Aconitic Acid",14.98,1776200,0,"112742",-0.5,NA,NA,NA,15.04125,15.24,14.83,NA,259759,NA,"",1776200,2,NA,8,"200821_Smp_20ppt3C_A",NA,NA,NA,1776200,NA
"2",76,"Aconitic Acid",15.1,3257877,0,"174973",-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,259759,NA,"",3257877,2,NA,8,"200821_Smp_20ppt3C_B",NA,NA,NA,3257877,NA
"3",77,"Aconitic Acid",15.13,373366,0,"28902",-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,259759,"BlankFlag","BlankFlag, ",NA,2,NA,8,"200821_Smp_20ppt3C_C",NA,NA,NA,779377,"Backfill_Flag"
"4",78,"Aconitic Acid",15.16,4422922,0,"164113",-0.6,NA,NA,NA,15.04125,15.24,14.83,NA,146008,NA,"",4422922,3,NA,8,"200821_Smp_35ppt0C_A",NA,NA,NA,4422922,NA
"5",79,"Aconitic Acid",15.13,1549252,0,"110709",0.8,NA,NA,NA,15.04125,15.24,14.83,NA,146008,NA,"",1549252,3,NA,8,"200821_Smp_35ppt0C_B",NA,NA,NA,1549252,NA
"6",80,"Aconitic Acid",15.01,3334944,0,"176897",-0.3,NA,NA,NA,15.04125,15.24,14.83,NA,146008,NA,"",3334944,3,NA,8,"200821_Smp_35ppt0C_C",NA,NA,NA,3334944,NA
"7",81,"Aconitic Acid",15.1,427441,0,"37401",-0.5,NA,NA,NA,15.04125,15.24,14.83,NA,55032,NA,"",427441,3,NA,8,"200821_Smp_50ppt-3C_A",NA,NA,NA,427441,NA
"8",82,"Aconitic Acid",15.17,874069,0,"72905",-1.2,NA,NA,NA,15.04125,15.24,14.83,NA,55032,NA,"",874069,3,NA,8,"200821_Smp_50ppt-3C_B",NA,NA,NA,874069,NA
"9",83,"Aconitic Acid",15.14,714478,0,"50123",0.4,NA,NA,NA,15.04125,15.24,14.83,NA,55032,NA,"",714478,3,NA,8,"200821_Smp_50ppt-3C_C",NA,NA,NA,714478,NA
"10",84,"Aconitic Acid",15.21,880108,0,"53022",-0.6,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",880108,1,NA,8,"200821_Smp_Ev15SW_A",NA,NA,NA,880108,NA
