"","X","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag","Filled_area","Backfill_Flag"
"1",1,"Acetyl-L-carnitine",7.83,171987440,3117388,"8656699",-1.4,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",171987440,3,NA,9,"200821_Smp_20ppt3C_A",NA,NA,NA,171987440,NA
"2",2,"Acetyl-L-carnitine",7.76,201442656,2382501,"10610986",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",201442656,3,NA,9,"200821_Smp_20ppt3C_B",NA,NA,NA,201442656,NA
"3",3,"Acetyl-L-carnitine",7.71,165367008,2001979,"8823615",-2,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",165367008,3,NA,9,"200821_Smp_20ppt3C_C",NA,NA,NA,165367008,NA
"4",4,"Acetyl-L-carnitine",7.71,138468176,2238744,"7547842",-1.5,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",138468176,3,NA,9,"200821_Smp_35ppt0C_A",NA,NA,NA,138468176,NA
"5",5,"Acetyl-L-carnitine",7.72,83671032,1419964,"4864217",-0.7,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",83671032,3,NA,9,"200821_Smp_35ppt0C_B",NA,NA,NA,83671032,NA
"6",6,"Acetyl-L-carnitine",7.8,152824144,1986062,"7873698",-1.3,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",152824144,3,NA,9,"200821_Smp_35ppt0C_C",NA,NA,NA,152824144,NA
"7",7,"Acetyl-L-carnitine",7.8,19587646,73643,"1042710",-2.3,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",19587646,3,NA,9,"200821_Smp_50ppt-3C_A",NA,NA,NA,19587646,NA
"8",8,"Acetyl-L-carnitine",7.69,22143794,132006,"1093500",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",22143794,3,NA,9,"200821_Smp_50ppt-3C_B",NA,NA,NA,22143794,NA
"9",9,"Acetyl-L-carnitine",7.75,33673648,416760,"1780263",-1.2,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",33673648,3,NA,9,"200821_Smp_50ppt-3C_C",NA,NA,NA,33673648,NA
"10",10,"Acetyl-L-carnitine",7.72,112160832,1062663,"5673184",-1.7,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",112160832,1,NA,9,"200821_Smp_Ev15SW_A",NA,NA,NA,112160832,NA
"11",11,"Acetyl-L-carnitine",7.78,201641104,3347177,"9973195",-1.3,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",201641104,3,NA,9,"200821_Smp_Ev32Core_A",NA,NA,NA,201641104,NA
"12",12,"Acetyl-L-carnitine",7.75,133947752,1422929,"7023628",-1.8,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",133947752,3,NA,9,"200821_Smp_Ev32Core_B",NA,NA,NA,133947752,NA
