"","X","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag","Filled_area","Backfill_Flag"
"1",297,"3OC12-HSL",9.36,196465,0,"70034",-1.4,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1672,NA,"",196465,3,NA,9,"200825_Smp_20ppt3C_A",NA,NA,NA,196465,NA
"2",298,"3OC12-HSL",9.35,167503,0,"36270",-1,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1672,NA,"",167503,3,NA,9,"200825_Smp_20ppt3C_B",NA,NA,NA,167503,NA
"3",299,"3OC12-HSL",9.4,413953,0,"99444",-2.3,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1672,NA,"",413953,3,NA,9,"200825_Smp_20ppt3C_C",NA,NA,NA,413953,NA
"4",300,"3OC12-HSL",9.38,359780,0,"73682",-2.2,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1553,NA,"",359780,3,NA,9,"200825_Smp_35ppt0C_A",NA,NA,NA,359780,NA
"5",301,"3OC12-HSL",9.38,412514,0,"77554",-1.9,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1553,NA,"",412514,3,NA,9,"200825_Smp_35ppt0C_B",NA,NA,NA,412514,NA
"6",302,"3OC12-HSL",9.36,137139,0,"54604",-1.7,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1553,NA,"",137139,3,NA,9,"200825_Smp_35ppt0C_C",NA,NA,NA,137139,NA
"7",303,"3OC12-HSL",9.35,66945,0,"22471",-0.6,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1253,NA,"",66945,3,NA,9,"200825_Smp_50ppt-3C_A",NA,NA,NA,66945,NA
"8",304,"3OC12-HSL",9.37,88612,0,"23145",-1.3,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1253,NA,"",88612,3,NA,9,"200825_Smp_50ppt-3C_B",NA,NA,NA,88612,NA
"9",305,"3OC12-HSL",9.36,83265,0,"18971",-0.7,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1253,NA,"",83265,3,NA,9,"200825_Smp_50ppt-3C_C",NA,NA,NA,83265,NA
"10",306,"3OC12-HSL",8.75,6267,0,"7103",-0.5,NA,NA,"areaminFlag",8.88833333333333,9.46,7.78,NA,1780,"BlankFlag","areaminFlag, BlankFlag, ",NA,0,NA,9,"200825_Smp_Ev15SW_A",NA,NA,NA,5440,"Backfill_Flag"
"11",307,"3OC12-HSL",9.37,66368,0,"24143",-0.4,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1780,NA,"",66368,2,NA,9,"200825_Smp_Ev32Core_A",NA,NA,NA,66368,NA
"12",308,"3OC12-HSL",9.36,65102,0,"34011",-0.5,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1780,NA,"",65102,2,NA,9,"200825_Smp_Ev32Core_B",NA,NA,NA,65102,NA
"13",309,"3OC12-HSL",9.38,33536,0,"13469",-0.9,NA,NA,"areaminFlag",8.88833333333333,9.46,7.78,NA,1780,NA,"areaminFlag, ",NA,2,NA,9,"200825_Smp_Ev32Core_C",NA,NA,NA,5440,"Backfill_Flag"
"14",310,"3OC12-HSL",9.1,180296,0,"68079",-1.3,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1780,NA,"",180296,1,NA,9,"200825_Smp_Ev37Core_A",NA,NA,NA,180296,NA
"15",311,"3OC12-HSL",9.35,634376,0,"213267",-0.6,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1780,NA,"",634376,1,NA,9,"200825_Smp_Ev51Slush_A",NA,NA,NA,634376,NA
"16",312,"3OC12-HSL",9.07,48223,0,"19937",-0.8,NA,NA,NA,8.88833333333333,9.46,7.78,NA,1780,NA,"",48223,1,NA,9,"200825_Smp_EvXCore_A",NA,NA,NA,48223,NA
"17",313,"3OC12-HSL",8.76,7508,0,"7134",-0.2,NA,NA,"areaminFlag",8.88833333333333,9.46,7.78,NA,1780,"BlankFlag","areaminFlag, BlankFlag, ",NA,0,NA,9,"200825_Smp_EvXSW_A",NA,NA,NA,5440,"Backfill_Flag"
"18",314,"3OC12-HSL",8.9,3462,0,"4810",0.1,NA,NA,"areaminFlag",8.88833333333333,9.46,7.78,NA,2104,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",9,"200825_Smp_Hero1_A",NA,NA,NA,6412,"Backfill_Flag"
"19",315,"3OC12-HSL",9.47,1402,0,"2776",-0.7,NA,NA,"areaminFlag",8.88833333333333,9.46,7.78,NA,2104,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",9,"200825_Smp_Hero1_B",NA,NA,NA,6412,"Backfill_Flag"
"20",316,"3OC12-HSL",NA,NA,NA,"#N/A",NA,NA,NA,NA,8.88833333333333,9.46,7.78,NA,2104,NA,"ReplicateFlag, ",NA,0,"ReplicateFlag",9,"200825_Smp_Hero1_C",NA,NA,NA,6412,"Backfill_Flag"
