Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 50000. RT flexibility: 1. Blank can be this fraction of a sample: 5. S/N ratio: 5. Parts per million flexibility: 6. Processed on: 2021-05-03 14:01:53. 
"","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag"
"1","2-Hydroxy-4-(methylthio)butyric_acid",2.04,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_20ppt3C_A","SampleFlag",NA,NA
"2","2-Hydroxy-4-(methylthio)butyric_acid",2.32,15977,0,"11696",-1.3,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_20ppt3C_B","SampleFlag",NA,NA
"3","2-Hydroxy-4-(methylthio)butyric_acid",2.04,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_20ppt3C_C","SampleFlag",NA,NA
"4","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_35ppt0C_A","SampleFlag",NA,NA
"5","2-Hydroxy-4-(methylthio)butyric_acid",2.03,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_35ppt0C_B","SampleFlag",NA,NA
"6","2-Hydroxy-4-(methylthio)butyric_acid",1.98,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_35ppt0C_C","SampleFlag",NA,NA
"7","2-Hydroxy-4-(methylthio)butyric_acid",2.06,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_50ppt-3C_A","SampleFlag",NA,NA
"8","2-Hydroxy-4-(methylthio)butyric_acid",2.08,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_50ppt-3C_B","SampleFlag",NA,NA
"9","2-Hydroxy-4-(methylthio)butyric_acid",2.06,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_50ppt-3C_C","SampleFlag",NA,NA
"10","2-Hydroxy-4-(methylthio)butyric_acid",2.04,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev15SW_A","SampleFlag",NA,NA
"11","2-Hydroxy-4-(methylthio)butyric_acid",2.14,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev32Core_A","SampleFlag",NA,NA
"12","2-Hydroxy-4-(methylthio)butyric_acid",2.08,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev32Core_B","SampleFlag",NA,NA
"13","2-Hydroxy-4-(methylthio)butyric_acid",2.06,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev32Core_C","SampleFlag",NA,NA
"14","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev37Core_A","SampleFlag",NA,NA
"15","2-Hydroxy-4-(methylthio)butyric_acid",2.03,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_Ev51Slush_A","SampleFlag",NA,NA
"16","2-Hydroxy-4-(methylthio)butyric_acid",2.35,25145,0,"23346",-0.3,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_EvXCore_A","SampleFlag",NA,NA
"17","2-Hydroxy-4-(methylthio)butyric_acid",1.98,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, SampleFlag",NA,0,NA,0,"200821_Smp_EvXSW_A","SampleFlag",NA,NA
"18","2-Hydroxy-4-(methylthio)butyric_acid",2.13,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_Hero1_A","SampleFlag",NA,NA
"19","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_Hero1_B","SampleFlag",NA,NA
"20","2-Hydroxy-4-(methylthio)butyric_acid",2.04,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_Hero1_C","SampleFlag",NA,NA
"21","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB1_A","SampleFlag",NA,NA
"22","2-Hydroxy-4-(methylthio)butyric_acid",1.99,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB1_B","SampleFlag",NA,NA
"23","2-Hydroxy-4-(methylthio)butyric_acid",1.98,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB1_C","SampleFlag",NA,NA
"24","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB1_D","SampleFlag",NA,NA
"25","2-Hydroxy-4-(methylthio)butyric_acid",2.09,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB1_E","SampleFlag",NA,NA
"26","2-Hydroxy-4-(methylthio)butyric_acid",2.02,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB2_A","SampleFlag",NA,NA
"27","2-Hydroxy-4-(methylthio)butyric_acid",2.13,0,0,"0",NA,NA,NA,"areaminFlag",2.25625,2.37,1.99,NA,0,NA,"areaminFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200821_Smp_StaB2_B","SampleFlag",NA,NA
