Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 50000. RT flexibility: 1. Blank can be this fraction of a sample: 5. S/N ratio: 5. Parts per million flexibility: 6. Processed on: 2021-05-03 14:01:51. 
"","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag"
"1","Acetyl-L-carnitine",7.83,171987440,3117388,"8656699",-1.4,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",171987440,3,NA,9,"200821_Smp_20ppt3C_A",NA,NA,NA
"2","Acetyl-L-carnitine",7.76,201442656,2382501,"10610986",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",201442656,3,NA,9,"200821_Smp_20ppt3C_B",NA,NA,NA
"3","Acetyl-L-carnitine",7.71,165367008,2001979,"8823615",-2,NA,NA,NA,7.74,7.83,7.65,NA,535509,NA,"",165367008,3,NA,9,"200821_Smp_20ppt3C_C",NA,NA,NA
"4","Acetyl-L-carnitine",7.71,138468176,2238744,"7547842",-1.5,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",138468176,3,NA,9,"200821_Smp_35ppt0C_A",NA,NA,NA
"5","Acetyl-L-carnitine",7.72,83671032,1419964,"4864217",-0.7,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",83671032,3,NA,9,"200821_Smp_35ppt0C_B",NA,NA,NA
"6","Acetyl-L-carnitine",7.8,152824144,1986062,"7873698",-1.3,NA,NA,NA,7.74,7.83,7.65,NA,340704,NA,"",152824144,3,NA,9,"200821_Smp_35ppt0C_C",NA,NA,NA
"7","Acetyl-L-carnitine",7.8,19587646,73643,"1042710",-2.3,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",19587646,3,NA,9,"200821_Smp_50ppt-3C_A",NA,NA,NA
"8","Acetyl-L-carnitine",7.69,22143794,132006,"1093500",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",22143794,3,NA,9,"200821_Smp_50ppt-3C_B",NA,NA,NA
"9","Acetyl-L-carnitine",7.75,33673648,416760,"1780263",-1.2,NA,NA,NA,7.74,7.83,7.65,NA,276088,NA,"",33673648,3,NA,9,"200821_Smp_50ppt-3C_C",NA,NA,NA
"10","Acetyl-L-carnitine",7.72,112160832,1062663,"5673184",-1.7,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",112160832,1,NA,9,"200821_Smp_Ev15SW_A",NA,NA,NA
"11","Acetyl-L-carnitine",7.78,201641104,3347177,"9973195",-1.3,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",201641104,3,NA,9,"200821_Smp_Ev32Core_A",NA,NA,NA
"12","Acetyl-L-carnitine",7.75,133947752,1422929,"7023628",-1.8,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",133947752,3,NA,9,"200821_Smp_Ev32Core_B",NA,NA,NA
"13","Acetyl-L-carnitine",7.71,80018440,1414127,"4397169",-2.1,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",80018440,3,NA,9,"200821_Smp_Ev32Core_C",NA,NA,NA
"14","Acetyl-L-carnitine",7.75,155998256,1854776,"7218274",-2,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",155998256,1,NA,9,"200821_Smp_Ev37Core_A",NA,NA,NA
"15","Acetyl-L-carnitine",7.77,265789856,3835138,"13846802",-1,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",265789856,1,NA,9,"200821_Smp_Ev51Slush_A",NA,NA,NA
"16","Acetyl-L-carnitine",7.75,182497760,2068158,"8705647",-1.9,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",182497760,1,NA,9,"200821_Smp_EvXCore_A",NA,NA,NA
"17","Acetyl-L-carnitine",7.75,23709194,262851,"1313130",-1.7,NA,NA,NA,7.74,7.83,7.65,NA,241381,NA,"",23709194,1,NA,9,"200821_Smp_EvXSW_A",NA,NA,NA
"18","Acetyl-L-carnitine",7.75,11353603,685469,"611998",-1.6,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",11353603,3,NA,9,"200821_Smp_Hero1_A",NA,NA,NA
"19","Acetyl-L-carnitine",7.68,33527396,637473,"1915464",-2.4,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",33527396,3,NA,9,"200821_Smp_Hero1_B",NA,NA,NA
"20","Acetyl-L-carnitine",7.73,29248108,1200656,"1648043",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",29248108,3,NA,9,"200821_Smp_Hero1_C",NA,NA,NA
"21","Acetyl-L-carnitine",7.68,54494608,188965,"2832078",-2.8,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",54494608,5,NA,9,"200821_Smp_StaB1_A",NA,NA,NA
"22","Acetyl-L-carnitine",7.76,40236408,854660,"2119956",-1.6,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",40236408,5,NA,9,"200821_Smp_StaB1_B",NA,NA,NA
"23","Acetyl-L-carnitine",7.81,57539308,233035,"3072754",-1.1,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",57539308,5,NA,9,"200821_Smp_StaB1_C",NA,NA,NA
"24","Acetyl-L-carnitine",7.75,28528748,0,"1483711",-2.4,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",28528748,5,NA,9,"200821_Smp_StaB1_D",NA,NA,NA
"25","Acetyl-L-carnitine",7.83,47813652,415194,"2532164",-1.1,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",47813652,5,NA,9,"200821_Smp_StaB1_E",NA,NA,NA
"26","Acetyl-L-carnitine",7.81,58061080,1224567,"3083179",-0.6,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",58061080,3,NA,9,"200821_Smp_StaB2_A",NA,NA,NA
"27","Acetyl-L-carnitine",7.72,51216284,533069,"2777315",-2.1,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",51216284,3,NA,9,"200821_Smp_StaB2_B",NA,NA,NA
"28","Acetyl-L-carnitine",7.68,57870892,198383,"3215368",-2.7,NA,NA,NA,7.74,7.83,7.65,NA,281473,NA,"",57870892,3,NA,9,"200821_Smp_StaB2_C",NA,NA,NA
"29","Acetyl-L-carnitine",7.65,66568204,829537,"3427451",-2.3,NA,NA,NA,7.74,7.83,7.65,NA,455131,NA,"",66568204,3,NA,9,"200821_Smp_StaB3_A",NA,NA,NA
"30","Acetyl-L-carnitine",7.75,57727452,1102218,"3039222",-1.6,NA,NA,NA,7.74,7.83,7.65,NA,455131,NA,"",57727452,3,NA,9,"200821_Smp_StaB3_B",NA,NA,NA
"31","Acetyl-L-carnitine",7.73,61819312,1109929,"3566955",-2.2,NA,NA,NA,7.74,7.83,7.65,NA,455131,NA,"",61819312,3,NA,9,"200821_Smp_StaB3_C",NA,NA,NA
"32","Acetyl-L-carnitine",7.8,75485760,1186764,"3809072",-1.3,NA,NA,NA,7.74,7.83,7.65,NA,471046,NA,"",75485760,3,NA,9,"200821_Smp_StaB4_A",NA,NA,NA
