Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 0.2. Blank can be this fraction of a sample: 5. S/N ratio: 10. Parts per million flexibility: 4. Processed on: 2021-05-03 14:01:54. 
"","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag"
"1","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",14.91,970,0,"1591",-9.6,NA,"ppmFlag","areaminFlag",15.69,16.03,14.9,NA,1542,"BlankFlag","ppmFlag, areaminFlag, BlankFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_20ppt3C_A","SampleFlag",NA,NA
"2","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",13.67,1422,0,"2657",-6.1,NA,"ppmFlag","areaminFlag",15.69,16.03,14.9,"RTFlag",1542,"BlankFlag","ppmFlag, areaminFlag, RTFlag, BlankFlag, ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_20ppt3C_B","SampleFlag",NA,NA
"3","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,1542,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_20ppt3C_C","SampleFlag",NA,NA
"4","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_35ppt0C_A","SampleFlag",NA,NA
"5","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_35ppt0C_B","SampleFlag",NA,NA
"6","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_35ppt0C_C","SampleFlag",NA,NA
"7","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_50ppt-3C_A","SampleFlag",NA,NA
"8","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_50ppt-3C_B","SampleFlag",NA,NA
"9","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,0,NA,"ReplicateFlag, SampleFlag",NA,0,"ReplicateFlag",0,"200825_Smp_50ppt-3C_C","SampleFlag",NA,NA
"10","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.69,16.03,14.9,NA,1002,NA,"SampleFlag",NA,0,NA,0,"200825_Smp_Ev15SW_A","SampleFlag",NA,NA
