MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,PN_ave,molFractionC_pertotalC,molFractionN_pertotalN
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,196465,200825,Smp,20ppt3C_A,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL,RP,196465,3OC12-HSL_X_RP,0.6,76.76311476,327441.6666666667,2559.3672249262963,3576281,18,0.33333333333333337,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,6.814159774431691e-4,NA,C16H27NO4,16,1,0.010902655639090706,6.814159774431691e-4,2909.3213475873386,622.5514209603084,3.747491025057144e-6,1.0945537260071787e-6,127.9385246,16.91749292,8.52179253526479e-8,4.0278780116266133e-8
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,56276,200825,Smp,20ppt3C_A,A,200825,57991.75549372448,200825_Smp_20ppt3C_A 3OC8-HSL,RP,56276,3OC8-HSL_X_RP,0.6,76.76311476,96652.92582287414,755.4638145551519,1923905.0429113489,26,0.03703703703703709,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,2.769987309374426e-4,NA,C12H19NO4,12,1,0.0033239847712493113,2.769987309374426e-4,2909.3213475873386,622.5514209603084,1.1425292616801673e-6,4.4494112712836136e-7,127.9385246,16.91749292,2.5981109143174467e-8,1.637350949383123e-8
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,166633,200825,Smp,20ppt3C_A,A,200825,166633,200825_Smp_20ppt3C_A 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.6,76.76311476,277721.6666666667,2170.7430778568373,9928504,20,0.2592592592592593,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.0630912551444551,NA,4.421477322525299e-4,NA,C16H29NO4,16,1,0.007074363716040479,4.421477322525299e-4,2909.3213475873386,622.5514209603084,2.431619910913985e-6,7.102188146490789e-7,127.9385246,16.91749292,5.529502343534513e-8,2.6135535232281326e-8
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,168941,200825,Smp,20ppt3C_A,A,200825,168941,200825_Smp_20ppt3C_A 7-dehydrocholesterol,RP,168941,7-dehydrocholesterol_X_RP,0.6,76.76311476,281568.3333333334,2200.809601436762,801867,19,0.2962962962962963,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.1487697034849464,NA,0.009978756068023103,NA,C27H44O,27,NA,0.2694264138366238,NA,2909.3213475873386,622.5514209603084,9.260799397772114e-5,NA,127.9385246,16.91749292,2.105905275045073e-6,NA
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,20833194,200825,Smp,20ppt3C_A,A,200825,21468361.15930997,200825_Smp_20ppt3C_A Adenosyl Methionine,RP,20833194,Adenosyl Methionine_X_RP,0.6,76.76311476,35780601.93218328,279670.27167189395,250765103.00201797,4,0.8518518518518519,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.9088320027439032,NA,0.7467517909551646,NA,C15H22N6O5S,15,6,11.20127686432747,4.480510745730988,2909.3213475873386,622.5514209603084,0.003850133940555085,0.007197013121935591,127.9385246,16.91749292,8.755202468801544e-5,2.64844842372246e-4
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334208,162104,200825,Smp,20ppt3C_A,A,200825,167046.26363911282,200825_Smp_20ppt3C_A Agmatine,RP,162104,Agmatine_X_RP,0.6,76.76311476,278410.4393985214,2176.126700452206,42618942.93793417,21,0.2222222222222222,1,400,1,1,Agmatine,111688360,102972840,107330600,0.24914393357871084,NA,0.004164584063933387,NA,C5H14N4,5,4,0.020822920319666934,0.016658336255733548,2909.3213475873386,622.5514209603084,7.157311906068782e-6,2.6758169196750774e-5,127.9385246,16.91749292,1.6275723348201668e-7,9.84681142442798e-7
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,297250,200825,Smp,20ppt3C_A,A,200825,272519.6452411203,200825_Smp_20ppt3C_A C14-HSL,RP,297250,C14-HSL_X_RP,0.6,76.76311476,454199.4087352006,3550.1379287845916,16244604.2912921,17,0.3703703703703703,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.983457712913408,NA,0.0017744462850159271,NA,C18H33NO3,18,1,0.03194003313028669,0.0017744462850159271,2909.3213475873386,622.5514209603084,1.0978516744729535e-5,2.8502806760584993e-6,127.9385246,16.91749292,2.4965141055164783e-7,1.0488825344316603e-7
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,459832,200825,Smp,20ppt3C_A,A,200825,459832,200825_Smp_20ppt3C_A Carotene,RP,459832,Carotene_X_RP,0.6,76.76311476,766386.6666666667,5990.272820972227,3291806,15,0.4444444444444444,1,400,1,1,Carotene,1048756,488824,768790,5.4062402923046005,NA,0.07375727466766496,NA,C40H56,40,NA,2.9502909867065985,NA,2909.3213475873386,622.5514209603084,0.001014082197950816,NA,127.9385246,16.91749292,2.3060223618575313e-5,NA
Desthiobiotin,Inj_vol,0.2079548875556214,0.2079548875556214,80089,200825,Smp,20ppt3C_A,A,200825,80089,200825_Smp_20ppt3C_A Desthiobiotin,RP,80089,Desthiobiotin_X_RP,0.6,76.76311476,133481.6666666667,1043.3266061492996,1256288,24,0.11111111111111116,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.1367082221065417,NA,2.2235796223447012e-4,NA,C10H18N2O3,10,2,0.002223579622344701,4.4471592446894024e-4,2909.3213475873386,622.5514209603084,7.642949529066929e-7,7.143440838717381e-7,127.9385246,16.91749292,1.7380063036499183e-8,2.628734213585474e-8
Glutathione,Inj_vol,0.4599836592083196,0.4599836592083196,41234,200825,Smp,20ppt3C_A,A,200825,41234,200825_Smp_20ppt3C_A Glutathione,RP,41234,Glutathione_X_RP,0.6,76.76311476,68723.33333333334,537.1590265574575,660067,27,0,1,400,1,1,Glutathione,31985900,13462076,22723988,0.0248887298,Literature value,0.04860454963770799,Literature value,C10H17N3O6S,10,3,0.4860454963770799,0.14581364891312396,2909.3213475873386,622.5514209603084,1.670649056283009e-4,2.3421944598279296e-4,127.9385246,16.91749292,3.799055037540115e-6,8.619105064955686e-6
