MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,PN_ave,molFractionC_pertotalC,molFractionN_pertotalN
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,196465,200825,Smp,20ppt3C_A,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL,RP,196465,3OC12-HSL_X_RP,0.6,76.76311476,327441.6666666667,2559.3672249262963,3576281,18,0.33333333333333337,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,6.814159774431691e-4,NA,C16H27NO4,16,1,0.010902655639090706,6.814159774431691e-4,2871.478025041043,569.6868063075224,3.796879357603606e-6,1.1961238524371482e-6,127.9385246,16.91749292,8.52179253526479e-8,4.0278780116266133e-8
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,56276,200825,Smp,20ppt3C_A,A,200825,57991.75549372448,200825_Smp_20ppt3C_A 3OC8-HSL,RP,56276,3OC8-HSL_X_RP,0.6,76.76311476,96652.92582287414,755.4638145551519,1923905.0429113489,26,0.03703703703703709,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,2.769987309374426e-4,NA,C12H19NO4,12,1,0.0033239847712493113,2.769987309374426e-4,2871.478025041043,569.6868063075224,1.1575867000416276e-6,4.862298509822185e-7,127.9385246,16.91749292,2.5981109143174467e-8,1.637350949383123e-8
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,166633,200825,Smp,20ppt3C_A,A,200825,166633,200825_Smp_20ppt3C_A 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.6,76.76311476,277721.6666666667,2170.7430778568373,9928504,20,0.2592592592592593,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.0630912551444551,NA,4.421477322525299e-4,NA,C16H29NO4,16,1,0.007074363716040479,4.421477322525299e-4,2871.478025041043,569.6868063075224,2.463666325964435e-6,7.761242271316608e-7,127.9385246,16.91749292,5.529502343534513e-8,2.6135535232281326e-8
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,168941,200825,Smp,20ppt3C_A,A,200825,168941,200825_Smp_20ppt3C_A 7-dehydrocholesterol,RP,168941,7-dehydrocholesterol_X_RP,0.6,76.76311476,281568.3333333334,2200.809601436762,801867,19,0.2962962962962963,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.1487697034849464,NA,0.009978756068023103,NA,C27H44O,27,NA,0.2694264138366238,NA,2871.478025041043,569.6868063075224,9.382847839581596e-5,NA,127.9385246,16.91749292,2.105905275045073e-6,NA
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,20833194,200825,Smp,20ppt3C_A,A,200825,21468361.15930997,200825_Smp_20ppt3C_A Adenosyl Methionine,RP,20833194,Adenosyl Methionine_X_RP,0.6,76.76311476,35780601.93218328,279670.27167189395,250765103.00201797,4,0.8518518518518519,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.9088320027439032,NA,0.7467517909551646,NA,C15H22N6O5S,15,6,11.20127686432747,4.480510745730988,2871.478025041043,569.6868063075224,0.0039008750081475432,0.007864866618154337,127.9385246,16.91749292,8.755202468801544e-5,2.64844842372246e-4
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334208,162104,200825,Smp,20ppt3C_A,A,200825,167046.26363911282,200825_Smp_20ppt3C_A Agmatine,RP,162104,Agmatine_X_RP,0.6,76.76311476,278410.4393985214,2176.126700452206,42618942.93793417,21,0.2222222222222222,1,400,1,1,Agmatine,111688360,102972840,107330600,0.24914393357871084,NA,0.004164584063933387,NA,C5H14N4,5,4,0.020822920319666934,0.016658336255733548,2871.478025041043,569.6868063075224,7.251638402968208e-6,2.9241218282210348e-5,127.9385246,16.91749292,1.6275723348201668e-7,9.84681142442798e-7
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,297250,200825,Smp,20ppt3C_A,A,200825,272519.6452411203,200825_Smp_20ppt3C_A C14-HSL,RP,297250,C14-HSL_X_RP,0.6,76.76311476,454199.4087352006,3550.1379287845916,16244604.2912921,17,0.3703703703703703,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.983457712913408,NA,0.0017744462850159271,NA,C18H33NO3,18,1,0.03194003313028669,0.0017744462850159271,2871.478025041043,569.6868063075224,1.1123203051442527e-5,3.1147751104105157e-6,127.9385246,16.91749292,2.4965141055164783e-7,1.0488825344316603e-7
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,459832,200825,Smp,20ppt3C_A,A,200825,459832,200825_Smp_20ppt3C_A Carotene,RP,459832,Carotene_X_RP,0.6,76.76311476,766386.6666666667,5990.272820972227,3291806,15,0.4444444444444444,1,400,1,1,Carotene,1048756,488824,768790,5.4062402923046005,NA,0.07375727466766496,NA,C40H56,40,NA,2.9502909867065985,NA,2871.478025041043,569.6868063075224,0.0010274468273753997,NA,127.9385246,16.91749292,2.3060223618575313e-5,NA
Desthiobiotin,Inj_vol,0.2079548875556214,0.2079548875556214,80089,200825,Smp,20ppt3C_A,A,200825,80089,200825_Smp_20ppt3C_A Desthiobiotin,RP,80089,Desthiobiotin_X_RP,0.6,76.76311476,133481.6666666667,1043.3266061492996,1256288,24,0.11111111111111116,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.1367082221065417,NA,2.2235796223447012e-4,NA,C10H18N2O3,10,2,0.002223579622344701,4.4471592446894024e-4,2871.478025041043,569.6868063075224,7.743676263421584e-7,7.806323045313399e-7,127.9385246,16.91749292,1.7380063036499183e-8,2.628734213585474e-8
Glutathione,Inj_vol,0.4599836592083196,0.4599836592083196,41234,200825,Smp,20ppt3C_A,A,200825,41234,200825_Smp_20ppt3C_A Glutathione,RP,41234,Glutathione_X_RP,0.6,76.76311476,68723.33333333334,537.1590265574575,660067,27,0,1,400,1,1,Glutathione,31985900,13462076,22723988,0.0248887298,Literature value,0.04860454963770799,Literature value,C10H17N3O6S,10,3,0.4860454963770799,0.14581364891312396,2871.478025041043,569.6868063075224,1.6926666063207384e-4,2.5595405633180903e-4,127.9385246,16.91749292,3.799055037540115e-6,8.619105064955686e-6
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,1208858,200825,Smp,20ppt3C_A,A,200825,1208858,200825_Smp_20ppt3C_A Hydroxo B12,RP,1208858,Hydroxo B12_X_RP,0.6,76.76311476,2014763.3333333335,15747.901889852914,8649550,8,0.7037037037037037,2,400,1,1,Hydroxo B12,212174720,135981952,174078336,0.7131676627974644,NA,0.006491538848984487,NA,C62H89CoN13O15P,62,1,0.4024754086370382,0.006491538848984487,2871.478025041043,569.6868063075224,1.4016315121592667e-4,1.1394925733070765e-5,127.9385246,16.91749292,3.145850008004846e-6,3.837175448916627e-7
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,109083,200825,Smp,20ppt3C_A,A,200825,135028.03461391004,200825_Smp_20ppt3C_A Indole 3 acetamide,RP,109083,Indole 3 acetamide_X_RP,0.6,76.76311476,225046.72435651676,1759.0223512435032,4633962.935049429,22,0.18518518518518523,1,400,1,1,Indole 3 acetamide,233086928,222246480,227666704,0.8806514575109674,NA,4.4898218479577987e-4,NA,C10H10N2O,10,2,0.004489821847957798,8.979643695915597e-4,2871.478025041043,569.6868063075224,1.5635926198298606e-6,1.5762421731544016e-6,127.9385246,16.91749292,3.509358781489183e-8,5.307904509479527e-8
Indole 3 methyl acetate,Inj_vol,0.2230382733445617,0.2230382733445617,64263,200825,Smp,20ppt3C_A,A,200825,64263,200825_Smp_20ppt3C_A Indole 3 methyl acetate,RP,64263,Indole 3 methyl acetate_X_RP,0.6,76.76311476,107105,837.1598807697991,1550059,25,0.07407407407407407,1,400,1,1,Indole 3 methyl acetate,59003572,33841068,46422320,0.8912208169404785,NA,0.0010355178124904405,NA,C11H11NO2,11,1,0.011390695937394845,0.0010355178124904405,2871.478025041043,569.6868063075224,3.966840713409964e-6,1.8176966730232789e-6,127.9385246,16.91749292,8.903257226865696e-8,6.1209885967574e-8
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566256981,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.27709497,111096.2028172003,214226510.4371842,6,0.7777777777777778,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.9478072673056788,NA,0.07921039457346617,NA,C11H21NO4,11,1,0.8713143403081278,0.07921039457346617,2871.478025041043,569.6868063075224,3.034375790828745e-4,1.3904200289783022e-4,127.9385246,16.91749292,6.810414165962078e-6,4.6821591679121076e-6
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.120639190997958,0.04819700056220014,616270,200825,Smp,20ppt3C_A,A,200825,526244.06028553,200825_Smp_20ppt3C_A Kynurenine,RP,616270,Kynurenine_X_RP,0.6,76.76311476,877073.4338092168,6855.428703366623,25470493.360840306,12,0.5555555555555556,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.9033506330289176,NA,0.005093693728941952,NA,C10H12N2O3,10,2,0.05093693728941952,0.010187387457883904,2871.478025041043,569.6868063075224,1.7738926380497535e-5,1.7882435304960625e-5,127.9385246,16.91749292,3.981360379813191e-7,6.021806839854083e-7
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.328619048,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21436508,198467.4459374302,128509926.3028596,5,0.8148148148148149,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.8762012379222064,NA,0.023819424392481706,NA,C11H15N5O3S,11,5,0.2620136683172988,0.11909712196240853,2871.478025041043,569.6868063075224,9.124696969030565e-5,2.090571883423938e-4,127.9385246,16.91749292,2.0479653734985998e-06,7.0398801125910875e-6
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6666666667,1299.7778986945318,934453,23,0.14814814814814814,2,400,1,1,RP B12,56196396,28688300,42442348,0.9211020336641822,NA,0.0017014662317078586,NA,C63H88CoN14O14P,63,1,0.10719237259759509,0.0017014662317078586,2871.478025041043,569.6868063075224,3.7330034101884846e-5,2.9866695399461136e-6,127.9385246,16.91749292,8.378428071820605e-7,1.0057437232300368e-7
