MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,PN_ave,molFractionC_pertotalC,molFractionN_pertotalN
3OC12-HSL,Inj_vol,2.626880704,2.626880704,196465,200825,Smp,20ppt3C_A,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL,RP,196465,3OC12-HSL_X_RP,0.6,76.76311476,327441.6667,2559.367225,3576281,18,0.333333333,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733341,NA,6.81E-04,NA,C16H27NO4,16,1,0.010902656,6.81E-04,3058.682346,694.4590425,3.56E-06,9.81E-07,127.9385246,16.91749292,8.52E-08,4.03E-08
3OC8-HSL,"Pyridoxal, D3",0.629453071,0.490190447,56276,200825,Smp,20ppt3C_A,A,200825,57991.75549,200825_Smp_20ppt3C_A 3OC8-HSL,RP,56276,3OC8-HSL_X_RP,0.6,76.76311476,96652.92582,755.4638146,1923905.043,26,0.037037037,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.980288129,NA,2.77E-04,NA,C12H19NO4,12,1,0.003323985,2.77E-04,3058.682346,694.4590425,1.09E-06,3.99E-07,127.9385246,16.91749292,2.60E-08,1.64E-08
3OHC12-HSL,Inj_vol,0.313846942,0.313846942,166633,200825,Smp,20ppt3C_A,A,200825,166633,200825_Smp_20ppt3C_A 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.6,76.76311476,277721.6667,2170.743078,9928504,20,0.259259259,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.063091255,NA,4.42E-04,NA,C16H29NO4,16,1,0.007074364,4.42E-04,3058.682346,694.4590425,2.31E-06,6.37E-07,127.9385246,16.91749292,5.53E-08,2.61E-08
7-dehydrocholesterol,Inj_vol,0.405765929,0.405765929,168941,200825,Smp,20ppt3C_A,A,200825,168941,200825_Smp_20ppt3C_A 7-dehydrocholesterol,RP,168941,7-dehydrocholesterol_X_RP,0.6,76.76311476,281568.3333,2200.809601,801867,19,0.296296296,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.148769703,NA,0.009978756,NA,C27H44O,27,NA,0.269426414,NA,3058.682346,694.4590425,8.81E-05,NA,127.9385246,16.91749292,2.11E-06,NA
Adenosyl Methionine,"Pyridoxal, D3",0.200937869,0.055185825,20833194,200825,Smp,20ppt3C_A,A,200825,21468361.16,200825_Smp_20ppt3C_A Adenosyl Methionine,RP,20833194,Adenosyl Methionine_X_RP,0.6,76.76311476,35780601.93,279670.2717,250765103,4,0.851851852,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.908832003,NA,0.746751791,NA,C15H22N6O5S,15,6,11.20127686,4.480510746,3058.682346,694.4590425,0.003662125,0.0064518,127.9385246,16.91749292,8.76E-05,2.65E-04
Agmatine,"Pyridoxal, D3",0.279644738,0.114476817,162104,200825,Smp,20ppt3C_A,A,200825,167046.2636,200825_Smp_20ppt3C_A Agmatine,RP,162104,Agmatine_X_RP,0.6,76.76311476,278410.4394,2176.1267,42618942.94,21,0.222222222,1,400,1,1,Agmatine,111688360,102972840,107330600,0.249143934,NA,0.004164584,NA,C5H14N4,5,4,0.02082292,0.016658336,3058.682346,694.4590425,6.81E-06,2.40E-05,127.9385246,16.91749292,1.63E-07,9.85E-07
C14-HSL,"L-Phenylalanine, D8",0.141694002,0.085475695,297250,200825,Smp,20ppt3C_A,A,200825,272519.6452,200825_Smp_20ppt3C_A C14-HSL,RP,297250,C14-HSL_X_RP,0.6,76.76311476,454199.4087,3550.137929,16244604.29,17,0.37037037,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.983457713,NA,0.001774446,NA,C18H33NO3,18,1,0.031940033,0.001774446,3058.682346,694.4590425,1.04E-05,2.56E-06,127.9385246,16.91749292,2.50E-07,1.05E-07
Carotene,Inj_vol,0.248768588,0.248768588,459832,200825,Smp,20ppt3C_A,A,200825,459832,200825_Smp_20ppt3C_A Carotene,RP,459832,Carotene_X_RP,0.6,76.76311476,766386.6667,5990.272821,3291806,15,0.444444444,1,400,1,1,Carotene,1048756,488824,768790,5.406240292,NA,0.073757275,NA,C40H56,40,NA,2.950290987,NA,3058.682346,694.4590425,9.65E-04,NA,127.9385246,16.91749292,2.31E-05,NA
Desthiobiotin,Inj_vol,0.207954888,0.207954888,80089,200825,Smp,20ppt3C_A,A,200825,80089,200825_Smp_20ppt3C_A Desthiobiotin,RP,80089,Desthiobiotin_X_RP,0.6,76.76311476,133481.6667,1043.326606,1256288,24,0.111111111,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.136708222,NA,2.22E-04,NA,C10H18N2O3,10,2,0.00222358,4.45E-04,3058.682346,694.4590425,7.27E-07,6.40E-07,127.9385246,16.91749292,1.74E-08,2.63E-08
Glutathione,Inj_vol,0.459983659,0.459983659,41234,200825,Smp,20ppt3C_A,A,200825,41234,200825_Smp_20ppt3C_A Glutathione,RP,41234,Glutathione_X_RP,0.6,76.76311476,68723.33333,537.1590266,660067,27,0,1,400,1,1,Glutathione,31985900,13462076,22723988,0.02488873,Literature value,0.04860455,Literature value,C10H17N3O6S,10,3,0.486045496,0.145813649,3058.682346,694.4590425,1.59E-04,2.10E-04,127.9385246,16.91749292,3.80E-06,8.62E-06
Hydroxo B12,Inj_vol,0.090996658,0.090996658,1208858,200825,Smp,20ppt3C_A,A,200825,1208858,200825_Smp_20ppt3C_A Hydroxo B12,RP,1208858,Hydroxo B12_X_RP,0.6,76.76311476,2014763.333,15747.90189,8649550,8,0.703703704,2,400,1,1,Hydroxo B12,212174720,135981952,174078336,0.713167663,NA,0.006491539,NA,C62H89CoN13O15P,62,1,0.402475409,0.006491539,3058.682346,694.4590425,1.32E-04,9.35E-06,127.9385246,16.91749292,3.15E-06,3.84E-07
Indole 3 acetamide,"L-Tryptophan, D3",0.196067499,0.129173853,109083,200825,Smp,20ppt3C_A,A,200825,135028.0346,200825_Smp_20ppt3C_A Indole 3 acetamide,RP,109083,Indole 3 acetamide_X_RP,0.6,76.76311476,225046.7244,1759.022351,4633962.935,22,0.185185185,1,400,1,1,Indole 3 acetamide,233086928,222246480,227666704,0.880651458,NA,4.49E-04,NA,C10H10N2O,10,2,0.004489822,8.98E-04,3058.682346,694.4590425,1.47E-06,1.29E-06,127.9385246,16.91749292,3.51E-08,5.31E-08
