MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolperumolCinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
3OC10-HSL,Inj_vol,0.20454390911357967,0.20454390911357967,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A 3OC10-HSL,RP,0,3OC10-HSL_X_RP,0.6,76.76311476,NA,NA,53120,30,0,1,400,1,1,3OC10-HSL,381511744,344379328,362945536,1.0515129905358633,NA,NA,NA,C14H23NO4,14,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,196465,200825,Smp,20ppt3C_A,A,200825,196465,200825_Smp_20ppt3C_A 3OC12-HSL,RP,196465,3OC12-HSL_X_RP,0.6,76.76311476,327441.6666666667,2559.3672249262963,3726265,18,0.4,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,8.876867224234156e-6,NA,C16H27NO4,16,1,1.420298755877465e-4,8.876867224234156e-6,40.04486231515661,9.079624832854506,3.5467689829960913e-6,9.776689442181933e-7,127.9385246,1.1101415780102446e-9
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,56276,200825,Smp,20ppt3C_A,A,200825,57991.75549372448,200825_Smp_20ppt3C_A 3OC8-HSL,RP,56276,3OC8-HSL_X_RP,0.6,76.76311476,96652.92582287414,755.4638145551519,1749251.4228189893,26,0.1333333333333333,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,3.608487380996454e-6,NA,C12H19NO4,12,1,4.330184857195745e-5,3.608487380996454e-6,40.04486231515661,9.079624832854506,1.0813334362637602e-6,3.9742692538784076e-7,127.9385246,3.384582455311311e-10
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,480086,200825,Smp,20ppt3C_A,A,200825,480086,200825_Smp_20ppt3C_A 3OHC12-HSL,RP,480086,3OHC12-HSL_X_RP,0.6,76.76311476,800143.3333333334,6254.123500602987,3420239,14,0.5333333333333333,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.0630912551444553,NA,1.6594831294034583e-5,NA,C16H29NO4,16,1,2.655173007045533e-4,1.6594831294034583e-5,40.04486231515661,9.079624832854506,6.630496032547414e-6,1.8277001087078399e-6,127.9385246,2.0753506540324237e-9
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,168941,200825,Smp,20ppt3C_A,A,200825,168941,200825_Smp_20ppt3C_A 7-dehydrocholesterol,RP,168941,7-dehydrocholesterol_X_RP,0.6,76.76311476,281568.3333333334,2200.809601436762,615907,19,0.3666666666666667,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.1487697034849464,NA,1.2999415278056004e-4,NA,C27H44O,27,NA,0.0035098421250751213,NA,40.04486231515661,9.079624832854506,8.764775110106144e-5,NA,127.9385246,2.7433817421676924e-8
Abscisic Acid,Inj_vol,0.5948010832827125,0.5948010832827125,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Abscisic Acid,RP,0,Abscisic Acid_X_RP,0.6,76.76311476,NA,NA,127236,30,0,1,400,1,1,Abscisic Acid,137235264,94048424,115641844,1.2182933029878322,NA,NA,NA,C15H20O4,15,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Acetosyringone,Inj_vol,0.24792455412610317,0.24792455412610317,50847,200825,Smp,20ppt3C_A,A,200825,50847,200825_Smp_20ppt3C_A Acetosyringone,RP,50847,Acetosyringone_X_RP,0.6,76.76311476,84745,662.3884421440328,160286,27,0.09999999999999998,1,400,1,1,Acetosyringone,145716896,40508348,93112622,0.9798551804385485,NA,4.840063255261853e-6,NA,C10H12O4,10,NA,4.840063255261853e-5,NA,40.04486231515661,9.079624832854506,1.208660231409994e-6,NA,127.9385246,3.7831163602943827e-10
Acetovanillone,Inj_vol,0.7897289637909989,0.7897289637909989,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Acetovanillone,RP,0,Acetovanillone_X_RP,0.6,76.76311476,NA,NA,129799,30,0,1,400,1,1,Acetovanillone,158077632,56383956,107230794,0.952430480762983,NA,NA,NA,C9H10O3,9,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,20833194,200825,Smp,20ppt3C_A,A,200825,21468361.15930997,200825_Smp_20ppt3C_A Adenosyl Methionine,RP,20833194,Adenosyl Methionine_X_RP,0.6,76.76311476,35780601.93218328,279670.27167189395,250765103.00201797,4,0.8666666666666667,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.9088320027439033,NA,0.009728002743112826,NA,C15H22N6O5S,15,6,0.14592004114669238,0.05836801645867695,40.04486231515661,9.079624832854506,0.003643914168022074,0.006428461256182417,127.9385246,1.1405480999793584e-6
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,162104,200825,Smp,20ppt3C_A,A,200825,167046.26363911282,200825_Smp_20ppt3C_A Agmatine,RP,162104,Agmatine_X_RP,0.6,76.76311476,278410.4393985214,2176.126700452206,42503447.91124861,20,0.33333333333333337,1,400,1,1,Agmatine,111688360,102972840,107330600,0.24914393357871084,NA,5.4252411160672236e-5,NA,C5H14N4,5,4,2.7126205580336115e-4,2.1700964464268894e-4,40.04486231515661,9.079624832854506,6.773954013588679e-6,2.3900728128924703e-5,127.9385246,2.1202531188433073e-9
C12-HSL,Inj_vol,0.20572058228250228,0.20572058228250228,98561,200825,Smp,20ppt3C_A,A,200825,98561,200825_Smp_20ppt3C_A C12-HSL,RP,98561,C12-HSL_X_RP,0.6,76.76311476,164268.33333333334,1283.9630115082111,534089,23,0.23333333333333328,1,400,1,1,C12-HSL,491105344,328521280,409813312,0.9942660476824442,NA,2.100741344471011e-6,NA,C16H29NO3,16,1,3.3611861511536176e-5,2.100741344471011e-6,40.04486231515661,9.079624832854506,8.393551524040177e-7,2.3136873859253582e-7,127.9385246,2.627188457630234e-10
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,764454,200825,Smp,20ppt3C_A,A,200825,700853.6009525832,200825_Smp_20ppt3C_A C14-HSL,RP,764454,C14-HSL_X_RP,0.6,76.76311476,1168089.3349209721,9130.082893897716,11522440.331399102,11,0.6333333333333333,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.9834577129134079,NA,5.944834420516756e-5,NA,C18H33NO3,18,1,0.001070070195693016,5.944834420516756e-5,40.04486231515661,9.079624832854506,2.6721784863972537e-5,6.54744499905486e-6,127.9385246,8.36394040839999e-9
C4-HSL,"Indole 3 Acetic Acid, D5",0.49066820013581464,0.367452377816696,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A C4-HSL,RP,0,C4-HSL_X_RP,0.6,76.76311476,NA,NA,1251724.7116937432,30,0,1,400,1,1,C4-HSL,157744016,128031240,142887628,0.8006542264518047,NA,NA,NA,C8H13NO3,8,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Caffeine,Inj_vol,0.48306858005634506,0.48306858005634506,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Caffeine,RP,0,Caffeine_X_RP,0.6,76.76311476,NA,NA,42186,30,0,1,400,1,1,Caffeine,197261088,121402240,159331664,0.8838478248749172,NA,NA,NA,C8H10N4O2,8,4,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,459832,200825,Smp,20ppt3C_A,A,200825,459832,200825_Smp_20ppt3C_A Carotene,RP,459832,Carotene_X_RP,0.6,76.76311476,766386.6666666667,5990.272820972227,3426356,15,0.5,1,400,1,1,Carotene,1048756,488824,768790,5.4062402923046005,NA,9.608426507739714e-4,NA,C40H56,40,NA,0.03843370603095886,NA,40.04486231515661,9.079624832854506,9.597662174109176e-4,NA,127.9385246,3.004076070997528e-7
Coenzyme Q1,Inj_vol,0.37887335009514855,0.37887335009514855,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Coenzyme Q1,RP,0,Coenzyme Q1_X_RP,0.6,76.76311476,NA,NA,1805555,30,0,1,400,1,1,Coenzyme Q1,48504560,16563388,32533974,1.2627321925002715,NA,NA,NA,C14H18O4,14,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Coenzyme Q10,Inj_vol,0.21913840860552228,0.21913840860552228,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Coenzyme Q10,RP,0,Coenzyme Q10_X_RP,0.6,76.76311476,NA,NA,47707,30,0,1,400,1,1,Coenzyme Q10,303776,80172,191974,2.965703905871837,NA,NA,NA,C59H90O4,59,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Decarboxylated S-Adenosylmethionine,Inj_vol,0.40109385236301076,0.40109385236301076,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Decarboxylated S-Adenosylmethionine,RP,0,Decarboxylated S-Adenosylmethionine_X_RP,0.6,76.76311476,NA,NA,69771,30,0,1,400,1,1,Decarboxylated S-Adenosylmethionine,170562672,54936912,112749792,1.3933852000019948,NA,NA,NA,C14H23N6O3S,14,6,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,80089,200825,Smp,20ppt3C_A,A,200825,80089,200825_Smp_20ppt3C_A Desthiobiotin,RP,80089,Desthiobiotin_X_RP,0.6,76.76311476,133481.6666666667,1043.3266061492996,915307,24,0.19999999999999996,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.1367082221065417,NA,2.896677172749864e-6,NA,C10H18N2O3,10,2,2.8966771727498637e-5,5.793354345499728e-6,40.04486231515661,9.079624832854506,7.233580053173259e-7,6.380609829314257e-7,127.9385246,2.2641164432733063e-10
Dimethyl glycine,"Pyridoxal, D3",0.41237449063336584,0.26687834500513763,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Dimethyl glycine,RP,0,Dimethyl glycine_X_RP,0.6,76.76311476,NA,NA,50347418.16805575,30,0,1,400,1,1,Dimethyl glycine,64646488,50404980,57525734,0.07202422427219486,NA,NA,NA,C4H9NO2,4,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Domoic Acid,Inj_vol,1.2472257273016407,1.2472257273016407,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Domoic Acid,RP,0,Domoic Acid_X_RP,0.6,76.76311476,NA,NA,49290,30,0,1,400,1,1,Domoic Acid,186647632,87337136,136992384,0.9338364041431204,NA,NA,NA,C15H21NO6,15,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Ferulic Acid,Inj_vol,0.6743221319126758,0.6743221319126758,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Ferulic Acid,RP,0,Ferulic Acid_X_RP,0.6,76.76311476,NA,NA,137747,30,0,1,400,1,1,Ferulic Acid,26161024,4437976,15299500,0.9081196329268754,NA,NA,NA,C10H10O4,10,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
