Identification,nmolperumolPOC,SampID
ARA,0.029065918,20ppt3C_A
ARA,0.018143924,20ppt3C_C
ARA,0.051694919,35ppt0C_A
ARA,0.084387703,35ppt0C_B
ARA,0.053142328,35ppt0C_C
ARA,0.024425846,50ppt-3C_A
ARA,0.021083097,50ppt-3C_B
ARA,0.026605734,50ppt-3C_C
ARA,0.008490873,Hero1_A
ARA,0.017547229,Hero1_B
ARA,0.094122313,StaB1_A
ARA,0.103584098,StaB1_B
ARA,0.083437104,StaB1_C
ARA,0.057477969,StaB2_A
ARA,0.060935451,StaB2_B
ARA,0.057735332,StaB2_C
ARA,0.055832378,StaB3_A
ARA,0.059795793,StaB3_C
ARA,0.06007091,StaB4_A
ARA,0.048479178,StaB4_B
ARA,0.06643018,StaB4_C
ARA,0.050861499,StaB5_A
ARA,0.060417989,StaB5_B
ARA,0.066709673,StaB5_C
EPA,0.598641364,20ppt3C_A
EPA,0.421731737,20ppt3C_C
EPA,0.557870529,35ppt0C_A
EPA,0.96679214,35ppt0C_B
EPA,0.666015351,35ppt0C_C
EPA,0.479335577,50ppt-3C_A
EPA,0.386812931,50ppt-3C_B
EPA,0.542318209,50ppt-3C_C
EPA,0.235228073,Hero1_A
EPA,0.235728057,Hero1_B
EPA,0.76207744,StaB1_A
EPA,0.862549175,StaB1_B
EPA,0.691419204,StaB1_C
EPA,0.614074308,StaB2_A
EPA,0.717479821,StaB2_B
EPA,0.66661909,StaB2_C
EPA,0.647787792,StaB3_A
EPA,0.704483424,StaB3_C
EPA,0.74473738,StaB4_A
EPA,0.610847327,StaB4_B
EPA,0.788507043,StaB4_C
EPA,0.741287989,StaB5_A
EPA,0.936293046,StaB5_B
EPA,1.007821701,StaB5_C
DHA,0.048601369,20ppt3C_A
DHA,0.037579857,20ppt3C_C
DHA,0.053043344,35ppt0C_A
DHA,0.087725447,35ppt0C_B
DHA,0.056357553,35ppt0C_C
DHA,0.039532601,50ppt-3C_A
DHA,0.033363816,50ppt-3C_B
DHA,0.042643309,50ppt-3C_C
DHA,0.012891548,Hero1_A
DHA,0.014278865,Hero1_B
DHA,0.126712381,StaB1_A
DHA,0.131718521,StaB1_B
DHA,0.108840861,StaB1_C
DHA,0.066202009,StaB2_A
DHA,0.075974736,StaB2_B
DHA,0.075422373,StaB2_C
DHA,0.069930119,StaB3_A
DHA,0.068611753,StaB3_C
DHA,0.062104701,StaB4_A
DHA,0.051639454,StaB4_B
DHA,0.064819897,StaB4_C
DHA,0.059878277,StaB5_A
DHA,0.072947234,StaB5_B
DHA,0.076288594,StaB5_C
