MassFeature_Column,Identification,nmolEnviromed,nmolEnviromin,nmolEnviromax,nmolCmed,nmolCmin,nmolCmax,molFractionmed,molFractionmin,molFractionmax
Proline_X_HILICPos,Proline,14.277423295831882,0.9988914830713796,160.21095379571938,71.3871164791594,4.994457415356898,801.0547689785969,0.11209472463574144,0.008112607810509266,0.2899690468648094
Glucosylglycerol_X_HILICPos,Glucosylglycerol,10.917902396022244,0.3571563521274319,80.25148424971361,98.2611215642002,3.214407169146887,722.2633582474225,0.0808292839881746,0.02747807986068436,0.21179051377916475
Glutamic acid_X_HILICPos,Glutamic acid,15.625521415759035,1.2689928170898823,65.7992748152573,78.12760707879518,6.344964085449412,328.99637407628654,0.0674859745618954,0.03397785530475345,0.11020749547870311
Alanine_X_HILICPos,Alanine,24.717589453485473,0.5810764370873411,227.76550094968727,74.1527683604564,1.7432293112620234,683.2965028490618,0.06413712062277718,0.012719783008760376,0.13712094420974585
Glutamine_X_HILICPos,Glutamine,9.773589983753986,0.3681385044898462,106.7477230276793,48.86794991876994,1.840692522449231,533.7386151383965,0.05873755164902984,0.015734999789789615,0.15722292368136528
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,4.275941328430612,0.044959986358149025,21.66661588589624,34.207530627444896,0.3596798908651922,173.3329270871699,0.038738094342085444,0.0026244683558629,0.05279054890466689
Taurine_X_HILICNeg,Taurine,13.459954940675296,0.13124920626825903,50.52516725526059,26.91990988135059,0.26249841253651807,101.05033451052118,0.031945208053010155,4.7788092036978605e-4,0.05393788158579265
N-Acetyl-Serine_X_HILICPos,N-Acetyl-Serine,5.700706109704529,0.6169590210589155,47.775836402500495,28.503530548522647,3.0847951052945777,238.87918201250247,0.02868456431943842,0.006459744532615752,0.24708837919843443
Aspartic acid_X_HILICPos,Aspartic acid,6.137529521496528,0.9986722267356098,45.081256025768766,24.550118085986114,3.9946889069424394,180.32502410307507,0.02526740911041405,0.010560945087906963,0.056772379476910516
Isethionic Acid_X_HILICNeg,Isethionic Acid,8.524465737905068,0.17344099964345663,78.58941029733336,17.048931475810136,0.34688199928691327,157.17882059466672,0.02406315425745359,3.051483568838734e-4,0.07471867642344066
DHPS_X_HILICNeg,DHPS,6.477348329807118,0.4029976535588078,54.313466395525104,19.432044989421353,1.2089929606764234,162.94039918657532,0.02112537686427534,0.007649897314914458,0.0412303770563417
Arginine_X_HILICPos,Arginine,3.1290689756288246,0.2659533676062714,29.8664023100083,18.77441385377295,1.5957202056376285,179.1984138600498,0.018700379110156116,0.0030876730777235164,0.10892964401951553
Hypotaurine_X_HILICPos,Hypotaurine,7.569866268434297,0.992011917240302,95.87276025104691,15.139732536868594,1.984023834480604,191.74552050209383,0.01869058248017849,0.0026146092545703704,0.2235259766838495
Betaine_X_HILICPos,Betaine,2.360542527332974,0.6503133061642299,81.58802557919921,11.802712636664868,3.251566530821149,407.94012789599606,0.017325697115479217,0.006284600708797824,0.11259868779172753
