MassFeature_Column,Identification,nmoperumolClEnviromed,nmolperumolCEnviromin,nmolperumolCEnviromax,nmolCmed,nmolCmin,nmolCmax,molFractionmed,molFractionmin,molFractionmax
Proline_X_HILICPos,Proline,0.35308460153807747,0.05916764027632615,5.069954204247923,1.7654230076903874,0.29583820138163075,25.34977102123961,0.12251825519407628,0.0076780826321224726,0.29152051619029606
Glucosylglycerol_X_HILICPos,Glucosylglycerol,0.25013014417593915,0.05038948935347543,1.1266735479897174,2.2511712975834524,0.4535054041812789,10.140061931907457,0.0951003437957313,0.038721182894705566,0.20666319581024878
Glutamic acid_X_HILICPos,Glutamic acid,0.31693181503503326,0.1224193386365736,1.0897980571232875,1.5846590751751664,0.612096693182868,5.448990285616437,0.07881460336250057,0.026279621020142627,0.11040323072671201
Alanine_X_HILICPos,Alanine,0.5533691914098069,0,2.669752303673427,1.6601075742294207,0,8.009256911020282,0.07436189617168659,0,0.13275555871079486
Glutamine_X_HILICPos,Glutamine,0.26253717309022806,0.08696716978819195,2.873117279355559,1.3126858654511402,0.4348358489409598,14.365586396777793,0.06467802767852585,0.047167859355850765,0.1561895011273939
N-Acetyl-Serine_X_HILICPos,N-Acetyl-Serine,0.24040307560428265,0.09515283285560933,0.622603696082607,1.2020153780214131,0.47576416427804663,3.113018480413035,0.0473460184737997,0.014367339730494031,0.10952270166113016
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,0.11518820220892263,0.004916767575339313,0.29098341755658913,0.9215056176713811,0.03933414060271451,2.327867340452713,0.039540246690967264,0.005458793598403246,0.053345155652848295
Taurine_X_HILICNeg,Taurine,0.3393536422278498,0,1.0819327895159832,0.6787072844556996,0,2.1638655790319663,0.03548919318367453,0,0.057159985822092
Aspartic acid_X_HILICPos,Aspartic acid,0.141658185337981,0.050676311296930836,0.5029275739595143,0.566632741351924,0.20270524518772334,2.011710295838057,0.02388458298093247,0.010632342741272876,0.07591453895349684
DHPS_X_HILICNeg,DHPS,0.15342897578862655,0.042940291007025386,0.5182748614633518,0.4602869273658796,0.12882087302107614,1.5548245843900554,0.02140812935683167,0.007701614723936925,0.04047002890694203
Isethionic Acid_X_HILICNeg,Isethionic Acid,0.19866397743161718,0,1.2030454539817284,0.39732795486323436,0,2.4060909079634567,0.020731529410840294,0,0.04874191411455901
Threonic acid_X_HILICNeg,Threonic acid,0.09493431483106136,0.016822122379225302,0.21239870495816168,0.37973725932424546,0.06728848951690121,0.8495948198326467,0.017250784897988286,0.00536666214375634,0.03202285304310374
Arginine_X_HILICPos,Arginine,0.04775689190769497,0.012640501287743178,1.4033229223661865,0.2865413514461698,0.07584300772645908,8.41993753419712,0.015416118137710015,0.005244280271460166,0.18316780284261416
Hypotaurine_X_HILICPos,Hypotaurine,0.1861931962893518,0.046493408953237274,1.7074397099193366,0.3723863925787036,0.09298681790647455,3.414879419838673,0.01501205644674928,0.0037900079484378202,0.04482374395938026
glycerol 3 phosphate_X_HILICNeg,glycerol 3 phosphate,0.07969402322835732,0.01685354403953181,0.37712941463080396,0.23908206968507195,0.05056063211859543,1.1313882438924119,0.014565320832844134,0.001377513812898713,0.03490397127038631
Phenylalanine_X_RP,Phenylalanine,0.03144869677972375,0.0082164040153187,0.14875981241433467,0.2830382710175137,0.0739476361378683,1.338838311729012,0.014212811186453593,0.006893731833234616,0.020004771277329723
Homoserine_X_HILICPos,Homoserine,0.059505798231854395,0.024759819405646834,0.35590986574404393,0.23802319292741758,0.09903927762258734,1.4236394629761757,0.01311411443000405,0.0048040373452456235,0.018488226405986116
beta-Alanine_X_HILICPos,beta-Alanine,0.09156253233368128,0.015516944658729267,0.2571854762064066,0.27468759700104384,0.0465508339761878,0.7715564286192198,0.012823478147207655,0.001547675054745129,0.03151354945090619
Cys-Gly_X_HILICPos,Cys-Gly,0.07895447027688232,0.011747512163182598,0.21864476440296357,0.3947723513844116,0.058737560815912984,1.0932238220148178,0.01268339248392995,0.004990689157740597,0.025463062744325148
Betaine_X_HILICPos,Betaine,0.051290734601200844,0.018449033381607714,0.5132029336889703,0.2564536730060042,0.09224516690803858,2.5660146684448515,0.012575001441284808,0.004930746767023667,0.049348409555321215
Asparagine_X_HILICPos,Asparagine,0.07581391617138566,0.01923080808975597,0.45093579086054286,0.30325566468554266,0.07692323235902387,1.8037431634421714,0.012124885097571213,0.008342722431865799,0.02989752159205468
Homarine_X_HILICPos,Homarine,0.030076327959095622,0.013083526113278461,0.26382392709333835,0.21053429571366936,0.09158468279294923,1.8467674896533683,0.011403067271631701,0.0034176498089507445,0.020949344069623073
Threonine_X_HILICPos,Threonine,0.05100579626551327,0.01863888548077462,0.3438517750689362,0.20402318506205308,0.07455554192309848,1.3754071002757449,0.01091428671089345,0.005857115101733478,0.022797737677844154
Glucose 6 phosphate_X_HILICNeg,Glucose 6 phosphate,0.030281544779769555,0.008587347599930243,0.24245296346031914,0.18168926867861732,0.05152408559958146,1.4547177807619147,0.010572732862389762,0.0037751689471032736,0.027143985195029488
Lysine_X_HILICPos,Lysine,0.0307012430778415,0.011154577484170538,0.7901004729618273,0.184207458467049,0.06692746490502323,4.740602837770964,0.00985948847162432,0.00504643474256925,0.10312734535349115
Fructose 6 phosphate_X_HILICNeg,Fructose 6 phosphate,0.03499511235579204,0.007392569621356327,0.1949537096613175,0.20997067413475223,0.04435541772813796,1.169722257967905,0.009754651075996485,0.003461062629230083,0.029210295412232596
