MassFeature_Column,Identification,nmoperumolClEnviromed,nmolperumolCEnviromin,nmolperumolCEnviromax,nmolCmed,nmolCmin,nmolCmax,molFractionmed,molFractionmin,molFractionmax
Proline_X_HILICPos,Proline,0.7571594897096423,0.03668393697132221,2.5203638522862346,3.7857974485482115,0.18341968485661106,12.601819261431173,0.1190417782960902,0.007716588756194592,0.2864013409879765
Glucosylglycerol_X_HILICPos,Glucosylglycerol,0.30475492589822134,0.036532379781269685,0.8468470981958118,2.742794333083992,0.32879141803142714,7.6216238837623065,0.0950834173696844,0.027990277251038576,0.21494277648778792
Alanine_X_HILICPos,Alanine,0.8395499430186861,0.04607069667196419,2.0824067968652735,2.5186498290560584,0.13821209001589257,6.247220390595821,0.07283770381411589,0.011766106129389785,0.1349494193489853
Glutamic acid_X_HILICPos,Glutamic acid,0.4467001503575051,0.10061220766083433,0.7724658243676014,2.2335007517875254,0.5030610383041716,3.8623291218380067,0.07136401461653404,0.025949378819864297,0.10946447975542002
Glutamine_X_HILICPos,Glutamine,0.44668563057772115,0.06399023356415016,1.4365586396777794,2.2334281528886057,0.31995116782075084,7.182793198388897,0.06534307431123466,0.027237699656869955,0.15464828724729235
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,0.15280754655377057,0.0035646564921210013,0.22501104451868492,1.2224603724301646,0.02851725193696801,1.8000883561494794,0.03902167769591282,0.002427696540659574,0.05347661987608058
Taurine_X_HILICNeg,Taurine,0.5033431772830108,0.010406104919226215,1.127268620025478,1.0066863545660216,0.02081220983845243,2.254537240050956,0.03448218112628134,0.0017717601240108858,0.05366977702828284
N-Acetyl-Serine_X_HILICPos,N-Acetyl-Serine,0.2027576078454218,0.052120662181964726,0.5369683002317696,1.013788039227109,0.26060331090982364,2.684841501158848,0.029652374863487728,0.006353961652873725,0.22856271140674264
Aspartic acid_X_HILICPos,Aspartic acid,0.19283872421314646,0.09025272189152639,0.31181509585489886,0.7713548968525858,0.36101088756610555,1.2472603834195954,0.023970012795018845,0.010563853441966586,0.054798869783424804
DHPS_X_HILICNeg,DHPS,0.18491161295696346,0.06556835505686807,0.352098318500702,0.5547348388708904,0.1967050651706042,1.056294955502106,0.021181647129469922,0.007652004002310931,0.03209020105033414
Isethionic Acid_X_HILICNeg,Isethionic Acid,0.3365648065671656,0.013751284986031686,0.7607921876222564,0.6731296131343312,0.027502569972063372,1.5215843752445128,0.020555250662087285,0.0023413158507700504,0.04576571573341849
Arginine_X_HILICPos,Arginine,0.07385194406424207,0.02222390730612074,0.8419937534197119,0.44311166438545246,0.13334344383672445,5.051962520518272,0.015606947625016817,0.0050292883437050954,0.18086602922934447
Threonic acid_X_HILICNeg,Threonic acid,0.125651723831412,0.007343052929933403,0.2814445983866787,0.502606895325648,0.029372211719733612,1.1257783935467147,0.015391979532889026,0.002500479953016795,0.03145247381649483
Hypotaurine_X_HILICPos,Hypotaurine,0.22941552558363204,0.051080540416438176,0.7512734723645081,0.4588310511672641,0.10216108083287635,1.5025469447290163,0.014509325977297685,0.0038526399718141076,0.041449391674803326
Phenylalanine_X_RP,Phenylalanine,0.05050324168461292,0.005956892911106056,0.09378613534702877,0.45452917516151625,0.053612036199954506,0.8440752181232589,0.014185223560611165,0.004564035661922322,0.019471599764410166
Homoserine_X_HILICPos,Homoserine,0.09950193060808628,0.02035121676118588,0.16851135388326985,0.3980077224323451,0.08140486704474352,0.6740454155330794,0.013132879389809261,0.004743667530098856,0.018082602270129443
beta-Alanine_X_HILICPos,beta-Alanine,0.11509866524539476,0.00918483158055367,0.32216175675868464,0.3452959957361843,0.02755449474166101,0.9664852702760539,0.012409629796854395,0.0015282262348780865,0.029141194797061155
Betaine_X_HILICPos,Betaine,0.07274994981607952,0.027199046424740848,0.25660146684448515,0.3637497490803976,0.13599523212370423,1.2830073342224257,0.012059482883648328,0.0048687846610972136,0.034137434401339734
glycerol 3 phosphate_X_HILICNeg,glycerol 3 phosphate,0.13430157924303252,6.759707014859931e-4,0.2992840171866445,0.4029047377290975,0.0020279121044579794,0.8978520515599335,0.011443245054822247,7.260156987898854e-5,0.03381368875292522
