Identification,MassFeature_Column,Date,RFmax,RFmin,RF,RFratio,RFratioFlag
(3-Carboxypropyl)trimethylammonium (TMAB),(3-Carboxypropyl)trimethylammonium (TMAB)_X_HILICPos,200821,364409472,263969152,314189312,0.9435769570132984,NA
3OC12-HSL,3OC12-HSL_X_RP,200825,272370112,226408096,249389104,0.770733340519836,NA
3OC8-HSL,3OC8-HSL_X_RP,200825,144879200,139877184,142378192,0.9802881290948726,NA
3OHC12-HSL,3OHC12-HSL_X_RP,200825,263336192,209337904,236337048,1.0630912551444553,NA
4-Hydroxyisoleucine,4-Hydroxyisoleucine_X_HILICPos,200821,35789920,21118962,28454441,0.7617484078934159,NA
6-Methyladenine,6-Methyladenine_X_HILICPos,200821,837457920,814556480,826007200,0.994307542556698,NA
7-dehydrocholesterol,7-dehydrocholesterol_X_RP,200825,3250480,1133756,2192118,5.1487697034849464,NA
Acetyl-L-carnitine,Acetyl-L-carnitine_X_HILICPos,200821,623718848,500156160,561937504,0.8656164979937988,NA
Acetylglutamic acid,Acetylglutamic acid_X_HILICNeg,200821,79931000,56033636,67982318,1.3134653109025463,NA
Aconitic Acid,Aconitic Acid_X_HILICNeg,200821,56155776,43559248,49857512,1.101194180978128,NA
Adenine,Adenine_X_HILICPos,200821,627041344,546868992,586955168,0.8860108513936592,NA
Adenosine,Adenosine_X_HILICPos,200821,348355424,314987424,331671424,0.8981453842281999,NA
Adenosyl Homocysteine,Adenosyl Homocysteine_X_HILICPos,200821,94468688,57783332,76126010,0.5554489918007413,NA
Adenosyl Methionine,Adenosyl Methionine_X_RP,200825,23176948,19000252,21088600,0.9088320027439033,NA
ADP,ADP_X_HILICNeg,200821,2728119.25,1333990,2031054.625,0.8553605378230629,NA
Agmatine,Agmatine_X_RP,200825,111688360,102972840,107330600,0.24914393357871084,NA
Alanine,Alanine_X_HILICPos,200821,14873938,11192656,13033297,1.0112002669286206,NA
Amino Propanesulfonic Acid,Amino Propanesulfonic Acid_X_HILICNeg,200821,21506908,15020606,18263757,0.5563818064499445,NA
AMP,AMP_X_HILICNeg,200821,10165556,6654557.5,8410056.75,1.1325798158897566,NA
Anserine,Anserine_X_HILICPos,200821,79084688,78474240,78779464,0.7019405334801487,NA
Arginine,Arginine_X_HILICPos,200821,78218904,20165398,49192151,1.1369113413732597,NA
Argininosuccinic Acid,Argininosuccinic Acid_X_HILICPos,200821,15224687,4373513,9799100,1.4134792842083135,NA
Asparagine,Asparagine_X_HILICPos,200821,11672314,9069195,10370754.5,0.6921493253025142,NA
Aspartic acid,Aspartic acid_X_HILICPos,200821,4499357,4259056.5,4379206.75,1.2469944179759247,NA
beta-Alanine,beta-Alanine_X_HILICPos,200821,23612702,18772100,21192401,1.183489296489827,NA
beta-Glutamic acid,beta-Glutamic acid_X_HILICPos,200821,24940016,22375222,23657619,0.6798445665551032,NA
Betaine,Betaine_X_HILICPos,200821,703713856,512704960,608209408,0.924489992305674,NA
Betonicine,Betonicine_X_HILICPos,200821,672108480,510638880,591373680,0.9232016086924847,NA
Butyryl-L-carnitine,Butyryl-L-carnitine_X_HILICPos,200821,1597813760,1260517504,1429165632,0.8925435366405496,NA
C14-HSL,C14-HSL_X_RP,200825,149173440,59044432,104108936,0.9834577129134079,NA
cAMP,cAMP_X_HILICNeg,200821,109192112,48699308,78945710,0.7558753719661493,NA
Carnitine,Carnitine_X_HILICPos,200821,613430528,494676640,554053584,0.9566817811199575,NA
Carotene,Carotene_X_RP,200825,1048756,488824,768790,5.4062402923046005,NA
cGMP,cGMP_X_HILICNeg,200821,24409364,12966580,18687972,0.6115404689191863,NA
Chitobiose,Chitobiose_X_HILICPos,200821,19165264,12734350,15949807,0.9057168633297525,NA
Choline,Choline_X_HILICPos,200821,240266560,212926448,226596504,1.1852489014101555,NA
Citric Acid,Citric Acid_X_HILICNeg,200821,27444536,9035820,18240178,1.145756608165006,NA
Citrulline,Citrulline_X_HILICPos,200821,36106648,29665428,32886038,1.2600832440556562,NA
Creatine,Creatine_X_HILICPos,200821,362418496,266815488,314616992,0.9462099688471564,NA
Cys-Gly,Cys-Gly_X_HILICPos,200821,2226378.6,430523,1328450.8,0.023462642802008004,NA
Cystathionine,Cystathionine_X_HILICPos,200821,9471109,7587316.5,8529212.75,0.9171800507709127,NA
Cysteic Acid,Cysteic Acid_X_HILICNeg,200821,14537700,13138194,13837947,0.9102798681424398,NA
Cysteinesulfinic acid,Cysteinesulfinic acid_X_HILICNeg,200821,6905416.8,5402722.8,6154069.8,1.1619082694739205,NA
Cystine,Cystine_X_HILICPos,200821,4267300.5,4122100.5,4194700.5,0.7395318327462561,NA
Cytidine,Cytidine_X_HILICPos,200821,53606032,43718396,48662214,0.8486073947230495,NA
Cytosine,Cytosine_X_HILICPos,200821,339773504,299401344,319587424,0.8169234486922068,NA
Deoxyadenosine,Deoxyadenosine_X_HILICPos,200821,387376512,358096864,372736688,0.9813955758212205,NA
Desthiobiotin,Desthiobiotin_X_RP,200825,244678720,177804944,211241832,1.1367082221065417,NA
DHAP,DHAP_X_HILICNeg,200821,1102532,903072.75,1002802.375,0.968493407994413,NA
DHPS,DHPS_X_HILICNeg,200821,99330056,72970032,86150044,0.8809429871035305,NA
