Compound,Rep,nmol.conc,rel_PA,umol.C,umol.N,C,N,umol.conc,Adjusted_Area,calc.blk.area.ratio,blank.area,Compound_Type,mgCtotal,umolCtotal,mgNtotal,umolNtotal,umol.conc.perumolC,relPA.perumolC,ratio.C,ratio.N,percent.C,percent.N,Ni.C,Ni.N,Nt_carbon,molfractionC,Nt_nitro,molfractionN
"2,4-Decadienal",Smp_Orange_A,3.239647688042462,59198082.18900033,0.03239647688042461,NA,10,NA,0.003239647688042462,1716744.3834810096,3.3340895166739584,514906.5059277743,PUA,15.13934563,1260.456717,1.05717892675,75.47665950937765,2.5702173222997407e-6,46965.58111880039,2.5702173222997397e-5,NA,0.00257021732229974,NA,32.396476880424615,NA,497937.8795977986,6.506128215550171e-5,88455.57226356486,NA
5-(2-Hydroxyethyl)-4-methylthiazole,Smp_Orange_A,0.03778408839575303,36834099.07024144,2.2670453037451817e-4,3.778408839575303e-5,6,1,3.778408839575303e-5,1068188.8730370018,283.58932219130025,3766.675221701175,Vitamin,15.13934563,1260.456717,1.05717892675,75.47665950937765,2.997650604431903e-8,29222.819453816624,1.798590362659142e-7,5.006062621393374e-7,1.798590362659142e-5,5.006062621393374e-5,0.22670453037451815,0.03778408839575303,497937.8795977986,4.5528677303609667e-7,88455.57226356486,4.2715328643367353e-7
5-(2-Hydroxyethyl)-4-methylthiazole,Smp_Orange_B,0.04327805751676687,42189935.65342649,2.596683451006012e-4,4.327805751676687e-5,6,1,4.327805751676687e-5,421899.3565342649,112.00842432699017,3766.675221701175,Vitamin,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,7.174704043327981e-8,69943.13499470572,4.3048224259967885e-7,1.2163401458348667e-6,4.304822425996789e-5,1.2163401458348668e-4,0.2596683451006012,0.04327805751676687,776986.0717885544,3.3419948507296564e-7,152008.04926532894,2.847089856486832e-7
5-(2-Hydroxyethyl)-4-methylthiazole,Smp_Orange_C,0.02917565700645541,28442105.823994298,1.7505394203873244e-4,2.917565700645541e-5,6,1,2.917565700645541e-5,284421.058239943,75.50984396034218,3766.675221701175,Vitamin,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.5911484925486643e-7,155114.29201661114,9.546890955291985e-7,2.7387305677423174e-6,9.546890955291985e-5,2.7387305677423174e-4,0.17505394203873245,0.02917565700645541,244299.84644329475,7.165536310697796e-7,55194.32460057564,5.285988589875983e-7
Agmatine,Smp_Orange_A,0.9394622637673724,158594539.59777516,0.00469731131883686,0.00375784905506948,5,4,9.394622637673724e-4,4599241.64833548,Inf,0,Polyamine synthesis,15.13934563,1260.456717,1.05717892675,75.47665950937765,7.453348068971196e-7,125823.07465126163,3.7266740344855962e-6,4.978822697634867e-5,3.7266740344855964e-4,0.004978822697634867,4.697311318836862,3.7578490550694896,497937.8795977986,9.433528782005981e-6,88455.57226356486,4.2482898012038074e-5
Agmatine,Smp_Orange_B,2.9099565390201407,491241889.4876558,0.0145497826951007,0.01163982615608056,5,4,0.0029099565390201406,4912418.894876558,Inf,0,Polyamine synthesis,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,4.8241714495452745e-6,814388.4852950451,2.4120857247726367e-5,3.2714009492441773e-4,0.0024120857247726364,0.03271400949244177,14.549782695100703,11.639826156080563,776986.0717885544,1.872592472810789e-5,152008.04926532894,7.657374864250334e-5
Agmatine,Smp_Orange_C,0.24820136109910643,41899906.05178901,0.00124100680549553,9.928054443964255e-4,5,4,2.4820136109910643e-4,418999.0605178901,Inf,0,Polyamine synthesis,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.353612093376299e-6,228508.8981457506,6.7680604668814835e-6,9.319504331257644e-5,6.768060466881483e-4,0.009319504331257644,1.241006805495532,0.9928054443964257,244299.84644329475,5.0798509436786994e-6,55194.32460057564,1.798745526068221e-5
Agmatine,Smp_Pink_A,0.01045702663842464,1765294.242508588,5.22851331921232e-5,4.182810655369856e-5,5,4,1.045702663842464e-5,17652.94242508588,Inf,0,Polyamine synthesis,0.798187087,66.45467376,0.03668128535,2.6188385094276314,1.573557741956574e-7,26563.88396223146,7.867788709782871e-7,1.5972006827882043e-5,7.867788709782871e-5,0.0015972006827882042,0.052285133192123204,0.04182810655369856,80030.39143966713,6.53315974738667e-7,21047.587903361855,1.987311170560191e-6
Agmatine,Smp_Pink_B,0.08308145468791737,14025326.5761895,4.154072734395869e-4,3.323258187516695e-4,5,4,8.308145468791738e-5,140253.265761895,Inf,0,Polyamine synthesis,3.269362387,272.1973513,0.1254902336,8.9593004490708,3.052250666331792e-7,51526.31540757208,1.526125333165896e-6,3.7092831146893406e-5,1.5261253331658962e-4,0.0037092831146893403,0.4154072734395869,0.3323258187516695,173876.23609866985,2.3890974566751892e-6,36214.86961705742,9.176501869694487e-6
Agmatine,Smp_Pink_C,0.01492071592908556,2518828.2323902515,7.46035796454278e-5,5.968286371634224e-5,5,4,1.492071592908556e-5,25188.28232390252,Inf,0,Polyamine synthesis,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,1.1085071091847869e-7,18713.17043827042,5.542535545923935e-7,1.1519386682227312e-5,5.5425355459239346e-5,0.0011519386682227312,0.0746035796454278,0.05968286371634224,139379.40062563264,5.352554201736737e-7,33583.78499839547,1.7771333314334193e-6
Coenzyme Q1,Smp_Orange_A,4.654577996173001,40893413.52307119,0.065164091946422,NA,14,NA,0.004654577996173001,1185908.9921690645,5.153709999312717,230107.82374778824,Quinone,15.13934563,1260.456717,1.05717892675,75.47665950937765,3.692770988004502e-6,32443.330240169755,5.169879383206302e-5,NA,0.005169879383206301,NA,65.164091946422,NA,497937.8795977986,1.3086791468658153e-4,88455.57226356486,NA
Coenzyme Q1,Smp_Pink_A,7.07020156318782,62116195.37853324,0.09898282188462948,NA,14,NA,0.00707020156318782,621161.9537853324,10.924370227327271,56860.20712036087,Quinone,0.798187087,66.45467376,0.03668128535,2.6188385094276314,1.0639133657809743e-4,934715.2256418396,0.001489478712093364,NA,0.1489478712093364,NA,98.98282188462947,NA,80030.39143966713,0.0012368154160441673,21047.587903361855,NA
Coenzyme Q1,Smp_Pink_C,2.6927747265016664,23657730.19720492,0.03769884617102333,NA,14,NA,0.0026927747265016663,236577.3019720492,4.160683084943144,56860.20712036087,Quinone,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,2.0005473879048346e-5,175760.74925236174,2.800766343066768e-4,NA,0.028007663430667684,NA,37.69884617102333,NA,139379.40062563264,2.7047645492665653e-4,33583.78499839547,NA
