Sample_name,metab_vol_ml,GFF_vol_L,mgCperL,mgCtotal,umolCtotal,C_counts,C_ug,H_counts,H_ug,mgHperL,N_counts,N_ug,mgNperL
Smp_Orange_A,29,0.002,522.046401,15.13934563,1260.456717,23793,1044.092802,14026,178.1231657,89.06158283,622,72.90889149,36.45444575
Smp_Orange_B,10,0.002,724.5075835,7.245075835,603.2033831,32992,1449.015167,19286,249.7184164,124.8592082,842,99.67323207,49.83661604
Smp_Orange_C,10,0.002,220.2364003,2.202364003,183.3622515,10080,440.4728005,7084,83.63376815,41.81688408,268,29.84263438,14.92131719
Blk_Orange_Blk,29,0.002,12.36099318,0.358468802,29.84504223,635,24.72198636,2582,22.35585579,11.1779279,24,0.158547552,0.079273776
Smp_Orange_Ev_A,10,0.006,4.897983898,0.048979839,4.07791516,741,29.38790339,2593,22.5055797,3.750929951,29,0.766828019,0.12780467
Smp_Orange_Ev_B,10,0.006,4.897983898,0.048979839,4.07791516,741,29.38790339,2593,22.5055797,3.750929951,29,0.766828019,0.12780467
Smp_Orange_Ev_C,10,0.006,4.897983898,0.048979839,4.07791516,741,29.38790339,2593,22.5055797,3.750929951,29,0.766828019,0.12780467
Blk_Orange_Ev_Blk,10,,,0,0,,,,,,,,
Smp_Pink_A,10,0.002,79.81870865,0.798187087,66.45467376,3700,159.6374173,3966,41.19384573,20.59692287,83,7.336257071,3.668128535
Smp_Pink_B,10,0.002,326.9362387,3.269362387,272.1973513,14928,653.8724773,8965,109.2365565,54.61827825,229,25.09804673,12.54902336
Smp_Pink_C,10,0.002,161.670338,1.61670338,134.6018966,7419,323.340676,5616,63.652432,31.826216,142,14.51396659,7.256983295
Blk_Pink_Blk,10,0.002,8.641464985,0.08641465,7.194625747,466,17.28292997,2485,21.03556315,10.51778157,23,0.036891458,0.018445729
Smp_Pink_Ev_A,10,0.006,1.89741776,0.018974178,1.579733378,332,11.38450656,2407,19.97388452,3.328980754,23,0.036891458,0.006148576
Smp_Pink_Ev_B,15,0.006,1.89741776,0.028461266,2.369600067,332,11.38450656,2407,19.97388452,3.328980754,23,0.036891458,0.006148576
Smp_Pink_Ev_C,10,0.006,1.89741776,0.018974178,1.579733378,332,11.38450656,2407,19.97388452,3.328980754,23,0.036891458,0.006148576
Blk_Pink_Ev_Blk,,,,,,,,,,,,,
