MassFeature_Column,20ppt3C_A,20ppt3C_B,20ppt3C_C,35ppt0C_A,35ppt0C_B,35ppt0C_C,50ppt-3C_A,50ppt-3C_B,50ppt-3C_C,Ev15SW_A,Ev32Core_A,Ev32Core_B,Ev32Core_C,Ev51Slush_A,EvXCore_A,EvXSW_A,Hero1_A,Hero1_B,Hero1_C,StaB1_A,StaB1_B,StaB1_C,StaB1_D,StaB1_E,StaB2_A,StaB2_B,StaB2_C,StaB3_A,StaB3_B,StaB3_C,StaB4_A,StaB4_B,StaB4_C,StaB5_A,StaB5_B,StaB5_C
(3-Carboxypropyl)trimethylammonium (TMAB)_X_HILICPos,41,42,41,40,43,43,44,45,45,35,29,26,31,21,33,38,36,31,33,38,38,36,37,35,37,33,38,38,38,40,38,38,36,37,33,35
3OC12-HSL_X_RP,18,18,13,17,18,20,17,16,16,21,21,19,22,10,22,20,22,22,22,16,16,16,22,22,22,16,16,16,25,21,18,14,17,24,25,25
3OC8-HSL_X_RP,26,25,14,23,23,24,22,23,23,24,20,18,16,21,26,23,15,15,15,18,18,18,15,16,17,18,19,22,23,24,26,25,26,15,16,16
3OHC12-HSL_X_RP,20,19,18,18,14,17,15,14,14,13,16,15,14,8,15,11,8,9,8,12,12,12,11,11,12,12,12,13,13,14,13,11,12,11,13,13
4-Hydroxyisoleucine_X_HILICPos,52,52,52,44,46,44,45,42,42,46,43,46,45,43,38,35,25,35,35,48,47,46,40,40,43,44,44,45,46,46,40,42,40,43,46,47
6-Methyladenine_X_HILICPos,60,63,62,61,59,60,57,57,61,62,61,58,54,59,57,58,55,57,58,62,57,59,58,59,58,57,62,61,58,60,57,62,57,59,57,61
7-dehydrocholesterol_X_RP,19,26,24,22,21,27,22,23,23,24,25,23,23,21,23,23,21,21,21,22,22,22,21,21,21,23,23,21,22,23,22,21,22,19,21,21
Acetyl-L-carnitine_X_HILICPos,23,23,21,31,33,31,36,37,32,19,27,22,22,12,25,26,27,22,25,33,33,34,32,29,30,30,29,30,30,32,29,29,30,28,30,28
Acetylglutamic acid_X_HILICNeg,27,27,19,13,12,14,17,18,18,18,24,21,19,16,15,14,7,13,12,14,13,11,13,17,12,15,14,11,14,14,12,12,10,11,13,14
Aconitic Acid_X_HILICNeg,23,20,21,21,26,28,23,21,22,25,21,23,23,18,23,18,16,19,20,20,25,22,22,26,28,28,29,21,27,28,27,28,27,25,27,29
Adenine_X_HILICPos,14,15,14,16,13,18,15,14,15,20,7,11,7,10,12,13,5,7,10,18,11,16,14,15,15,15,17,15,14,17,18,17,24,12,15,18
Adenosine_X_HILICPos,8,8,9,19,17,23,10,10,11,14,4,10,11,19,6,6,14,16,16,32,23,26,18,24,18,19,20,21,16,18,19,16,20,17,23,24
Adenosyl Homocysteine_X_HILICPos,50,48,44,55,54,58,59,59,58,57,59,70,70,67,70,66,64,68,68,66,66,67,66,66,60,67,61,62,59,62,61,58,63,67,65,65
Adenosyl Methionine_X_RP,4,4,4,3,4,3,5,5,4,5,5,6,6,5,6,7,12,10,11,5,7,8,7,7,5,6,5,5,5,5,6,4,4,6,5,6
ADP_X_HILICNeg,34,29,30,36,35,36,28,17,25,20,35,30,32,22,35,28,29,32,32,34,34,33,26,33,36,36,35,35,36,36,34,34,33,32,33,34
