"","List.of.MFs","list.of.pvals"
"Culture1","3OHC12-HSL",0.0158570715668298
"Culture2","4-Hydroxyisoleucine",0.00376110870803224
"Culture3","Acetyl-L-carnitine",0.000648755611092437
"Culture4","Acetylglutamic acid",0.00146152334618839
"Culture5","Adenosine",0.000465147034656507
"Culture6","Adenosyl Methionine",0.00577646418975184
"Culture7","Alanine",0.00576815297274834
"Culture8","Amino Propanesulfonic Acid",0.00337375717079224
"Culture9","AMP",0.00654872206368118
"Culture10","Asparagine",0.0136715746434565
"Culture11","Aspartic acid",0.00197118551718644
"Culture12","beta-Alanine",0.0269922162133888
"Culture13","Betaine",0.00200172514622275
"Culture14","Betonicine",0.00455869086485334
"Culture15","C14-HSL",0.0268555448586246
"Culture16","Carotene",0.0179620602677077
"Culture17","cGMP",0.0440357142320122
"Culture18","Choline",0.0248111964902667
"Culture19","Citrulline",0.0247132567108725
"Culture20","Creatine",0.0045427773735591
"Culture21","Cys-Gly",0.00500999902324622
"Culture22","Cystathionine",0.00644591714548962
"Culture23","Cysteic Acid",4.9649685010878e-05
"Culture24","Desthiobiotin",5.54598385018514e-05
"Culture25","DHAP",0.0315757702985617
"Culture26","Dimethylsulfonioacetate (DMS-Ac)",5.79388966708939e-05
"Culture27","DMSP",1.35077793197006e-08
"Culture28","Ectoine",0.00215076311269626
"Culture29","Ethyl Dihydroxybenzoate",0.019494504602956
"Culture30","FAD",0.018964483139711
"Culture31","Gluconic Acid",0.025546972421466
"Culture32","Glucosylglycerol",0.00981703228573203
"Culture33","Glutamic acid",0.00449499772238792
"Culture34","Glutamine",0.00709961130103123
"Culture35","glycerol 3 phosphate",0.00161940524024273
"Culture36","Glycerophosphocholine",0.000418510156172197
"Culture37","Glycine",0.00585377413648774
"Culture38","GMP",0.00425927692988962
"Culture39","Gonyol",0.0472793749190469
"Culture40","Guanine",0.012815875396342
"Culture41","Histidine",0.0176527412937396
"Culture42","Homarine",0.00115679495176783
"Culture43","Homoserine",0.000211203144224406
"Culture44","Hypotaurine",3.64663468459956e-05
"Culture45","IAA",0.00535618944353016
"Culture46","Indole 3 acetamide",0.0106060201380845
"Culture47","Isobutyryl-L-carnitine",0.00542733728269367
"Culture48","Leucine",3.85582361193895e-05
"Culture49","Methylmalonyl carnitine",0.00519653896169788
"Culture50","Muramic Acid",0.000672957090159973
"Culture51","N-Acetyl-Serine",0.0221554190390453
"Culture52","N-Acetylglucosamine",0.0224922995611825
"Culture53","N-acetyltaurine",0.00180505510547757
"Culture54","N(e)-Acetyl-Lysine",8.59246106580291e-05
"Culture55","NAD",0.000215878000625375
"Culture56","Ophthalmic Acid",0.00218514550204302
"Culture57","PEP",0.0239380365469702
"Culture58","Proline",4.29906751167102e-05
"Culture59","Propionyl-L-carnitine",0.0202990460461432
"Culture60","Propionylglycine",0.0242948483973494
"Culture61","Pyridoxal",0.0420425943795088
"Culture62","Serine",9.06281217363462e-06
"Culture63","Stachydrine hydrochloride",0.00120873762310936
"Culture64","Taurine",8.12073859357547e-06
"Culture65","Threonic acid",0.00342434828720814
