"","List.of.MFs","list.of.pvals","list.of.qvals","Sig"
"1","(3-Carboxypropyl)trimethylammonium (TMAB)",0.122843836378376,0.15936437965539,FALSE
"2","3OC12-HSL",0.64260104665933,0.662222452664195,FALSE
"3","3OC8-HSL",0.321877690937998,0.366696103600251,FALSE
"4","3OHC12-HSL",0.0158570715668298,0.0305814951646004,TRUE
"5","4-Hydroxyisoleucine",0.00376110870803224,0.0100480059248917,TRUE
"6","6-Methyladenine",0.140503030985282,0.178102433643315,FALSE
"7","7-dehydrocholesterol",0.268737923624892,0.315474953820526,FALSE
"8","Acetyl-L-carnitine",0.000648755611092437,0.00243283354159664,TRUE
"9","Acetylglutamic acid",0.00146152334618839,0.00487174448729463,TRUE
"10","Aconitic Acid",0.0754010857239618,0.106536671052848,FALSE
"11","Adenine",0.354294735648214,0.395287514979413,FALSE
"12","Adenosine",0.000465147034656507,0.00184686116994837,TRUE
"13","Adenosyl Homocysteine",0.0519010718931923,0.0774214884594581,FALSE
"14","Adenosyl Methionine",0.00577646418975184,0.0133303019763504,TRUE
"15","ADP",0.0695757197243166,0.0999225761998164,FALSE
"16","Agmatine",0.0571960144424416,0.0842626897670728,FALSE
"17","Alanine",0.00576815297274834,0.0133303019763504,TRUE
"18","Amino Propanesulfonic Acid",0.00337375717079224,0.00933913169238584,TRUE
"19","AMP",0.00654872206368118,0.0145128587562322,TRUE
"20","Anserine",0.0596311900133288,0.0870293043437771,FALSE
"21","Arginine",0.185063611650787,0.225077365521227,FALSE
"22","Argininosuccinic Acid",0.648309236030225,0.665564614935972,FALSE
"23","Asparagine",0.0136715746434565,0.0269439792243302,TRUE
"24","Aspartic acid",0.00197118551718644,0.00618860569349231,TRUE
"25","beta-Alanine",0.0269922162133888,0.0441690810764545,TRUE
"26","beta-Glutamic acid",0.477229326336362,0.511317135360388,FALSE
"27","Betaine",0.00200172514622275,0.00621225045379475,TRUE
"28","Betonicine",0.00455869086485334,0.0112177491105963,TRUE
"29","Butyryl-L-carnitine",0.299580729370885,0.345670072351021,FALSE
"30","C14-HSL",0.0268555448586246,0.0441690810764545,TRUE
"31","cAMP",0.0908723334495258,0.123916818340262,FALSE
"32","Carnitine",0.388586789264431,0.429776130578593,FALSE
"33","Carotene",0.0179620602677077,0.0336788630019519,TRUE
"34","cGMP",0.0440357142320122,0.0675547888786551,FALSE
"35","Chitobiose",0.400712342914119,0.438025638003288,FALSE
"36","Choline",0.0248111964902667,0.0416088388346087,TRUE
"37","Citric Acid",0.11549786720475,0.15211914217211,FALSE
"38","Citrulline",0.0247132567108725,0.0416088388346087,TRUE
"39","Creatine",0.0045427773735591,0.0112177491105963,TRUE
"40","Cys-Gly",0.00500999902324622,0.0120776762167543,TRUE
"41","Cystathionine",0.00644591714548962,0.0145033135773516,TRUE
"42","Cysteic Acid",4.9649685010878e-05,0.000311753836114815,TRUE
"43","Cysteinesulfinic acid",0.654425668579617,0.669298979229154,FALSE
"44","Cystine",0.099156040509368,0.133860654687647,FALSE
