"","Sample_type","List.of.MFs","list.of.pvals","list.of.qvals","Sig"
"1","Culture1","MF_10046_269.21127_10.18_RP_Unknown",0.0859280034581963,0.234757551931543,FALSE
"2","Culture2","MF_1014_164.07098_11.422_HILICNeg_Unknown",0.0452400621720214,0.136045654589244,FALSE
"3","Culture3","MF_1015_143.08148_9.7_HILICPos_Ectoine",0.00213191913473069,0.0185654624649464,TRUE
"4","Culture4","MF_1027_165.0914_1.822_HILICNeg_Unknown",0.00199497466240805,0.0177425406146078,TRUE
"5","Culture5","MF_1028_166.01723_4.819_HILICNeg_Unknown",0.00130023047391231,0.0139358035409063,TRUE
"6","Culture6","MF_1035_144.10205_7.083_HILICPos_Stachydrine hydrochloride",0.00117978857213298,0.0131395753255345,TRUE
"7","Culture7","MF_1040_167.01247_9.865_HILICNeg_Unknown",0.0606158931687716,0.175954467670462,FALSE
"8","Culture8","MF_1042_167.02013_10.001_HILICNeg_Unknown",0.20637360172487,0.492938088691404,FALSE
"9","Culture9","MF_1047_145.06076_9.059_HILICPos_Unknown",0.00118715505575556,0.0131395753255345,TRUE
"10","Culture10","MF_1048_145.06081_9.547_HILICPos_Unknown",0.0200123651281811,0.0733786721366642,FALSE
"11","Culture11","MF_1051_167.99667_12.555_HILICNeg_Cysteic Acid",3.68988694269989e-05,0.00279701264751245,TRUE
"12","Culture12","MF_1064_146.09242_11.497_HILICPos_Unknown",0.000963621291051694,0.0117770038631843,TRUE
"13","Culture13","MF_1067_146.1176_10.11_HILICPos_(3-Carboxypropyl)trimethylammonium (TMAB)",0.125484899402786,0.323782024384965,FALSE
"14","Culture14","MF_10781_279.19528_9.272_RP_Unknown",0.192417457321055,0.463707145856471,FALSE
"15","Culture15","MF_1090_171.0058_12.287_HILICNeg_glycerol 3 phosphate",0.00187525438904136,0.0174190296582064,TRUE
"16","Culture16","MF_1098_148.04272_9.789_HILICPos_Unknown",0.0218876803767923,0.078749850810701,FALSE
"17","Culture17","MF_1099_148.04276_11.206_HILICPos_Unknown",0.0135499661788132,0.0568250586293339,FALSE
"18","Culture18","MF_113_84.045_11.7_HILICPos_Unknown",0.265227281249383,0.602527193273054,FALSE
"19","Culture19","MF_1132_150.05843_7.34_HILICPos_Methionine",0.728385652507631,1,FALSE
"20","Culture20","MF_1136_173.10381_19.411_HILICNeg_Unknown",0.116122865827038,0.303370986973136,FALSE
"21","Culture21","MF_116_84.04504_11.092_HILICPos_Unknown",0.00781994752705354,0.0413764312190934,TRUE
"22","Culture22","MF_1165_152.05661_8.723_HILICPos_Guanine",0.012908165337833,0.0556248774351977,FALSE
"23","Culture23","MF_1166_152.05678_8.723_HILICPos_Unknown",0.0278204993530967,0.0937820058838258,FALSE
"24","Culture24","MF_1167_152.05687_7.833_HILICPos_Unknown",0.610889838878135,1,FALSE
