"","Sample_type","List.of.MFs","list.of.pvals","list.of.qvals","Sig"
"1","Culture1","(3-Carboxypropyl)trimethylammonium (TMAB)",0.122843836378375,0.342939043222965,FALSE
"2","Culture2","3OC12-HSL",0.64260104665933,1,FALSE
"3","Culture3","3OC8-HSL",0.321877690937998,0.777146136679131,FALSE
"4","Culture4","3OHC12-HSL",0.0158570715668298,0.0810626185262385,FALSE
"5","Culture5","4-Hydroxyisoleucine",0.00376110870803223,0.0314992854297699,TRUE
"6","Culture6","6-Methyladenine",0.140503030985282,0.388193941278922,FALSE
"7","Culture7","7-dehydrocholesterol",0.268737923624892,0.660750124141937,FALSE
"8","Culture8","Acetyl-L-carnitine",0.000648755611092442,0.00965925020959858,TRUE
"9","Culture9","Acetylglutamic acid",0.00146152334618835,0.0186518217513561,TRUE
"10","Culture10","Aconitic Acid",0.326372726978023,0.780634776508884,FALSE
"11","Culture11","Adenine",0.354294735648218,0.818543009945883,FALSE
"12","Culture12","Adenosine",0.000465147034656502,0.00733290619340838,TRUE
"13","Culture13","Adenosyl Homocysteine",0.0519010718931918,0.183019569307571,FALSE
"14","Culture14","Adenosyl Methionine",0.00577646418975184,0.0364839876413654,TRUE
"15","Culture15","ADP",0.0695757197243172,0.227393815684354,FALSE
"16","Culture16","Agmatine",0.0571960144424416,0.194803645466193,FALSE
"17","Culture17","Alanine",0.00576815297274834,0.0364839876413654,TRUE
"18","Culture18","Amino Propanesulfonic Acid",0.00337375717079224,0.0305908446990594,TRUE
"19","Culture19","AMP",0.0065487220636812,0.0398876707515128,TRUE
"20","Culture20","Anserine",0.0596311900133286,0.199764486544651,FALSE
"21","Culture21","Arginine",0.200301216419179,0.526281627454313,FALSE
"22","Culture22","Argininosuccinic Acid",0.855222967499679,1,FALSE
"23","Culture23","Asparagine",0.0136715746434565,0.0732796400889266,FALSE
"24","Culture24","Aspartic acid",0.00197118551718643,0.0214584935675079,TRUE
"25","Culture25","beta-Alanine",0.0269922162133889,0.10483933253896,FALSE
"26","Culture26","beta-Glutamic acid",0.477229326336362,1,FALSE
"27","Culture27","Betaine",0.00200172514622275,0.0214584935675079,TRUE
"28","Culture28","Betonicine",0.00455869086485334,0.0339369208827971,TRUE
"29","Culture29","C14-HSL",0.0268555448586246,0.10483933253896,FALSE
"30","Culture30","cAMP",0.0908723334495257,0.276747560959919,FALSE
"31","Culture31","Carnitine",0.388586789264425,0.882553046803948,FALSE
"32","Culture32","Carotene",0.0179620602677077,0.0875242209408301,FALSE
"33","Culture33","cGMP",0.0440357142320122,0.159480694786206,FALSE
"34","Culture34","Chitobiose",0.44466337501183,0.976801512321069,FALSE
"35","Culture35","Choline",0.0248111964902667,0.101763319280217,FALSE
"36","Culture36","Citric Acid",0.206998457048914,0.538597927078729,FALSE
"37","Culture37","Citrulline",0.0247132567108724,0.101763319280217,FALSE
"38","Culture38","Creatine",0.0045427773735591,0.0339369208827971,TRUE
"39","Culture39","Cys-Gly",0.00500999902324622,0.0362886415737834,TRUE
"40","Culture40","Cystathionine",0.00372491389193622,0.0314992854297699,TRUE
"41","Culture41","Cysteic Acid",4.96496850108773e-05,0.00141160220979997,TRUE
"42","Culture42","Cysteinesulfinic acid",0.654425668579617,1,FALSE
"43","Culture43","Cystine",0.099156040509368,0.298582234342816,FALSE
"44","Culture44","Cytidine",0.41699846029426,0.931296561323847,FALSE
"45","Culture45","Cytosine",0.178515189447398,0.473683869028739,FALSE
"46","Culture46","Deoxyadenosine",0.107256515276284,0.315876330703781,FALSE
"47","Culture47","Desthiobiotin",5.54598385018513e-05,0.00141160220979997,TRUE
"48","Culture48","DHAP",0.0315757702985617,0.120890092000208,FALSE
"49","Culture49","DHPS",0.226134061234598,0.582730080873773,FALSE
"50","Culture50","Dimethylsulfonioacetate (DMS-Ac)",5.79388966708944e-05,0.00141160220979997,TRUE
"51","Culture51","DMSP",1.35077793197006e-08,3.62008485767975e-06,TRUE
"52","Culture52","Ectoine",0.00215076311269624,0.0216895923906493,TRUE
"53","Culture53","Ethyl Dihydroxybenzoate",0.019494504602956,0.0916583725191614,FALSE
"54","Culture54","FAD",0.018964483139711,0.0907585978829026,FALSE
"55","Culture55","Fructose 6 phosphate",0.343298223231827,0.804218204541777,FALSE
"56","Culture56","Gluconic Acid",0.025546972421466,0.102187889685864,FALSE
"57","Culture57","Glucose 1 phosphate",0.345093632545912,0.804218204541777,FALSE
"58","Culture58","Glucose 6 phosphate",0.585477798662385,1,FALSE
"59","Culture59","Glucosylglycerol",0.00981703228573203,0.0559779713314082,FALSE
"60","Culture60","Glutamic acid",0.00449499772238792,0.0339369208827971,TRUE
"61","Culture61","Glutamine",0.00709961130103123,0.0422821295261416,TRUE
"62","Culture62","Glutathione",0.309812478589897,0.754815856928113,FALSE
"63","Culture63","Glutathione Disulfide",0.0626641334727974,0.207333182354441,FALSE
"64","Culture64","glycerol 3 phosphate",0.00161940524024273,0.0197273001993205,TRUE
"65","Culture65","Glycerophosphocholine",0.000418510156172197,0.0070100451158843,TRUE
"66","Culture66","Glycine",0.00585377413648773,0.0364839876413654,TRUE
"67","Culture67","GMP",0.00425927692988961,0.0339369208827971,TRUE
"68","Culture68","Gonyol",0.0472793749190472,0.168944966377395,FALSE
"69","Culture69","Guanine",0.0128158753963421,0.0700949919636668,FALSE
"70","Culture70","Guanosine",0.117788150096052,0.335821534316403,FALSE
"71","Culture71","Histidine",0.0176527412937396,0.0875242209408301,FALSE
"72","Culture72","Homarine",0.00115679495176783,0.0161970841496654,TRUE
"73","Culture73","Homoserine",0.000211203144224405,0.00385702027784003,TRUE
"74","Culture74","Hydroxo B12",0.0529570327708379,0.18431798418941,FALSE
"75","Culture75","Hypotaurine",3.64663468459956e-05,0.00141160220979997,TRUE
"76","Culture76","Hypoxanthine",0.150156473779552,0.41063198951959,FALSE
"77","Culture77","IAA",0.00535618944353016,0.0363631597940476,TRUE
"78","Culture78","Indole 3 acetamide",0.0106060201380845,0.0592169457709717,FALSE
"79","Culture79","Indole 3 methyl acetate",0.233251793272271,0.590072026326002,FALSE
"80","Culture80","Inosine",0.329148245319044,0.780634776508884,FALSE
"81","Culture81","Isethionic Acid",0.466543615600329,1,FALSE
"82","Culture82","Isobutyryl-L-carnitine",0.00542733728269367,0.0363631597940476,TRUE
"83","Culture83","Ketoglutaric Acid",0.43976387906206,0.974022475939107,FALSE
"84","Culture84","Kynurenine",0.233386696979688,0.590072026326002,FALSE
"85","Culture85","L-Pyroglutamic acid",0.964020788013648,1,FALSE
"86","Culture86","Leucine",3.85582361193894e-05,0.00141160220979997,TRUE
"87","Culture87","Lysine",0.120880988546086,0.3410116308458,FALSE
"88","Culture88","Methionine",0.523714993990129,1,FALSE
"89","Culture89","Methionine Sulfoxide",0.0574234626560792,0.194803645466193,FALSE
"90","Culture90","Methylmalonyl carnitine",0.00519653896169788,0.0363631597940476,TRUE
"91","Culture91","Methylthioadenosine",0.258393736204215,0.641199271321571,FALSE
"92","Culture92","Muramic Acid",3.45642935597922e-05,0.00141160220979997,TRUE
"93","Culture93","N-Acetyl-Serine",0.0221554190390454,0.0988186275802776,FALSE
"94","Culture94","N-Acetylglucosamine",0.0224922995611826,0.0988186275802776,FALSE
"95","Culture95","N-acetyltaurine",0.00180505510547758,0.0210328160116518,TRUE
"96","Culture96","N(e)-Acetyl-Lysine",8.59246106580285e-05,0.00191898297136264,TRUE
"97","Culture97","NAD",0.000215878000625375,0.00385702027784003,TRUE
"98","Culture98","Ophthalmic Acid",0.00218514550204303,0.0216895923906493,TRUE
"99","Culture99","Ornithine",0.0901952888886378,0.276747560959919,FALSE
"100","Culture100","Orotic Acid",0.173340480954723,0.464552488958658,FALSE
"101","Culture101","PEP",0.0751463615255902,0.236087465361557,FALSE
"102","Culture102","Phenylalanine",0.0757594105264696,0.236087465361557,FALSE
"103","Culture103","Phosphoglyceric Acid",0.0733869261914127,0.234335594526007,FALSE
"104","Culture104","Proline",4.29906751167102e-05,0.00141160220979997,TRUE
"105","Culture105","Propionyl-L-carnitine",0.0202990460461432,0.0937955920752825,FALSE
"106","Culture106","Propionylglycine",0.0242948483973494,0.101763319280217,FALSE
"107","Culture107","Pyridoxal",0.0420425943795088,0.156491879079283,FALSE
"108","Culture108","Resorcylic Acid",0.0734484699260619,0.234335594526007,FALSE
"109","Culture109","Ribose 5 phosphate",0.155704573281361,0.421503289286916,FALSE
"110","Culture110","RP B12",0.109980963096619,0.320379327281454,FALSE
"111","Culture111","Serine",9.06281217363467e-06,0.000809611220844697,TRUE
"112","Culture112","Stachydrine hydrochloride",0.00120873762310936,0.0161970841496654,TRUE
"113","Culture113","Sulfurol",0.589954326920825,1,FALSE
"114","Culture114","Taurine",8.12073859357547e-06,0.000809611220844697,TRUE
"115","Culture115","Thiamine monophosphate",0.254335469398931,0.637027156999191,FALSE
"116","Culture116","Threonic acid",0.00342434828720814,0.0305908446990594,TRUE
"117","Culture117","Threonine",0.0212217186455698,0.0963969592714017,FALSE
"118","Culture118","trans Hydroxyl proline",0.0243989880219036,0.101763319280217,FALSE
"119","Culture119","Trigonelline",0.000145441462037604,0.00299833167892906,TRUE
"120","Culture120","Trimethyl-L-lysine",0.923577212344274,1,FALSE
"121","Culture121","Trimethylamine N-oxide",0.00975441909836179,0.0559779713314082,FALSE
"122","Culture122","Trimethylammonium Propionate (TMAP)",0.100326767840949,0.298750819793049,FALSE
"123","Culture123","Tryptophan",0.586699080747428,1,FALSE
"124","Culture124","Turicine",3.17131875303024e-05,0.00141160220979997,TRUE
"125","Culture125","Tyrosine",0.931038066037159,1,FALSE
"126","Culture126","UDP-glucosamine",0.0250611159421429,0.101763319280217,FALSE
"127","Culture127","UDP-glucose",0.043191161247676,0.158564811155852,FALSE
"128","Culture128","Uridine",0.116967649927387,0.335821534316403,FALSE
"129","Culture129","Vitamin B1",0.3639781571814,0.83372774465483,FALSE
"130","Culture130","Vitamin B2",0.0388104117122575,0.146495638575845,FALSE
"131","Culture131","Vitamin B3",0.0160310402309352,0.0810626185262385,FALSE
"132","Culture132","Vitamin B5",0.399500797355944,0.899716081440277,FALSE
"133","Culture133","Vitamin B6",0.00290555027944738,0.0278102669604249,TRUE
"134","Culture134","Xanthine",0.0144445394547336,0.0759046387033059,FALSE
