,VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
3,Amoebophilaceae.6,Amoebophilaceae.6,1,7.44E-232,1.79E-230,1,7.44E-232,9.03E-231,1,1,1
498,Amoebophilaceae.6,Polaribacter.sp..L3A8.45,-0.153657179,0.401112112,0.520661061,-0.534705454,0.001617121,0.005380864,0.089353325,NA,NA
632,Amoebophilaceae.6,Rhizosolenia_pungens.14,-0.152311669,0.405297891,0.52548968,-0.50429694,0.003249725,0.00967719,-0.044506127,0.92,1
597,Amoebophilaceae.6,Pseudopedinella_elastica.4,-0.142637073,0.436115628,0.552739807,-0.473662734,0.006174719,0.016505684,-0.0487175,0.96,1
668,Amoebophilaceae.6,Marinomonas.5,-0.192676953,0.29073035,0.408907524,-0.444556321,0.010796968,0.026191355,0.009874522,0.92,1
467,Amoebophilaceae.6,Polaribacter.sp..L3A8.14,-0.256184998,0.156983573,0.247660797,-0.420606253,0.016528736,0.037665483,0.0005518,0.9,1
302,Amoebophilaceae.6,Octadecabacter,0.418001588,0.01728208,0.041922981,0.392692898,0.026202894,0.055558017,0.151026927,NA,NA
782,Amoebophilaceae.6,Fragilariopsis_sublineata.23,-0.181105571,0.321216117,0.44079292,-0.359789226,0.04311426,0.084139939,0.023117715,0.74,1
233,Amoebophilaceae.6,Aureococcus_anophagefferens.4,0.144251833,0.430884711,0.548575568,0.305996891,0.088523066,0.153150335,-0.049729691,0.96,1
47,Amoebophilaceae.6,Stellarima_microtrias.4,-0.193484258,0.288674841,0.408051654,-0.300048606,0.095217203,0.162981797,0.023355214,0.9,1
1083,Amoebophilaceae.6,Polaribacter.sp..L3A8.58,-0.022335457,0.903424537,0.937500348,-0.290360938,0.106933709,0.179763374,-0.011258625,0.88,1
278,Amoebophilaceae.6,Phaeocystis_antarctica.4,-0.011840483,0.948717689,0.970699118,-0.280942372,0.119333036,0.197082964,0.077228379,0.94,1
1037,Amoebophilaceae.6,Chaetoceros_neogracilis.2,-0.179825993,0.324704596,0.444498525,-0.273507797,0.129851707,0.210147382,0.013176575,0.84,1
2,Amoebophilaceae.6,Raphid.pennate_X_sp..15,0.43364238,0.013157051,0.0336396,0.269983431,0.13507011,0.216846331,0.089957339,0.88,1
563,Amoebophilaceae.6,Rhizosolenia_pungens.15,0.170357108,0.351241918,0.469989185,-0.269933933,0.135144477,0.216846331,-0.047034551,0.98,1
30,Amoebophilaceae.6,Porosira_pseudodelicatula.11,-0.152042567,0.406138009,0.525974368,-0.263450749,0.145146697,0.228464636,-0.071247306,0.94,1
212,Amoebophilaceae.6,MAST.1C_XX_sp..5,0.085652931,0.641138894,0.73646097,0.259113584,0.152131743,0.23767951,0.007728155,0.82,1
93,Amoebophilaceae.6,Pseudohongiella.spirulinae.2,0.03822999,0.835437415,0.889031513,0.231264515,0.202830624,0.296748306,0.032229282,0.98,1
353,Amoebophilaceae.6,Polaribacter.sp..L3A8.19,0.079115955,0.666892231,0.760621271,-0.214743308,0.237892082,0.338636652,0.008525677,0.94,1
80,Amoebophilaceae.6,Planktomarina.temperata.RCA23.7,-0.171052218,0.34925066,0.469552734,0.204993288,0.260383863,0.363506186,0.00014629,1,1
