"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"1","Glaciecola.amylolytica.5","Glaciecola.amylolytica.5",1,0,0,1,0,0,1,1,1
"2","Glaciecola.amylolytica.5","Polaribacter.sp..L3A8.58",0.673913043478261,0.000422462846877459,0.00179693398411419,0.618577075098814,0.00165304085223732,0.00784874048058417,-0.0920627943656949,0.96,1
"3","Polaribacter.sp..L3A8.58","Polaribacter.sp..L3A8.58",1,0,0,1,0,0,1,1,1
"4","Glaciecola.amylolytica.5","Rhizosolenia_pungens.15",0.436372635016827,0.0373675141986359,0.0782482134928701,0.140845074722306,0.521517199600964,0.645311686374931,0.0307499009635826,0.88,1
"5","Polaribacter.sp..L3A8.58","Rhizosolenia_pungens.15",0.207066969504021,0.343125140775219,0.453918247785792,-0.121077344936719,0.582102521884345,0.695006854815383,0.0745187972453228,0.7,1
"6","Rhizosolenia_pungens.15","Rhizosolenia_pungens.15",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"7","Glaciecola.amylolytica.5","Placidiales_XX_sp.",0.390906856509978,0.0651320177787208,0.12144097683247,0.29799852651772,0.167257905316326,0.287768165747893,-0.0114140548865065,0.96,1
"8","Placidiales_XX_sp.","Polaribacter.sp..L3A8.58",0.204596003280823,0.3490426773798,0.458773905354351,0.0845070448333834,0.701447366616162,0.78544152111956,-0.0224549002384496,0.92,1
"9","Placidiales_XX_sp.","Rhizosolenia_pungens.15",0.788185862580326,7.96167925978938e-06,5.77103970014319e-05,0.652743450321305,0.000734881837783999,0.00414852650361935,-0.0155906791340284,0.96,1
"10","Placidiales_XX_sp.","Placidiales_XX_sp.",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"11","Glaciecola.amylolytica.5","Pseudopedinella_elastica.4",0.423523610656196,0.0440306656313068,0.0887131009841296,0.213985674928977,0.326874680937579,0.469274727041129,0.0259019577289283,0.92,1
"12","Polaribacter.sp..L3A8.58","Pseudopedinella_elastica.4",0.231776631736005,0.287260642770489,0.392739160037778,-0.0163083770731091,0.94112559195618,0.959932431429077,-0.0363181390143545,0.88,1
"13","Pseudopedinella_elastica.4","Rhizosolenia_pungens.15",0.727137913989125,8.46898315961876e-05,0.000449112743313116,0.61344537815126,0.00185234994864564,0.00862786573038368,-0.0873235706057731,0.88,1
"14","Placidiales_XX_sp.","Pseudopedinella_elastica.4",0.961196243203164,3.20592135881718e-13,7.40991257462461e-12,0.90731586752348,2.35464501142323e-09,4.88888159151434e-08,0.00050340933194465,0.86,1
"15","Pseudopedinella_elastica.4","Pseudopedinella_elastica.4",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"16","Glaciecola.amylolytica.5","Porosira_pseudodelicatula.11",0.408102766798419,0.0532148399206621,0.103802832647788,0.295454545454545,0.171087359702767,0.292304066437781,0.0176789077211849,0.92,1
"17","Polaribacter.sp..L3A8.58","Porosira_pseudodelicatula.11",0.362648221343874,0.0890061243142019,0.156881298251651,0.290513833992095,0.1786974302341,0.299049661252421,0.0610223975620713,0.88,1
"18","Porosira_pseudodelicatula.11","Rhizosolenia_pungens.15",0.727452456109592,8.37993486598493e-05,0.000446322617862241,0.631578966649497,0.00122785838577081,0.00624118889032883,0.212193068144813,NA,NA
"19","Placidiales_XX_sp.","Porosira_pseudodelicatula.11",0.864343984874781,1.05661713547174e-07,1.15567499192221e-06,0.864343984874781,1.05661713547174e-07,1.74912971750389e-06,0.031130314586169,0.74,1
"20","Porosira_pseudodelicatula.11","Pseudopedinella_elastica.4",0.847047221312392,3.43922116754223e-07,3.37043674419138e-06,0.785767258977073,8.86694558653067e-06,0.000100574151328704,0.0439451594641598,0.8,1
"21","Porosira_pseudodelicatula.11","Porosira_pseudodelicatula.11",1,0,0,1,0,0,1,1,1
"22","Fragilariopsis_sublineata.15","Glaciecola.amylolytica.5",0.297010140028441,0.168738570818733,0.260143876179714,0.113170253022484,0.607157395400672,0.714474360581963,-0.0469252023401598,0.84,1
"23","Fragilariopsis_sublineata.15","Polaribacter.sp..L3A8.58",0.198665684345147,0.363487651890002,0.474198480900163,0.0499135177086065,0.821070628103329,0.87461871254485,-0.0117545159672118,0.8,1
"24","Fragilariopsis_sublineata.15","Rhizosolenia_pungens.15",0.769154720711814,1.79396880221545e-05,0.000118151171113652,0.644587246663371,0.000899669882974443,0.00492006967251649,-0.0238725268186507,0.9,1
"25","Fragilariopsis_sublineata.15","Placidiales_XX_sp.",0.833662876915472,7.79754644515463e-07,7.29159877504918e-06,0.795600593178448,5.67314235669873e-06,6.8807914722336e-05,-0.0363949629495899,0.82,1
"26","Fragilariopsis_sublineata.15","Pseudopedinella_elastica.4",0.768660405338606,1.83036480808463e-05,0.000119903577000196,0.625308947108255,0.00141948188388308,0.00695546123102707,-0.0149259715741267,0.8,1
"27","Fragilariopsis_sublineata.15","Porosira_pseudodelicatula.11",0.857425279449825,1.72546585496679e-07,1.80657749772164e-06,0.766987915680766,1.95837149184933e-05,0.000206810782544433,0.00486547515688264,0.98,1
"28","Fragilariopsis_sublineata.15","Fragilariopsis_sublineata.15",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"29","Glaciecola.amylolytica.5","Thalassiosira_tumida.10",0.333580440131776,0.119821651997625,0.198353410401474,0.182357307272038,0.404957146442507,0.538039592616129,-0.0340964372531544,0.98,1
"30","Polaribacter.sp..L3A8.58","Thalassiosira_tumida.10",0.197677297855868,0.365928342300564,0.476019381548341,0.0242154689873438,0.912669009448194,0.941564329640737,-0.109671069131932,NA,NA
"31","Rhizosolenia_pungens.15","Thalassiosira_tumida.10",0.788680177953534,7.78704197985219e-06,5.67805144364222e-05,0.681908057340583,0.000338839411194237,0.0022436663714213,0.00563552372972966,0.78,1
"32","Placidiales_XX_sp.","Thalassiosira_tumida.10",0.920909540286703,4.73419283870418e-10,8.52850915795974e-09,0.901136925358379,4.50915674584796e-09,8.90922098978024e-08,0.0228379578768933,0.86,1
"33","Pseudopedinella_elastica.4","Thalassiosira_tumida.10",0.869747899159664,7.06860189002988e-08,8.09255823858561e-07,0.790163124073159,7.28323741109747e-06,8.74702532215137e-05,-0.0783951829847671,0.98,1
"34","Porosira_pseudodelicatula.11","Thalassiosira_tumida.10",0.89498396604244,8.26623040677115e-09,1.15069684639712e-07,0.856436892960546,1.84683451523762e-07,2.97680563311326e-06,-0.107387437462931,NA,NA
"35","Fragilariopsis_sublineata.15","Thalassiosira_tumida.10",0.922145328719723,4.03496675365521e-10,7.6043604203502e-09,0.895946613939693,7.53722066749e-09,1.46557068534528e-07,-0.0465488461971947,0.92,1
"36","Thalassiosira_tumida.10","Thalassiosira_tumida.10",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"37","Glaciecola.amylolytica.5","NA..12",0.526004584742958,0.00993576173424557,0.0263448227801966,0.194156117908889,0.37470010771825,0.512788727577184,0.00839718748437172,0.86,1
"38","NA..12","Polaribacter.sp..L3A8.58",0.368005090832409,0.0840426493056582,0.149639891568941,-0.0138682941363492,0.949922795818795,0.96497648454429,0.0325451314486864,0.92,1
"39","NA..12","Rhizosolenia_pungens.15",0.492941527197222,0.0168520347458294,0.0408786981458238,0.105524166123626,0.631799390914161,0.732217837152174,-0.0324408706284168,0.98,1
"40","NA..12","Placidiales_XX_sp.",0.763935512500619,2.21240219355277e-05,0.000138984240364212,0.510281178907677,0.012854735589566,0.0430769622624646,0.0194722746431621,0.94,1
"41","NA..12","Pseudopedinella_elastica.4",0.79068811799675,7.11190475773329e-06,5.24824296880921e-05,0.559823040937548,0.00547248683236855,0.0212818932369888,-0.00886336951289259,0.9,1
"42","NA..12","Porosira_pseudodelicatula.11",0.718674813994381,0.00011196432536256,0.000578718559363443,0.421992378720339,0.0448829219825098,0.112056612112865,0.0570668702505963,0.84,1
