Date collected,Date processed,Sample location/ID,Slush or SW,Sample type,Replicate,Alternate ID,Type,SampID,Processing Time start,Processing Time finish,Filter type/vessel,Volume_filtered_L,LN2 snap? (Y/N),Storage temperature,Notes,PO4,SIO4,NO3,NO2,NH4,DOC,pEPS_ave,pEPS_stdev,dEPS_ave,dEPS_stdev,Chl_ave,Chl_stdev,PC_ave,PC_stdev,PN_ave,PN_stdev,C:N_ave,C:N_stdev,HPLC_match,Amplicon_match,TempC,Salinity,Specific_growth_rate,PAR,umolCFiltered,Dilution_Factor,RP_stdVolpersmpVol
51118,51118,Hero 1,SW and Ice,Metabolomics,1,,Smp,Hero1_A,,,0.2 Teflon in foil,0.725,Y,-80,"o-ring fell on foil, box left out of -80 for unknown time",1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.000146806,0.144322885,0.190673346,1.152179371,0.019102493,12.61271218,0.19145605,1.561089388,0.036574779,8.080459541,0.066115893,Y,Y,-0.7,25,NA,320,9.144216331,1,1
51118,51118,Hero 1,SW and Ice,Metabolomics,2,,Smp,Hero1_B,,,0.2 Teflon in foil,1.105,Y,-80,box left out of -80 for unknown time,1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.000146806,0.144322885,0.190673346,1.152179371,0.019102493,12.61271218,0.19145605,1.561089388,0.036574779,8.080459541,0.066115893,Y,Y,-0.7,25,NA,320,13.93704696,1,1
51118,51118,Hero 1,SW and Ice,Metabolomics,3,,Smp,Hero1_C,,,0.2 Teflon in foil,1.02,Y,-80,box left out of -80 for unknown time,1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.000146806,0.144322885,0.190673346,1.152179371,0.019102493,12.61271218,0.19145605,1.561089388,0.036574779,8.080459541,0.066115893,Y,Y,-0.7,25,NA,320,12.86496642,1,1
81118,81118,Station B1,SW,Metabolomics,1,,Smp,StaB1_A,2:30pm,3:32pm,0.2 Teflon in foil,3.1,Y,-80,box left out of -80 for unknown time,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,Y,Y,-0.9,35.7,NA,305,24.21686837,1,1
81118,81118,Station B1,SW,Metabolomics,2,,Smp,StaB1_B,2:30pm,3:32pm,0.2 Teflon in foil,3.3,Y,-80,box left out of -80 for unknown time,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,Y,Y,-0.9,35.7,NA,305,25.77924698,1,1
81118,81118,Station B1,SW,Metabolomics,3,,Smp,StaB1_C,2:30pm,3:32pm,0.2 Teflon in foil,3,Y,-80,box left out of -80 for unknown time,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,Y,Y,-0.9,35.7,NA,305,23.43567907,1,1
81118,81118,Station B1,SW,Metabolomics,4,,Smp,StaB1_D,7:00pm,,0.2 Teflon in foil,2.205,Y,-80,,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,Y,Y,-0.9,35.7,NA,305,17.22522412,1,1
81118,81118,Station B1,SW,Metabolomics,5,,Smp,StaB1_E,7:00pm,,0.2 Teflon in foil,2.54,Y,-80,,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,Y,Y,-0.9,35.7,NA,305,19.84220828,1,1
121118,121118,Station B2,SW,Metabolomics,1,,Smp,StaB2_A,2:52pm,3:32pm,0.2 Teflon in foil,2.25,Y,-80,,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,Y,Y,-0.7,35.2,NA,375,41.68972321,1,1
121118,121118,Station B2,SW,Metabolomics,2,,Smp,StaB2_B,2:52pm,3:32pm,0.2 Teflon in foil,2.75,Y,-80,,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,Y,Y,-0.7,35.2,NA,375,50.95410614,1,1
121118,121118,Station B2,SW,Metabolomics,3,,Smp,StaB2_C,2:52pm,3:32pm,0.2 Teflon in foil,1.9,Y,-80,,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,Y,Y,-0.7,35.2,NA,375,35.20465515,1,1
151118,151118,Station B3,SW,Metabolomics,1,,Smp,StaB3_A,2:23pm,3:15pm,0.2 Teflon in foil,2.2,Y,-80,,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,Y,Y,-0.3,35.2,NA,1100,65.94233043,1,1
151118,151118,Station B3,SW,Metabolomics,2,,Smp,StaB3_B,2:23pm,3:15pm,0.2 Teflon in foil,2.04,Y,-80,,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,Y,Y,-0.3,35.2,NA,1100,61.14652458,1,1
151118,151118,Station B3,SW,Metabolomics,3,,Smp,StaB3_C,2:23pm,3:15pm,0.2 Teflon in foil,2.095,Y,-80,,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,Y,Y,-0.3,35.2,NA,1100,62.79508284,1,1
171118,171118,Station B4,SW,Metabolomics,1,,Smp,StaB4_A,2:30PM,3:15PM,0.2 Teflon in foil,1.325,Y,-80,,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,Y,Y,-0.1,35.2,NA,850,45.4484529,1,1
171118,171118,Station B4,SW,Metabolomics,2,,Smp,StaB4_B,2:30PM,3:15PM,0.2 Teflon in foil,1.325,Y,-80,,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,Y,Y,-0.1,35.2,NA,850,45.4484529,1,1
171118,171118,Station B4,SW,Metabolomics,3,,Smp,StaB4_C,2:30PM,3:15PM,0.2 Teflon in foil,1.64,Y,-80,,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,Y,Y,-0.1,35.2,NA,850,56.25317944,1,1
191118,191118,Station B5,SW,Metabolomics,1,,Smp,StaB5_A,3:47 PM,4:15 PM,0.2 Teflon in foil,1.04,Y,-80,,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.000600751,0.091564722,0.104205513,6.072225764,3.053743129,42.3516504,0.798065987,8.117519384,0.125955642,5.217139515,0.020026095,Y,Y,0,35.2,NA,700,44.04571642,1,1
191118,191118,Station B5,SW,Metabolomics,2,,Smp,StaB5_B,3:47 PM,4:15 PM,0.2 Teflon in foil,1.15,Y,-80,,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.000600751,0.091564722,0.104205513,6.072225764,3.053743129,42.3516504,0.798065987,8.117519384,0.125955642,5.217139515,0.020026095,Y,Y,0,35.2,NA,700,48.70439796,1,1
191118,191118,Station B5,SW,Metabolomics,3,,Smp,StaB5_C,3:47 PM,4:15 PM,0.2 Teflon in foil,1.5,Y,-80,,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.000600751,0.091564722,0.104205513,6.072225764,3.053743129,42.3516504,0.798065987,8.117519384,0.125955642,5.217139515,0.020026095,Y,Y,0,35.2,NA,700,63.5274756,1,1
201118,201118,"20ppt, +3C",Culture,Metabolomics,1,Carboy 1,Smp,20ppt3C_A,3:30 PM,4:15 PM,0.2 Teflon in foil,0.6,Y,-80,,34.27,133.1,823.53,0.21,0.02,993.1441116,0.040972477,NA,0.139351894,NA,19.63655361,NA,127.9385246,NA,16.91749292,NA,7.562499077,NA,Y,Y,3,21,0.345000029,100,76.76311476,1,1
201118,201118,"20ppt, +3C",Culture,Metabolomics,2,Carboy 2,Smp,20ppt3C_B,3:30 PM,4:15 PM,0.2 Teflon in foil,0.62,Y,-80,,34.31,134,825.23,0.19,0,987.5474633,0.040143217,NA,0.010387496,NA,18.27290405,NA,123.8033057,NA,15.94415667,NA,7.764807399,NA,Y,Y,3,21,0.417968698,100,76.75804953,1,1
201118,201118,"20ppt, +3C",Culture,Metabolomics,3,Carboy 3,Smp,20ppt3C_C,3:30 PM,4:15 PM,0.2 Teflon in foil,0.6,Y,-80,,34.92,135.79,814.82,0.19,0,909.3994055,0.030689636,NA,0.104179785,NA,16.94134037,NA,107.5456644,NA,14.40024401,NA,7.468322367,NA,Y,Y,3,21,0.299252736,100,64.52739864,1,1
201118,201118,"20ppt, +3C Blank",Filtered Culture,Metabolomics,1,,Blk,FilterBlk20_A,4:15 PM,4:30 PM,0.2 Teflon in foil,0.45,Y,-80,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,1,1
201118,201118,"35ppt, 0C",Culture,Metabolomics,1,Carboy 4,Smp,35ppt0C_A,9:20 PM,10:01 PM,0.2 Teflon in foil,0.62,Y,-80,,34.16,123.87,806.21,0.2,0.06,5591.779626,0.033955851,NA,0.7255537,NA,23.03765603,NA,135.4902744,NA,21.38141431,NA,6.336824706,NA,Y,Y,0,35,0.395433223,100,84.00397013,1,1
201118,201118,"35ppt, 0C",Culture,Metabolomics,2,Carboy 5,Smp,35ppt0C_B,9:20 PM,10:01 PM,0.2 Teflon in foil,0.62,Y,-80,,34.63,125.08,810.46,0.22,0.07,1000.674967,0.040860005,NA,0.186248038,NA,24.46547733,NA,114.8849887,NA,18.83060208,NA,6.100972671,NA,Y,Y,0,35,0.414995778,100,71.22869299,1,1
201118,201118,"35ppt, 0C",Culture,Metabolomics,3,Carboy 6,Smp,35ppt0C_C,9:20 PM,10:01 PM,0.2 Teflon in foil,0.78,Y,-80,,34.67,123.61,804.23,0.22,0.12,934.3235859,0.031833735,NA,0.221420147,NA,22.2675951,NA,109.3760841,NA,18.12577239,NA,6.034285423,NA,Y,Y,0,35,0.304484585,100,85.3133456,1,1
201118,201118,"35ppt, 0C Blank",Filtered Culture,Metabolomics,1,,Blk,FilterBlk35_A,10:01 PM,~10:20pm,0.2 Teflon in foil,0.46,Y,-80,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,1,1
211118,211118,"50ppt, -3C",Culture,Metabolomics,1,Carboy 7,Smp,50ppt-3C_A,7:15 PM,7:56 PM,0.2 Teflon in foil,0.44,Y,-80,longer to filter and lighter color,36.05,120.14,830.08,0.16,0.02,877.5956476,0.014369859,NA,0.537969122,NA,9.037520587,NA,58.81062346,NA,9.510923867,NA,6.183481676,NA,Y,Y,-3,52,0.166363393,100,25.87667432,1,1
211118,211118,"50ppt, -3C",Culture,Metabolomics,2,Carboy 8,Smp,50ppt-3C_B,7:15 PM,7:56 PM,0.2 Teflon in foil,0.58,Y,-80,longer to filter and lighter color,36.06,117.76,822.53,0.16,0,898.1283935,0.011496481,NA,0.420728761,NA,8.850353001,NA,62.05601497,NA,9.846557055,NA,6.302305935,NA,Y,Y,-3,52,0.197185289,100,35.99248868,1,1
211118,211118,"50ppt, -3C",Culture,Metabolomics,3,Carboy 9,Smp,50ppt-3C_C,7:15 PM,7:56 PM,0.2 Teflon in foil,0.5,Y,-80,longer to filter and lighter color,35.68,114.49,808.49,0.15,0.12,6074.031908,0.02046142,NA,1.616580447,NA,10.06694231,NA,63.5665972,NA,10.15422081,NA,6.260115709,NA,Y,Y,-3,52,0.175775552,100,31.7832986,1,1
211118,211118,"50ppt, -3C Blank",Filtered Culture,Metabolomics,1,,Blk,FilterBlk50_A,7:56 PM,~8:15pm,0.2 Teflon in foil,0.44,Y,-80,from carboy 7 filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1
