SampID,PO4,SIO4,NO3,NO2,NH4,DOC,pEPS_ave,dEPS_ave,Chl_ave,PC_ave,PN_ave,C:N_ave,TempC,Salinity,PAR
20ppt3C_A,34.27,133.1,823.53,0.21,0.02,993.1441116,0.040972477,0.139351894,19.63655361,127.9385246,16.91749292,7.562499077,3,21,100
20ppt3C_B,34.31,134,825.23,0.19,0,987.5474633,0.040143217,0.010387496,18.27290405,123.8033057,15.94415667,7.764807399,3,21,100
20ppt3C_C,34.92,135.79,814.82,0.19,0,909.3994055,0.030689636,0.104179785,16.94134037,107.5456644,14.40024401,7.468322367,3,21,100
35ppt0C_A,34.16,123.87,806.21,0.2,0.06,5591.779626,0.033955851,0.7255537,23.03765603,135.4902744,21.38141431,6.336824706,0,35,100
35ppt0C_B,34.63,125.08,810.46,0.22,0.07,1000.674967,0.040860005,0.186248038,24.46547733,114.8849887,18.83060208,6.100972671,0,35,100
35ppt0C_C,34.67,123.61,804.23,0.22,0.12,934.3235859,0.031833735,0.221420147,22.2675951,109.3760841,18.12577239,6.034285423,0,35,100
50ppt-3C_A,36.05,120.14,830.08,0.16,0.02,877.5956476,0.014369859,0.537969122,9.037520587,58.81062346,9.510923867,6.183481676,-3,52,100
50ppt-3C_B,36.06,117.76,822.53,0.16,0,898.1283935,0.011496481,0.420728761,8.850353001,62.05601497,9.846557055,6.302305935,-3,52,100
50ppt-3C_C,35.68,114.49,808.49,0.15,0.12,6074.031908,0.02046142,1.616580447,10.06694231,63.5665972,10.15422081,6.260115709,-3,52,100
Hero1_A,1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.144322885,1.152179371,12.61271218,1.561089388,8.080459541,-0.7,25,320
Hero1_B,1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.144322885,1.152179371,12.61271218,1.561089388,8.080459541,-0.7,25,320
Hero1_C,1.53,54.96,20.57,0.13,1.41,61.38480585,0.000221053,0.144322885,1.152179371,12.61271218,1.561089388,8.080459541,-0.7,25,320
StaB1_A,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.138460867,1.300922671,7.811893024,1.410054454,5.541765219,-0.9,35.7,305
StaB1_B,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.138460867,1.300922671,7.811893024,1.410054454,5.541765219,-0.9,35.7,305
StaB1_C,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.138460867,1.300922671,7.811893024,1.410054454,5.541765219,-0.9,35.7,305
StaB1_D,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.138460867,1.300922671,7.811893024,1.410054454,5.541765219,-0.9,35.7,305
StaB1_E,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.138460867,1.300922671,7.811893024,1.410054454,5.541765219,-0.9,35.7,305
StaB2_A,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.263517252,1.905459611,18.52876587,3.552512967,5.216298596,-0.7,35.2,375
StaB2_B,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.263517252,1.905459611,18.52876587,3.552512967,5.216298596,-0.7,35.2,375
StaB2_C,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.263517252,1.905459611,18.52876587,3.552512967,5.216298596,-0.7,35.2,375
StaB3_A,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.126736831,4.775062984,29.97378656,5.465622136,5.481944814,-0.3,35.2,1100
StaB3_B,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.126736831,4.775062984,29.97378656,5.465622136,5.481944814,-0.3,35.2,1100
StaB3_C,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.126736831,4.775062984,29.97378656,5.465622136,5.481944814,-0.3,35.2,1100
StaB4_A,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,0.169724963,4.205170766,34.30071917,6.176440783,5.553788319,-0.1,35.2,850
StaB4_B,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,0.169724963,4.205170766,34.30071917,6.176440783,5.553788319,-0.1,35.2,850
StaB4_C,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,0.169724963,4.205170766,34.30071917,6.176440783,5.553788319,-0.1,35.2,850
StaB5_A,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.091564722,6.072225764,42.3516504,8.117519384,5.217139515,0,35.2,700
StaB5_B,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.091564722,6.072225764,42.3516504,8.117519384,5.217139515,0,35.2,700
StaB5_C,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.091564722,6.072225764,42.3516504,8.117519384,5.217139515,0,35.2,700
