SampID,TempC,Salinity,PAR
20ppt3C_A,3,21,100
20ppt3C_B,3,21,100
20ppt3C_C,3,21,100
35ppt0C_A,0,35,100
35ppt0C_B,0,35,100
35ppt0C_C,0,35,100
50ppt-3C_A,-3,52,100
50ppt-3C_B,-3,52,100
50ppt-3C_C,-3,52,100
Hero1_A,-0.7,25,320
Hero1_B,-0.7,25,320
Hero1_C,-0.7,25,320
StaB1_A,-0.9,35.7,305
StaB1_B,-0.9,35.7,305
StaB1_C,-0.9,35.7,305
StaB1_D,-0.9,35.7,305
StaB1_E,-0.9,35.7,305
StaB2_A,-0.7,35.2,375
StaB2_B,-0.7,35.2,375
StaB2_C,-0.7,35.2,375
StaB3_A,-0.3,35.2,1100
StaB3_B,-0.3,35.2,1100
StaB3_C,-0.3,35.2,1100
StaB4_A,-0.1,35.2,850
StaB4_B,-0.1,35.2,850
StaB4_C,-0.1,35.2,850
StaB5_A,0,35.2,700
StaB5_B,0,35.2,700
StaB5_C,0,35.2,700
