SampID,CultureID_short,Sample_type,Site,Ice_or_no,Temp,Exp_group,Withinexp,Melt_hyp,FigureID,Figure_SampID,Figure_SampID_metab,FigureID_separated,FigureID_rep,FigureID_rep_amp,Average,Average_YN,Average_YN_2,Average_2,Sample_group,Salinity
20ppt3C_A,20ppt3C,Exp_Melted,Incubation,Culture_melt,3,Culture,melt.SW,Low salinity,Meltwater_T-S,"""Meltwater""_A","""Meltwater""_A",Meltwater_T-S,Meltwater_T-S_A,Meltwater_T-S_A,Meltwater_T-S_A,N,N,Meltwater_T-S_A,Incubation,21
20ppt3C_B,20ppt3C,Exp_Melted,Incubation,Culture_melt,3,Culture,melt.SW,Low salinity,Meltwater_T-S,"""Meltwater""_B","""Meltwater""_B",Meltwater_T-S,Meltwater_T-S_B,Meltwater_T-S_B,Meltwater_T-S_B,N,N,Meltwater_T-S_B,Incubation,21
20ppt3C_C,20ppt3C,Exp_Melted,Incubation,Culture_melt,3,Culture,melt.SW,Low salinity,Meltwater_T-S,"""Meltwater""_C","""Meltwater""_C",Meltwater_T-S,Meltwater_T-S_C,Meltwater_T-S_C,Meltwater_T-S_C,N,N,Meltwater_T-S_C,Incubation,21
35ppt0C_A,35ppt0C,Exp_Ambient,Incubation,Culture_amb,0,Culture,melt.SW,Ambient SW salinity,SW_T-S,"""Seawater""_A","""Seawater""_A",SW_T-S,SW_T-S_A,SW_T-S_A,SW_T-S_A,N,N,SW_T-S_A,Incubation,35
35ppt0C_B,35ppt0C,Exp_Ambient,Incubation,Culture_amb,0,Culture,melt.SW,Ambient SW salinity,SW_T-S,"""Seawater""_B","""Seawater""_B",SW_T-S,SW_T-S_B,SW_T-S_B,SW_T-S_B,N,N,SW_T-S_B,Incubation,35
35ppt0C_C,35ppt0C,Exp_Ambient,Incubation,Culture_amb,0,Culture,melt.SW,Ambient SW salinity,SW_T-S,"""Seawater""_C","""Seawater""_C",SW_T-S,SW_T-S_C,SW_T-S_C,SW_T-S_C,N,N,SW_T-S_C,Incubation,35
50ppt-3C_A,50ppt-3C,Exp_Frozen,Incubation,Culture_frozen,-3,Culture,frozen,High salinity,Sea ice_T-S,"""Sea ice""_A","""Sea ice""_A",Sea ice_T-S,Sea ice_T-S_A,Sea ice_T-S_A,Sea ice_T-S_A,N,N,Sea ice_T-S_A,Incubation,52
50ppt-3C_B,50ppt-3C,Exp_Frozen,Incubation,Culture_frozen,-3,Culture,frozen,High salinity,Sea ice_T-S,"""Sea ice""_B","""Sea ice""_B",Sea ice_T-S,Sea ice_T-S_B,Sea ice_T-S_B,Sea ice_T-S_B,N,N,Sea ice_T-S_B,Incubation,52
50ppt-3C_C,50ppt-3C,Exp_Frozen,Incubation,Culture_frozen,-3,Culture,frozen,High salinity,Sea ice_T-S,"""Sea ice""_C","""Sea ice""_C",Sea ice_T-S,Sea ice_T-S_C,Sea ice_T-S_C,Sea ice_T-S_C,N,N,Sea ice_T-S_C,Incubation,52
Ev15SW_A,Ev15SW,Underice_SW,Underice,Underice,,Field,,Low salinity,Sea ice,,,Sea-ice core,,,,,,,Field,
Ev32Core_A,Ev32Core,Core,Sea ice,Ice,,Field,,Low salinity,Sea ice,Core1_A,Core1_A,Sea ice_1,Sea ice_1_A,Sea ice_1_A,Sea ice_1_A,N,N,Sea ice_1_A,Field,12
