Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Vol.Filtered,Dilution.Factor,injec_vol
200821_Blk_Blk_1,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_Blk_2,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_Blk_3,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Std_H2OinMatrix_1,,HILIC,2,HILIC,H2OinMatrix,1,1,,1,1
200821_Std_4uMStdsMix1InH2O_1,,HILIC,2,HILIC,4uMStdsMix1InH2O,1,1,,1,1
200821_Std_4uMStdsMix2InH2O_1,,HILIC,2,HILIC,4uMStdsMix2InH2O,1,1,,1,1
200821_Std_4uMStdsMix1InMatrix_1,,HILIC,2,HILIC,4uMStdsMix1InMatrix,1,1,,1,1
200821_Std_4uMStdsMix2InMatrix_1,,HILIC,2,HILIC,4uMStdsMix2InMatrix,1,1,,1,1
200821_Blk_Blk_4,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_Blk_5,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_Half1,,HILIC,2,HILIC,TruePooAnt18,1,0.5,,2,0.5
200821_Poo_TruePooAnt18_Full1,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Smp_Hero1_B,,HILIC,2,HILIC,Hero1,1,1,1.105,1,1
200821_Blk_Blk_6,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_StaB1_A,,HILIC,2,HILIC,StaB1,1,1,3.1,1,1
200821_Smp_StaB2_C,,HILIC,2,HILIC,StaB2,1,1,1.9,1,1
200821_Smp_StaB3_A,,HILIC,2,HILIC,StaB3,1,1,2.2,1,1
200821_Blk_Blk_7,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_StaB4_B,,HILIC,2,HILIC,StaB4,1,1,1.325,1,1
200821_Smp_StaB5_C,,HILIC,2,HILIC,StaB5,1,1,1.5,1,1
200821_Smp_20ppt3C_C,,HILIC,2,HILIC,20ppt3C,1,1,0.6,1,1
200821_Blk_Blk_8,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_35ppt0C_A,,HILIC,2,HILIC,35ppt0C,1,1,0.62,1,1
200821_Smp_50ppt-3C_B,,HILIC,2,HILIC,50ppt-3C,1,1,0.58,1,1
200821_Blk_FilterBlk20_A,,HILIC,2,HILIC,FilterBlk20,1,1,0.45,1,1
200821_Blk_Blk_9,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_FilterBlkFSWB2_A,,HILIC,2,HILIC,FilterBlkFSWB2,1,1,0.96,1,1
200821_Smp_EvXSW_A,,HILIC,2,HILIC,EvXSW,1,1,1.99,1,1
200821_Smp_Ev15SW_A,,HILIC,2,HILIC,Ev15SW,1,1,3.6,1,1
200821_Blk_Blk_10,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_Ev32Core_C,,HILIC,2,HILIC,Ev32Core,1,1,0.5,1,1
200821_Smp_Ev37Core_A,,HILIC,2,HILIC,Ev37Core,1,1,?,1,1
200821_Smp_Ev60SW_A,,HILIC,2,HILIC,Ev60SW,1,1,3,1,1
200821_Blk_Blk_11,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_Hero1_C,,HILIC,2,HILIC,Hero1,1,1,1.02,1,1
200821_Smp_StaB1_D,,HILIC,2,HILIC,StaB1,1,1,2.205,1,1
200821_Smp_StaB3_C,,HILIC,2,HILIC,StaB3,1,1,2.095,1,1
200821_Blk_Blk_12,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_Half2,,HILIC,2,HILIC,TruePooAnt18,1,0.5,,2,0.5
200821_Poo_TruePooAnt18_Full2,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Smp_20ppt3C_B,,HILIC,2,HILIC,20ppt3C,1,1,0.62,1,1
200821_Blk_Blk_13,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_EvXCore_A,,HILIC,2,HILIC,EvXCore,1,1,0.62,1,1
200821_Smp_Ev32Core_B,,HILIC,2,HILIC,Ev32Core,1,1,0.5,1,1
200821_Blk_FilterBlkFSWB2_C,,HILIC,2,HILIC,FilterBlkFSWB2,1,1,0.81,1,1
200821_Blk_Blk_14,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_35ppt0C_B,,HILIC,2,HILIC,35ppt0C,1,1,0.62,1,1
200821_Blk_FilterBlk35_A,,HILIC,2,HILIC,FilterBlk35,1,1,0.46,1,1
200821_Smp_50ppt-3C_C,,HILIC,2,HILIC,50ppt-3C,1,1,0.5,1,1
200821_Blk_Blk_15,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_FilterBlkFSWEvX_A,,HILIC,2,HILIC,FilterBlkFSWEvX,1,1,1,1,1
200821_Smp_StaB5_B,,HILIC,2,HILIC,StaB5,1,1,1.15,1,1
200821_Smp_StaB2_B,,HILIC,2,HILIC,StaB2,1,1,2.75,1,1
200821_Blk_Blk_16,,HILIC,2,HILIC,Blk,1,1,,1,1
