Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Vol.Filtered,Dilution.Factor,injec_vol
200825_Blk_Blk_1,,RP,2,RP,Blk,1,1,,1,1
200825_Blk_Blk_2,,RP,2,RP,Blk,1,1,,1,1
200825_Blk_Blk_3,,RP,2,RP,Blk,1,1,,1,1
200825_Std_H2OinMatrix_1,,RP,2,RP,H2OinMatrix,1,1,,1,1
200825_Std_4uMStdsMix1InH2O_1,,RP,2,RP,4uMStdsMix1InH2O,1,1,,1,1
200825_Std_4uMStdsMix2InH2O_1,,RP,2,RP,4uMStdsMix2InH2O,1,1,,1,1
200825_Std_4uMStdsMix1InMatrix_1,,RP,2,RP,4uMStdsMix1InMatrix,1,1,,1,1
200825_Std_4uMStdsMix2InMatrix_1,,RP,2,RP,4uMStdsMix2InMatrix,1,1,,1,1
200825_Blk_Blk_4,,RP,2,RP,Blk,1,1,,1,1
200825_Blk_Blk_5,,RP,2,RP,Blk,1,1,,1,1
200825_Poo_TruePooAnt18_Half1,,RP,2,RP,TruePooAnt18,1,0.5,,2,0.5
200825_Poo_TruePooAnt18_Full1,,RP,2,RP,TruePooAnt18,1,1,,1,1
200825_Smp_Hero1_B,,RP,2,RP,Hero1,1,1,1.105,1,1
200825_Blk_Blk_6,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_StaB1_A,,RP,2,RP,StaB1,1,1,3.1,1,1
200825_Smp_StaB2_C,,RP,2,RP,StaB2,1,1,1.9,1,1
200825_Smp_StaB3_A,,RP,2,RP,StaB3,1,1,2.2,1,1
200825_Blk_Blk_7,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_StaB4_B,,RP,2,RP,StaB4,1,1,1.325,1,1
200825_Smp_StaB5_C,,RP,2,RP,StaB5,1,1,1.5,1,1
200825_Smp_20ppt3C_C,,RP,2,RP,20ppt3C,1,1,0.6,1,1
200825_Blk_Blk_8,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_35ppt0C_A,,RP,2,RP,35ppt0C,1,1,0.62,1,1
200825_Smp_50ppt-3C_B,,RP,2,RP,50ppt-3C,1,1,0.58,1,1
200825_Blk_FilterBlk20_A,,RP,2,RP,FilterBlk20,1,1,0.45,1,1
200825_Blk_Blk_9,,RP,2,RP,Blk,1,1,,1,1
200825_Blk_FilterBlkFSWB2_A,,RP,2,RP,FilterBlkFSWB2,1,1,0.96,1,1
200825_Smp_EvXSW_A,,RP,2,RP,EvXSW,1,1,1.99,1,1
200825_Smp_Ev15SW_A,,RP,2,RP,Ev15SW,1,1,3.6,1,1
200825_Blk_Blk_10,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_Ev32Core_C,,RP,2,RP,Ev32Core,1,1,0.5,1,1
200825_Smp_Ev37Core_A,,RP,2,RP,Ev37Core,1,1,?,1,1
200825_Smp_Ev60SW_A,,RP,2,RP,Ev60SW,1,1,3,1,1
200825_Blk_Blk_11,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_Hero1_C,,RP,2,RP,Hero1,1,1,1.02,1,1
200825_Smp_StaB1_D,,RP,2,RP,StaB1,1,1,2.205,1,1
200825_Smp_StaB3_C,,RP,2,RP,StaB3,1,1,2.095,1,1
200825_Blk_Blk_12,,RP,2,RP,Blk,1,1,,1,1
200825_Poo_TruePooAnt18_Half2,,RP,2,RP,TruePooAnt18,1,0.5,,2,0.5
200825_Poo_TruePooAnt18_Full2,,RP,2,RP,TruePooAnt18,1,1,,1,1
200825_Smp_20ppt3C_B,,RP,2,RP,20ppt3C,1,1,0.62,1,1
200825_Blk_Blk_13,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_EvXCore_A,,RP,2,RP,EvXCore,1,1,0.62,1,1
200825_Smp_Ev32Core_B,,RP,2,RP,Ev32Core,1,1,0.5,1,1
200825_Blk_FilterBlkFSWB2_C,,RP,2,RP,FilterBlkFSWB2,1,1,0.81,1,1
200825_Blk_Blk_14,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_35ppt0C_B,,RP,2,RP,35ppt0C,1,1,0.62,1,1
200825_Blk_FilterBlk35_A,,RP,2,RP,FilterBlk35,1,1,0.46,1,1
200825_Smp_50ppt-3C_C,,RP,2,RP,50ppt-3C,1,1,0.5,1,1
200825_Blk_Blk_15,,RP,2,RP,Blk,1,1,,1,1
200825_Blk_FilterBlkFSWEvX_A,,RP,2,RP,FilterBlkFSWEvX,1,1,1,1,1
200825_Smp_StaB5_B,,RP,2,RP,StaB5,1,1,1.15,1,1
200825_Smp_StaB2_B,,RP,2,RP,StaB2,1,1,2.75,1,1
200825_Blk_Blk_16,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_Ev32Core_A,,RP,2,RP,Ev32Core,1,1,0.25,1,1
200825_Smp_Ev51Slush_A,,RP,2,RP,Ev51Slush,1,1,0.2,1,1
200825_Blk_FilterBlk50_A,,RP,2,RP,FilterBlk50,1,1,0.44,1,1
200825_Blk_Blk_17,,RP,2,RP,Blk,1,1,,1,1
200825_Smp_Hero1_A,,RP,2,RP,Hero1,1,1,0.725,1,1
200825_Smp_StaB1_B,,RP,2,RP,StaB1,1,1,3.3,1,1
200825_Smp_StaB3_B,,RP,2,RP,StaB3,1,1,2.04,1,1
200825_Blk_Blk_18,,RP,2,RP,Blk,1,1,,1,1
