SampleID,paprica_file_16S,paprica_file_18S,location,sample_type,Better_SampID,Figure_SampID,Network_analysis,Figure_stats,Date collected,Sample_type,Description,Volume filtered (L),Date extracted,PO4,SIO4,NO3,NO2,NH4,DOC,pEPS_ave,pEPS_stdev,dEPS_ave,dEPS_stdev,Chl_ave,Chl_stdev,PC_ave,PC_stdev,PN_ave,PN_stdev,C:N_ave,C:N_stdev,TempC,Salinity,Specific_growth_rate,PAR,FigureID,FigureID_rep
B11,B234-P_Station_B11_16S.16S.exp.,B234-P_Station_B11_18S.18S.exp.,seawater,B1,Station_B1_1,SW1_A_cut,N,SW_1,81118,Field,Seawater,2.45,170419,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,-0.9,35.7,NA,305,SW_08,SW_08_A_cut
B12,B234-P_Station_B12_16S.16S.exp.,B234-P_Station_B12_18S.18S.exp.,seawater,B1,Station_B1_2,SW1_A,Y,SW_1,81118,Field,Seawater,3.3,170419,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,-0.9,35.7,NA,305,SW_08,SW_08_A
B13,B234-P_Station_B13_16S.16S.exp.,B234-P_Station_B13_18S.18S.exp.,seawater,B1,Station_B1_3,SW1_B,Y,SW_1,81118,Field,Seawater,2.585,170419,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,-0.9,35.7,NA,305,SW_08,SW_08_B
B14,B234-P_Station_B14_16S.16S.exp.,B234-P_Station_B14_18S.18S.exp.,seawater,B1,Station_B1_4,SW1_C,Y,SW_1,81118,Field,Seawater,2.025,170419,1.78,78.03,28.28,0.11,0.1,60.97272645,0.001310915,0.00038731,0.138460867,0.11306251,1.300922671,0.025609491,7.811893024,0.25785233,1.410054454,0.060507133,5.541765219,0.059574605,-0.9,35.7,NA,305,SW_08,SW_08_C
B21,B234-P_Station_B21_16S.16S.exp.,B234-P_Station_B21_18S.18S.exp.,seawater,B2,Station_B2_1,SW2_A,Y,SW_2,121118,Field,Seawater,2.3,170419,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,-0.7,35.2,NA,375,SW_12,SW_12_A
B22,B234-P_Station_B22_16S.16S.exp.,B234-P_Station_B22_18S.18S.exp.,seawater,B2,Station_B2_2,SW2_B,Y,SW_2,121118,Field,Seawater,2.365,170419,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,-0.7,35.2,NA,375,SW_12,SW_12_B
B23,B234-P_Station_B23_16S.16S.exp.,B234-P_Station_B23_18S.18S.exp.,seawater,B2,Station_B2_3,SW2_C,Y,SW_2,121118,Field,Seawater,3.085,180419,1.56,73.87,25.29,0.14,0.09,55.2753314,0.002510702,0.000298083,0.263517252,0.218184701,1.905459611,0.164280014,18.52876587,7.339504637,3.552512967,1.408493512,5.216298596,0.007389836,-0.7,35.2,NA,375,SW_12,SW_12_C
B31,B234-P_B31_16S.16S.exp.,B234-P_B31_18S.18S.exp.,seawater,B3,Station_B3_1,SW3_A,Y,SW_3,151118,Field,Station B3 1,2.525,160419,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,-0.3,35.2,NA,1100,SW_15,SW_15_A
B32,B234-P_B32_16S.16S.exp.,B234-P_B32_18S.18S.exp.,seawater,B3,Station_B3_2,SW3_B,Y,SW_3,151118,Field,Station B3 2,2.25,160419,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,-0.3,35.2,NA,1100,SW_15,SW_15_B
B33,B234-P_B33_16S.16S.exp.,B234-P_B33_18S.18S.exp.,seawater,B3,Station_B3_3,SW3_C,Y,SW_3,151118,Field,Station B3 3,2.5,160419,1.34,74.08,21.83,0.14,0.04,56.30649904,0.003588263,0.000525693,0.126736831,0.095965372,4.775062984,0.678126058,29.97378656,1.78716538,5.465622136,0.071363172,5.481944814,0.256494694,-0.3,35.2,NA,1100,SW_15,SW_15_C
B41,B234-P_B41_16S.16S.exp.,B234-P_B41_18S.18S.exp.,seawater,B4,Station_B4_1,SW4_A,Y,SW_4,171118,Field,Station B4 1,1.72,160419,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,-0.1,35.2,NA,850,SW_17,SW_17_A
B42,B234-P_B42_16S.16S.exp.,B234-P_B42_18S.18S.exp.,seawater,B4,Station_B4_2,SW4_B,Y,SW_4,171118,Field,Station B4 2,1.93,160419,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,-0.1,35.2,NA,850,SW_17,SW_17_B
B43,B234-P_B43_16S.16S.exp.,B234-P_B43_18S.18S.exp.,seawater,B4,Station_B4_3,SW4_C,Y,SW_4,171118,Field,Station B4 3,1.94,160419,1.16,71.22,19,0.15,0.06,51.39992429,0.003311845,7.22E-05,0.169724963,0.139871895,4.205170766,2.473915542,34.30071917,0.626925572,6.176440783,0.133200292,5.553788319,0.033457496,-0.1,35.2,NA,850,SW_17,SW_17_C
B51,B234-P_StationB51_16S.16S.exp.,B234-P_StationB51_18S.18S.exp.,seawater,B5,Station_B5_1,SW5_A,Y,SW_5,191118,Field,Seawater,1.9,180419,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.000600751,0.091564722,0.104205513,6.072225764,3.053743129,42.3516504,0.798065987,8.117519384,0.125955642,5.217139515,0.020026095,0,35.2,NA,700,SW_19,SW_19_A
B52,B234-P_StationB52_16S.16S.exp.,B234-P_StationB52_18S.18S.exp.,seawater,B5,Station_B5_2,SW5_B,Y,SW_5,191118,Field,Seawater,2.65,180419,0.91,69.68,15.3,0.13,0.08,60.68508495,0.003306481,0.000600751,0.091564722,0.104205513,6.072225764,3.053743129,42.3516504,0.798065987,8.117519384,0.125955642,5.217139515,0.020026095,0,35.2,NA,700,SW_19,SW_19_B
