primary_key,MassFeature,compound_theoretical,massbank_match2,massbank_match3,Compound_KEGG,KEGGMatchesNames,mz_experimental,mz_theoretical,mz_massbank2,MH_mass_experimental,MH_mass_MoNA,mz_KEGG,z_experimental,z_theoretical,z_massbank2,z_massbank3,z_KEGG,rt_sec_experimental,rt_sec_theoretical,column_experimental,column_theoretical,MS2_experimental,MS2_theoretical,MS2_massbank,ppm_mass_error1,massbank_ppm,KEGGppm,mz_similarity_score1,mz_similarity_score2,mz_similarity_score3,mz_similarity_scoreKEGG,rt_similarity_score1,MS2_cosine_similarity1,MS2_cosine_similarity2,total_similarity_score1,confidence_rank,confidence_source,new_confidence_rank,Literature notes
2,MF_1035_144.10205_7.083_HILICPos_Stachydrine hydrochloride,Stachydrine hydrochloride,NA,ID: KO002637; g-Butyrobetaine; 4-Trimethylammoniobutanoate; gamma-Butyrobetaine,cpd:C04114; cpd:C10172; cpd:C15311,(E)-4-(Trimethylammonio)but-2-enoate;,144.10205,144.102454,NA,144.10205,144.1030021,144.1024537,1,1,NA,1,1,424.98,430.8,HILIC,HILIC,"58.06598, 52016; 66.42634, 7248; 68.66831, 7233; 74.06077, 9173; 77.98027, 8958; 84.08141, 47189; 98.06059, 44246; 98.09697, 90622; 99.05585, 15748; 99.13358, 7890; 100.28727, 8362; 102.05547, 32443; 126.05504, 8104; 127.05044, 18571; 132.58147, 7065; 144.06587, 36893","144.102, 100; 84.08179, 2; 58.06593, 1.7",NA,2.803560861,NA,2.801479015,0.999796001,NA,0.998867476,0.999796304,0.981357953,0.013016526,NA,66.47234932,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
6,MF_1067_146.1176_10.11_HILICPos_(3-Carboxypropyl)trimethylammonium (TMAB),(3-Carboxypropyl)trimethylammonium (TMAB),ID: CCMSLIB00000577974; DEOXYCARNITINE ID:ID: CCMSLIB00000577974,ID: KO002567; Carbachol,NA,NA,146.1176,146.118104,146.1175553,146.1176,146.1055275,NA,1,1,1,1,NA,606.6,594.6,HILIC,HILIC,"52.75856, 6670; 58.12152, 6964; 60.08003, 8138; 60.08161, 99216; 61.19951, 6546; 77.4772, 7551; 78.93699, 6570; 80.16765, 8533; 87.04472, 188064; 94.41779, 7036; 100.64769, 6740; 101.39816, 6061; 103.43536, 6487; 105.06559, 6029; 117.53564, 6961; 117.85884, 7248; 125.87756, 7315; 133.83994, 6690; 134.51518, 6742; 135.33226, 6742; 146.11777, 322169","146.11768, 100; 87.04469, 53.7; 60.08158, 31.9","146.11739, 100; 87.04451, 54.2; 60.08153, 28.5; 147.1205, 2.7; 88.04777, 0.7; 58.06594, 0.6",3.449264576,0.30578119,NA,0.99968253,0.999997505,0.833451005,NA,0.923116346,0.955881089,0.943220757,95.95599886,1; 2,Ingalls_Standards; MassBank,1,
12,MF_1165_152.05661_8.723_HILICPos_Guanine,Guanine,ID: KNA00247; Guanine; 2-Amino-6-hydroxypurine ID:ID: KNA00247,"ID: EQ329901; Dopamine; 4-(2-aminoethyl)benzene-1,2-diol",cpd:C00242,Guanine; Guanine; Guanine;,152.05661,152.057235,152.0566864,152.05661,152.071702,152.0572348,1,1,1,1,1,523.38,516.6,HILIC,HILIC,"52.68684, 7778; 58.06601, 17003; 58.70176, 8791; 58.94475, 11782; 59.07377, 29052; 62.02162, 7997; 82.10822, 8809; 102.41132, 9281; 107.80128, 9417; 109.0514, 44064; 110.03529, 97908; 124.0826, 8619; 128.04578, 147240; 134.04636, 18126; 135.03047, 181171; 136.01427, 17966; 145.89333, 9940; 151.56914, 9526; 151.5751, 12327; 152.05688, 14237845; 152.54112, 13061; 152.54729, 10266","152.05685, 100; 153.04083, 4.4; 135.03033, 1.2; 152.04781, 0.9; 128.04575, 0.9; 110.03537, 0.8","152.06769, 100",4.11029439,0.502312669,4.108979101,0.999511838,0.999992708,0.752232161,0.99951215,0.974785336,1.06540285,0.992567487,101.3233341,1; 2; 3.5,Ingalls_Standards; MassBank; KEGG,1,
13,MF_1166_152.05678_8.723_HILICPos_Unknown,Guanine,ID: PR100138; Guanine; 2-Amino-6-hydroxypurine; 2-Amino-6-oxypurine; 2-Aminohypoxanthine; Guanine enol; 6-Hydroxy-2-aminopurine ID:ID: PR100138,"ID: EQ329901; Dopamine; 4-(2-aminoethyl)benzene-1,2-diol",cpd:C00242,Guanine; Guanine; Guanine;,152.05678,152.057235,152.0566864,152.05678,152.071702,152.0572348,1,1,1,1,1,523.38,516.6,HILIC,HILIC,"50.52406, 7152; 51.2904, 8370; 51.51747, 7000; 51.61889, 7346; 57.95375, 7309; 58.06593, 16515; 59.07374, 41475; 60.67455, 6619; 80.05026, 12344; 81.20634, 7799; 87.64131, 7149; 90.21021, 8421; 109.05128, 9828; 110.03555, 16091; 124.03524, 7776; 125.75684, 6989; 128.04607, 10657; 134.74115, 7882; 135.02505, 8457; 135.03032, 47057; 135.0555, 12673; 140.69795, 8720; 148.49451, 7733; 152.04761, 275199; 152.05684, 2256837; 152.07054, 111572; 152.10738, 9095","152.05685, 100; 153.04083, 4.4; 135.03033, 1.2; 152.04781, 0.9; 128.04575, 0.9; 110.03537, 0.8","152.0572, 100; 111.0206, 12; 131.5321, 10.7",2.992294316,0.615691439,2.990979026,0.999741252,0.999989044,0.757045209,0.99974148,0.974785336,1.516919363,1.376403877,116.3815317,1; 2; 3.5,Ingalls_Standards; MassBank; KEGG,1,
20,MF_1305_160.09688_8.849_HILICPos_Turicine,Turicine,NA,"ID: KO002557; Carnitine; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner; Vitamin BT; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Levocarnitine; L-Carnitine; (R)-Carnitine",cpd:C02712; cpd:C03087; cpd:C08269; cpd:C10151; cpd:C10850,5-Acetamidopentanoate Calystegin A3;,160.09688,160.097369,NA,160.09688,160.0979167,160.0973683,1,1,NA,1,1,530.94,508.8,HILIC,HILIC,NA,"160.09697, 100; 88.07633, 0.9",NA,3.054391231,NA,3.050018905,0.999701143,NA,0.998657365,0.999701998,0.761608984,NA,NA,88.06550635,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
21,MF_1341_162.11255_9.958_HILICPos_Carnitine,Carnitine,ID: PR100160; L-Carnitine; Vitamin BT; (-)-beta-Hydroxy-gamma-(trimethylammonio)butyrate; Levocarnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine ID:ID: PR100160,NA,cpd:C00318; cpd:C15025,L-Carnitine;,162.11255,162.113019,162.1124699,NA,NA,162.1130184,1,1,1,NA,1,597.48,612.6,HILIC,HILIC,"55.01865, 51609; 55.5943, 8150; 56.0504, 7886; 57.03432, 24495; 57.1013, 8263; 58.06591, 75039; 59.0738, 25457; 60.08157, 2078290; 65.35986, 8289; 70.06585, 85316; 73.02914, 588803; 85.02906, 280740; 98.06057, 658700; 99.85194, 7506; 100.11257, 105641; 102.09183, 196206; 103.03946, 730084; 108.83069, 9844; 116.07098, 176476; 124.00595, 8707; 132.1021, 96238; 144.0657, 58478; 144.10196, 55869","162.11254, 100; 103.03946, 9.5; 60.08156, 8.4; 102.0918, 2.2; 162.07623, 2.1; 72.0451, 1.5; 85.029, 1.5; 84.04501, 0.9; 60.04517, 0.6; 138.99287, 0.6; 144.06566, 0.6","85.0287, 100; 102.0911, 69.6; 58.0661, 42.7; 103.0393, 40.5; 60.0819, 39.6; 59.0737, 14.3; 57.0337, 5.2; 61.0322, 2.9; 162.113, 2.8",2.893043402,0.493854668,2.889342291,0.999725087,0.999991988,NA,0.999725789,0.880726627,0.106824147,0.53837646,66.24252869,1; 2; 3.5,Ingalls_Standards; MassBank; KEGG,1,
22,MF_1398_166.05336_9.459_HILICPos_Methionine Sulfoxide,Methionine Sulfoxide,NA,ID: KO002552; Carbazole,cpd:C02989; cpd:C15998; cpd:C15999,L-Methionine S-oxide,166.05336,166.053791,NA,166.05336,166.0662227,166.0537894,1,1,NA,1,1,567.54,583.8,HILIC,HILIC,"51.95364, 6712; 53.43989, 7048; 55.96817, 6777; 56.0503, 105523; 56.76711, 7416; 59.67551, 7472; 64.41158, 7015; 65.09745, 8159; 69.00558, 7046; 74.0244, 586723; 74.06069, 11001; 75.02477, 12493; 75.02702, 174452; 75.03204, 8228; 76.54255, 7376; 79.77368, 6899; 91.10097, 6880; 96.03701, 7083; 100.9077, 7349; 102.05205, 8042; 102.05551, 95911; 107.07335, 14185; 110.35064, 7201; 115.96451, 15164; 120.08096, 12282; 124.04802, 8443; 124.08755, 9412; 131.01625, 8559; 133.97397, 7011; 142.23361, 7784; 143.03069, 9517; 149.02687, 115682; 166.05354, 182106; 166.08646, 1607296",NA,NA,2.595544476,NA,2.585909069,0.999767826,NA,0.813173384,0.999769546,0.863395852,NA,NA,93.15818389,1; 3.5,Ingalls_Standards; KEGG,1,
30,MF_1633_179.07341_10.985_HILICPos_Gonyol,Gonyol,NA,"ID: AU111403; Theophylline; 1,3-dimethyl-7H-purine-2,6-dione",cpd:C00585; cpd:C01281; cpd:C01624; cpd:C01702; cpd:C02666; cpd:C05250; cpd:C10667; cpd:C12464; cpd:C14404; cpd:C14784; cpd:C16733; cpd:C20327; cpd:C20646,"2-Oxo-4-phenylbutyric acid; Coniferyl aldehyde; 1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene",179.07341,179.074191,NA,179.07341,179.0574489,179.0708192,1,1,NA,1,1,659.1,644.4,HILIC,HILIC,"51.15654, 5858; 51.99302, 8595; 54.03787, 6479; 55.05508, 108219; 55.37062, 7425; 55.85197, 6861; 56.39219, 6225; 56.98284, 6090; 57.03436, 62367; 63.02721, 16400; 67.52424, 6218; 71.04994, 24380; 71.51203, 7709; 75.04482, 36373; 87.04459, 18018; 89.02396, 21740; 92.27393, 6818; 93.7962, 7090; 99.04458, 69668; 114.28842, 6582; 117.055, 810838; 118.95836, 6711; 137.35472, 7328; 179.05632, 44701; 179.06427, 21988; 179.07394, 141402; 179.09296, 12402; 179.11798, 19885; 179.12628, 12034","117.05495, 100; 179.00492, 49.9; 179.07377, 23; 55.05506, 13.2; 99.04461, 9.9; 117.055, 8.9; 57.0343, 7.3; 75.04478, 3.7; 179.03507, 3.1; 89.02388, 2.7; 63.02705, 2.6; 71.04982, 2.3; 87.04466, 2; 138.99287, 1.9; 119.99183, 1.3; 71.01346, 0.7; 179.06406, 0.6",NA,4.361320834,NA,14.46801892,0.999237839,NA,0.727278313,0.991644795,0.886876092,1.0706258,NA,98.55799103,1; 3.5,Ingalls_Standards; KEGG,1,
32,MF_1685_182.08124_9.506_HILICPos_Tyrosine,Tyrosine,ID: PB000411; Tyrosine; 2-amino-3-(4-hydroxyphenyl)propanoic acid ID:ID: PB000411,"ID: EQ332501; Epinephrine; 4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",cpd:C00082; cpd:C01536; cpd:C03290; cpd:C04368; cpd:C06420; cpd:C14322; cpd:C19579; cpd:C19712; cpd:C20807; cpd:C21308,L-Tyrosine; 3-Amino-3-(4-hydroxyphenyl)propanoate; N-Hydroxy-L-phenylalanine; gamma-Hydroxy-3-pyridinebutanoate (S)-beta-Tyrosine,182.08124,182.081719,182.0811698,182.08124,182.0822667,182.0817182,1,1,1,1,1,570.36,585.6,HILIC,HILIC,"50.41006, 7833; 61.02722, 6234; 92.97606, 7815; 117.99068, 29141; 119.04941, 58840; 123.04433, 129363; 123.04906, 4509; 124.01521, 6740; 136.00127, 12843; 136.07587, 699540; 139.12317, 18151; 147.04416, 99164; 165.05481, 588495; 182.08151, 99904; 182.09134, 10836; 182.09392, 9881; 182.12929, 11231; 182.1734, 20868","136.07584, 100; 165.05477, 84.2; 123.04283, 20.2; 182.08141, 16.4; 147.0442, 13.9; 119.04948, 9.2; 139.12313, 3.3; 182.17054, 1.1; 141.05088, 1; 91.0546, 1; 182.19043, 0.9; 99.9711, 0.8; 159.06163, 0.8; 159.01618, 0.7; 182.12891, 0.6","165.056, 100; 136.075, 82.3; 182.082, 35.9; 123.046, 10.2; 147.043, 8.6; 119.052, 4.4",2.630686939,0.385476434,2.626293319,0.99971324,0.999993842,0.998683288,0.999714197,0.878945839,1.067510572,1.053016646,98.20565504,1; 2; 3; 3.5,Ingalls_Standards; MassBank; MassBank; KEGG,1,
34,MF_1795_189.12332_9.448_HILICPos_N(e)-Acetyl-Lysine,N(e)-Acetyl-Lysine,NA,ID: KO003402; 5-Methoxytryptamine,cpd:C02155; cpd:C02727; cpd:C03846; cpd:C12989; cpd:C17242,N6-Acetyl-L-lysine N6-Acetyl-L-lysine,189.12332,189.123918,NA,189.12332,189.1033365,189.1239174,1,1,NA,1,1,566.88,582.6,HILIC,HILIC,NA,"126.09158, 100; 189.1234, 32.1; 84.08077, 13.2; 143.11802, 12.5; 130.08648, 2.1",NA,3.16194803,NA,3.158775517,0.999553095,NA,0.607030077,0.999553991,0.871719135,NA,NA,93.56361149,1; 3.5,Ingalls_Standards; KEGG,1,
