"","SampleID","Candidatus Mancarchaeum","Candidatus Nitrosotenuis","Nitrosopumilus","Unclassified"
"1","50ppt-3C_1",0,0,1,0
"2","50ppt-3C_2",0,0,1,0
"3","50ppt-3C_3",1,0,0,0
"4","Ev32Core_A",0,0,0,1
"5","Ev32Core_B",0.133333333333333,0,0.866666666666667,0
"6","Ev32Core_C",0.666666666666667,0,0.333333333333333,0
"7","Ev37Core_A",0,0,0,1
"8","EvXCore_A",0.833333333333333,0,0.166666666666667,0
"9","Hero_1",0,0,0.742857142857143,0.257142857142857
"10","Station_B1_2",0.00748129675810474,0.0224438902743142,0.648379052369077,0.321695760598504
"11","Station_B1_3",0,0.0372670807453416,0.624223602484472,0.338509316770186
"12","Station_B1_4",0,0.222222222222222,0,0.777777777777778
"13","Station_B2_1",0.532467532467532,0,0,0.467532467532467
"14","Station_B2_2",0.0437956204379562,0,0.569343065693431,0.386861313868613
"15","Station_B2_3",0,0,0.717948717948718,0.282051282051282
"16","Station_B3_1",0,0,0.666666666666667,0.333333333333333
"17","Station_B3_2",0,0,0.697674418604651,0.302325581395349
"18","Station_B3_3",0,0,0.782608695652174,0.217391304347826
"19","Station_B4_1",0,0,0.608695652173913,0.391304347826087
"20","Station_B4_2",0,0,0.6875,0.3125
"21","Station_B4_3",0,0,0.88,0.12
"22","Station_B5_1",0,0,0.647058823529412,0.352941176470588
"23","Station_B5_2",0,0,1,0
"24","Station_B5_3",0,0,0.588235294117647,0.411764705882353
