"","Acidiferrobacter sp. SPIII_3","Alphaproteobacteria","Alteromonadaceae","Amoebophilaceae","Anaerococcus","Anaplasmataceae","Borreliaceae","Candidatus Aquiluna sp. 15G-AUS-rot","Candidatus Carsonella ruddii","Candidatus Hepatoplasma crinochetorum Av","Candidatus Nasuia deltocephalinicola","Candidatus Pelagibacter","Candidatus Pelagibacter sp. FZCC0015","Candidatus Pelagibacter ubique HTCC1062","Candidatus Thioglobus sp. NP1","Colwellia","Colwellia sp. MT41","Colwellia sp. PAMC 20917","FCB group","Flavivirga eckloniae","Flavobacteriaceae","Fluviicola taffensis DSM 16823","Francisellaceae","Gammaproteobacteria","Glaciecola amylolytica","Glaciecola nitratireducens FR1064","Haliscomenobacter hydrossis DSM 1100","Kordia","Luteolibacter luteus","Magnetospira sp. QH-2","Marinomonas","Methanomassiliicoccales","Methylococcaceae","Methylophaga","Methylophilaceae","Mycoplasmataceae","Neorickettsia","Neptunomonas concharum","Nitrosopumilus oxyclinae","Oceanicoccus sagamiensis","Octadecabacter","Oleispira antarctica RB-8","Owenweeksia hongkongensis DSM 17368","Paraglaciecola psychrophila 170","Pelagibacterales","Piscirickettsiaceae","Planktomarina temperata RCA23","Polaribacter sp. L12M9","Polaribacter sp. L3A8","Proteobacteria","Pseudohongiella spirulinae","Ralstonia solanacearum PSI07","Rhodobacteraceae","Roseobacter denitrificans OCh 114","Saprospira grandis str. Lewin","Seonamhaeicola sp. S2-3","Spartinivicinus ruber","Spirochaetales","Sulfitobacter pontiacus","Sulfitobacter sp. SK011","Sulfurivermis fontis","Tenacibaculum todarodis","Terricaulis silvestris","Unclassified","Winogradskyella","Winogradskyella sp. PG-2","Wolbachia","Yoonia vestfoldensis"
"20ppt3C_1",0.000436126158334854,0.000654189237502281,0.00324368830261548,0,0.0356377375096481,0,0,0,0.0489915051196153,0.00130837847500456,0.137670490647702,0.0031982584944556,0.0282028249056539,0,0.00755952007780413,0.000442388482659662,0.00788257649138551,0.00331940464954861,0.000359519650522993,0,0.0508414664879619,0.0138833493736595,0.00100755218097161,0,0.0532558497788894,0.00745048853822042,0.00145375386111618,0.00203525540556265,0,0.000218063079167427,0.0954389409822772,0,0,0.00072687693055809,0,0.000223255057242842,0,0.00200618032834033,0,0.00188988001945103,0.00610576621668796,0,0.0147556016903292,0.0201829494384963,0,0,0.00872252316669708,0.000145375386111618,0.32883912338448,0,0.00072687693055809,0,0,0.00072687693055809,0.000581501544446472,0,0,0.000415746431309861,0.00416742773519972,0.0819917177669525,0.000436126158334854,0.00329517541853001,0.000290750772223236,0.00247138156389751,0,0.000799564623613899,0.00523351390001825,0
"20ppt3C_2",0.000899260948614277,0.000629482664029994,0.0011465577094832,0,0.0208885471778116,0,0,0,0.040376816592781,0.000629482664029994,0.0850700857389106,0.00116903923319856,0.0196938147746527,0,0.0058451961659928,0.000753995718453509,0.00502586952392201,0.00134889142292142,0.000444585537086509,0,0.0435390912355556,0.00773364415808278,0.00155812540601484,0,0.0318638129458992,0.00514826893081674,0.000494593521737852,0.00152874361264427,0,0,0.0659270682952842,0,0,0.000149876824769046,0,0.00319423874232633,0,0.00147478795572741,0,0.00125896532805999,0.00339920638576197,0.000611497445057708,0.00719408758891422,0.0144181505427822,0.00242800456125855,0,0.0061599374980078,0.00247296760868926,0.254778611961397,0,0.000269778284584283,0,0,0,0.000599507299076185,0.000359704379445711,0,0,0.0035670684295033,0.0496392043635081,0.000224815237153569,0.00236805383135093,0.000134889142292142,0.212675214347276,0,0.00058451961659928,0.00350711769959568,0
"20ppt3C_3",0,0.000888017752855643,0.00691913832433355,0,0.0234056107716952,0.00777015533748688,0,0,0.0659353181495315,0.00777015533748688,0.174717492874348,0.00532810651713386,0.0435128698899265,0,0.0277505547767389,0,0.00135669378908501,0.00107302145136724,0.00103588457019106,0.000999019971962599,0.0311382454527626,0.0128762574164068,0.00269262808724793,0,0.0939078773644843,0.0106562130342677,0.00177603550571129,0.00399607988785039,0,0.000333006657320866,0.105812865363705,0,0,0.000592011835237095,0.00184434456362326,0.00354031084394322,0.014874297360332,0.000710414202284515,0,0.000555011095534777,0.0019980399439252,8.88017752855643e-05,0.0184263683717546,0.0222374445610934,0,0,0.0114332285680164,0,0.230840214854824,0,0.00155403106749738,0,0,0.00111002219106955,0.00133202662928346,0,0.00172053439615781,0.00719543356753124,0.00148002958809274,0.0190923816863963,0.00133202662928346,0.00214604290273447,0.000333006657320866,0.0133202662928346,0,0,0.00133202662928346,0
"35ppt0C_1",0,0.0020148619345326,0.0107832425755541,0,0.021555824505952,0.00738782709328621,0,0,0.0682814322258271,0.00649233290016061,0.124025945747896,0.00425359741734661,0.0472373186873755,0,0.0378346296595566,0,0.0013432412896884,0.0013432412896884,0.00147502591729717,0.0016790516121105,0.0363963338633029,0.00839525806055251,0.00356867735379262,0,0.108951793496948,0.00498118644926116,0.0013432412896884,0.00388047483687761,0,0.000783557418984901,0.122962546393559,0,0,0.0017163638701574,0.000929936277476586,0.00356882443809365,0.0127607922520398,0.000940268902781881,0,0.000447747096562801,0,0.0002238735482814,0.0188053780556376,0.0154472748314166,0.0002238735482814,0,0.0114175509623514,0,0.237798482984503,0,0.0021267987086733,0,0,0,0.000596996128750401,0.0015671148379698,0.00229470386988435,0.00853648670082349,0.0010447432253132,0.0188053780556376,0.0034700399983617,0.00395509935297141,0.0002238735482814,0.0163427690245422,0,0,0.000671620644844201,0
"35ppt0C_2",0.000997744173234421,0.00149661625985163,0.0103360060446003,0,0.0174605230316024,0.009478569645727,0,0,0.0528804411814243,0.00324266856301187,0.0850576907682344,0.000997744173234421,0.0446490517522404,0,0.0446490517522404,0,0.00224492438977745,0.00199548834646884,0.00225976886056692,0.00386625867128338,0.0400053661776543,0.0117234940355045,0.00458122633997488,0,0.0431524354923887,0.00592410602857938,0.00174605230316024,0.00465613947509397,0,0.000498872086617211,0.166903892478871,0,0,0.0016629069553907,0,0.000256815807903535,0.0169616509449852,0.00174605230316024,0,0.000498872086617211,0.00224492438977745,0.000199548834646884,0.0274379647639466,0.0198301654430341,0,0,0.0167122149016766,0,0.261059762926786,0,0.00249436043308605,0,0,0,0.00133032556431256,0.00162133428150593,0.0024320014222589,0.0155746000499513,0.00216177904200791,0.0341727379332789,0.00386625867128338,0.00424041273624629,0.000249436043308605,0.00648533712602374,0,0,0.00249436043308605,0
"35ppt0C_3",0.000590541479266463,0.000590541479266463,0.00329411418903324,0,0.035601214892921,0,0,0,0.0543298160925146,0.00132871832834954,0.135972175601103,0.001919259807616,0.023031117691392,0,0.00811994533991386,0.000831300697736636,0.00770984709042326,0.00278046613154626,0.000446050147259469,0.000664359164174771,0.0502529823338737,0.0103344758871631,0.00138134083640299,0,0.0504420846873437,0.0084890337644554,0.00199307749252431,0.00196847159755488,0,0,0.0927703755085159,0,0,0.000393694319510975,0,0,0,0.00168304321590942,0,0.00155017138307446,0.00779514752631731,0.000265743665669908,0.0148373546665699,0.0197339277654876,0.000738176849083078,0,0.0120322826400542,0.000369088424541539,0.335575195593167,0,0.000664359164174771,0,0,0,0.000344482529572103,0.000442906109449847,0,0,0.00659437985180883,0.079132558221706,0.000295270739633231,0.00374009603535426,0.000442906109449847,0.000885812218899694,0,0,0.00354324887559878,0
"50ppt-3C_1",0.000749852821303576,0.00224955846391073,0.0060417828883158,0.00131224243728126,0.00251736304294772,0.000374926410651788,0,0,0.0164967620686787,0,0.0348681561906163,0.00674867539173219,0.0410544419663708,0,0.0373051778598529,0.000836374300684758,0.000604048106050103,0.0019996075234762,0.000463522627839602,0.00178090045059599,0.0232566033016024,0.00431165372249556,0.00168902491927291,0,0.0321186958458365,0.00782658882235608,0.00131224243728126,0.00362428863630062,0,0.000468658013314735,0.0815464943167639,0,0,0.00143721790749852,0.001903472546386,0.000579028362012525,0.00131224243728126,0.00063737489810804,0.000374926410651788,9.37316026629471e-05,0.00686115331492772,0.00119976451408572,0.014247203604768,0.0394297608535464,0,0,0.0202460261751966,0.000749852821303576,0.53783193607999,0.00134647653530508,0.00309314288787725,0.00181214431815031,0,0.00112477923195536,0.00112477923195536,0,0.00328060609320315,0,0.00412419051716967,0.0268072383616029,0.00243702166923662,0.000874828291520839,0.000937316026629471,0.00506150654379914,0,0.000468658013314735,0.000749852821303576,0.000562389615977682
"50ppt-3C_2",0.0011212331319353,0.00121466922626325,0.00681694171534277,0,0.0114525955619106,0,0,0,0.0212099934124428,0,0.0327960691091077,0.00252277454685444,0.0243868206195929,0,0.0101845342817457,0.000743463815175564,0.00335331760754725,0.00507669445848485,0.00117972389805823,0.000654052660295594,0.0542315126573493,0.0138752600076994,0.00259030756552711,0,0.00968620844532999,0.00810558118294897,0.00102779703760736,0.0027407921002863,0,0.000186872188655884,0.150303637238286,0,0,0.000778634119399517,0,9.62004758169344e-05,9.3436094327942e-05,0.00222377904500502,0.000280308282983826,0.00313010915998606,0.014800277341546,0.000280308282983826,0.0194814256673759,0.0265669961539115,0,0,0.030600320892401,0.00401775205610151,0.347115090428305,0.000186872188655884,0.00154169555641104,0,0,0.000840924848951478,0.000685198025071575,0.000513898518803681,0,0.000400814647631078,0.00984193526920989,0.140808194152209,0.000373744377311768,0.00535700274146868,0.000140154141491913,0.00046718047163971,0,0.000747488754623536,0.00476524081072504,0
"50ppt-3C_3",0.00120540214536797,0.00214293714732084,0.00673574254379234,0.000133933571707553,0.00493640878579266,0,0,0,0.0237062421922368,0.00133933571707553,0.0555824322586344,0.00495554215317945,0.0353584629307939,0,0.0476803515278888,0.00117449439805085,0.00061014182666774,0.00223222619512588,0.000845581080307737,0.00207597036146707,0.0310275886289212,0.0059600439409861,0.00375942253258329,0,0.0284832062498062,0.00977715073465135,0.00147326928878308,0.00236615976683343,0,0.000803601430245317,0.137700453411828,0,0,0.00160720286049063,0.00278169725854148,0.00144790908585621,0,0.000830388144586827,0,0.000669667858537764,0.00433944772332471,0.00107146857366042,0.0108486193083118,0.0438409224722723,0,0.000413280735554734,0.0252464782668737,0.000535734286830211,0.42186396416445,0.000937535001952869,0.00421890750878791,0,0,0.00241080429073595,0.00116075762146546,0.000535734286830211,0.00395104036537281,0.000319187483975944,0.00343762834049386,0.0302689872059069,0.00408497393708036,0.00156255833658812,0.000468767500976435,0.00589307715513232,0,0,0.00120540214536797,0.000803601430245317
"Ev32Core_A",0.0179949022446513,0.00183320764482591,0.00161512464496085,0,0.0113040383963465,0,0,0,0.078265499488723,0,0.128799129079867,0.00172553857140492,0.0155298471426442,0,0.0048068574489137,0.00505753459082549,0.0113803377209324,0.0168650853228981,0.000609618844357215,0,0.0647740486167006,0.0294574084689839,0.000555247560105542,0.0179056502495786,0.0281016281628801,0.00591613224481686,0.0110927479590316,0.000739516530602107,0.00425222005096212,0,0.0454802666320296,0.00234180234690667,0.00471001599847771,0.00234180234690667,0,0.000177520953589696,0.000123252755100351,0.00443709918361264,0,0.00591613224481686,0.0172307351630291,0.00867699395906472,0.0153449680099937,0.027033437618677,0,0.00540903519526113,0.00573125311216633,0.000308131887750878,0.200236425936031,0,0.000739516530602107,0,0.00875094561212493,0.00123252755100351,0.0155709313943444,0,0,0,0.00620372200671768,0.0792515215295258,0.00184879132650527,0.00160228581630457,9.24395663252634e-05,0.00135578030610386,0.0230482652037657,0,0.00234180234690667,0.00166391219385474
