"","Candidatus Carsonella ruddii","Candidatus Nasuia deltocephalinicola","Candidatus Pelagibacter","Candidatus Pelagibacter sp. FZCC0015","Candidatus Thioglobus sp. NP1","Flavobacteriaceae","Fluviicola taffensis DSM 16823","Glaciecola amylolytica","Marinomonas","Octadecabacter","Owenweeksia hongkongensis DSM 17368","Paraglaciecola psychrophila 170","Planktomarina temperata RCA23","Polaribacter sp. L3A8","Sulfitobacter sp. SK011","Unclassified"
"20ppt3C_1",0.0489915051196153,0.137670490647702,0.0031982584944556,0.0282028249056539,0.00755952007780413,0.0508414664879619,0.0138833493736595,0.0532558497788894,0.0954389409822772,0.00610576621668796,0.0147556016903292,0.0201829494384963,0.00872252316669708,0.32883912338448,0.0819917177669525,0.00247138156389751
"20ppt3C_2",0.040376816592781,0.0850700857389106,0.00116903923319856,0.0196938147746527,0.0058451961659928,0.0435390912355556,0.00773364415808278,0.0318638129458992,0.0659270682952842,0.00339920638576197,0.00719408758891422,0.0144181505427822,0.0061599374980078,0.254778611961397,0.0496392043635081,0.212675214347276
"20ppt3C_3",0.0659353181495315,0.174717492874348,0.00532810651713386,0.0435128698899265,0.0277505547767389,0.0311382454527626,0.0128762574164068,0.0939078773644843,0.105812865363705,0.0019980399439252,0.0184263683717546,0.0222374445610934,0.0114332285680164,0.230840214854824,0.0190923816863963,0.0133202662928346
"35ppt0C_1",0.0682814322258271,0.124025945747896,0.00425359741734661,0.0472373186873755,0.0378346296595566,0.0363963338633029,0.00839525806055251,0.108951793496948,0.122962546393559,0,0.0188053780556376,0.0154472748314166,0.0114175509623514,0.237798482984503,0.0188053780556376,0.0163427690245422
"35ppt0C_2",0.0528804411814243,0.0850576907682344,0.000997744173234421,0.0446490517522404,0.0446490517522404,0.0400053661776543,0.0117234940355045,0.0431524354923887,0.166903892478871,0.00224492438977745,0.0274379647639466,0.0198301654430341,0.0167122149016766,0.261059762926786,0.0341727379332789,0.00648533712602374
"35ppt0C_3",0.0543298160925146,0.135972175601103,0.001919259807616,0.023031117691392,0.00811994533991386,0.0502529823338737,0.0103344758871631,0.0504420846873437,0.0927703755085159,0.00779514752631731,0.0148373546665699,0.0197339277654876,0.0120322826400542,0.335575195593167,0.079132558221706,0.000885812218899694
"50ppt-3C_1",0.0164967620686787,0.0348681561906163,0.00674867539173219,0.0410544419663708,0.0373051778598529,0.0232566033016024,0.00431165372249556,0.0321186958458365,0.0815464943167639,0.00686115331492772,0.014247203604768,0.0394297608535464,0.0202460261751966,0.53783193607999,0.0268072383616029,0.00506150654379914
"50ppt-3C_2",0.0212099934124428,0.0327960691091077,0.00252277454685444,0.0243868206195929,0.0101845342817457,0.0542315126573493,0.0138752600076994,0.00968620844532999,0.150303637238286,0.014800277341546,0.0194814256673759,0.0265669961539115,0.030600320892401,0.347115090428305,0.140808194152209,0.00046718047163971
"50ppt-3C_3",0.0237062421922368,0.0555824322586344,0.00495554215317945,0.0353584629307939,0.0476803515278888,0.0310275886289212,0.0059600439409861,0.0284832062498062,0.137700453411828,0.00433944772332471,0.0108486193083118,0.0438409224722723,0.0252464782668737,0.42186396416445,0.0302689872059069,0.00589307715513232
"Ev32Core_A",0.078265499488723,0.128799129079867,0.00172553857140492,0.0155298471426442,0.0048068574489137,0.0647740486167006,0.0294574084689839,0.0281016281628801,0.0454802666320296,0.0172307351630291,0.0153449680099937,0.027033437618677,0.00573125311216633,0.200236425936031,0.0792515215295258,0.00135578030610386
