SampleID,Polaribacter sp. L3A8,Marinomonas,Candidatus Pelagibacter sp. FZCC0015,Candidatus Nasuia deltocephalinicola,Candidatus Thioglobus sp. NP1,Candidatus Carsonella ruddii,Glaciecola amylolytica,Planktomarina temperata RCA23,Sulfitobacter sp. SK011,Flavobacteriaceae,Bacteria,Octadecabacter,Paraglaciecola psychrophila 170,Owenweeksia hongkongensis DSM 17368,Candidatus Pelagibacter,Fluviicola taffensis DSM 16823,Neorickettsia,Amoebophilaceae,Pseudohongiella spirulinae,Anaerococcus
20ppt3C_1,0.328839123,0.095438941,0.028202825,0.137670491,0.00755952,0.048991505,0.05325585,0.008722523,0.081991718,0.050841466,0.002471382,0.006105766,0.020182949,0.014755602,0.003198258,0.013883349,0,0,0.000726877,0.035637738
20ppt3C_2,0.254778612,0.065927068,0.019693815,0.085070086,0.005845196,0.040376817,0.031863813,0.006159937,0.049639204,0.043539091,0.212675214,0.003399206,0.014418151,0.007194088,0.001169039,0.007733644,0,0,0.000269778,0.020888547
20ppt3C_3,0.230840215,0.105812865,0.04351287,0.174717493,0.027750555,0.065935318,0.093907877,0.011433229,0.019092382,0.031138245,0.013320266,0.00199804,0.022237445,0.018426368,0.005328107,0.012876257,0.014874297,0,0.001554031,0.023405611
35ppt0C_1,0.237798483,0.122962546,0.047237319,0.124025946,0.03783463,0.068281432,0.108951793,0.011417551,0.018805378,0.036396334,0.016342769,0,0.015447275,0.018805378,0.004253597,0.008395258,0.012760792,0,0.002126799,0.021555825
35ppt0C_2,0.261059763,0.166903892,0.044649052,0.085057691,0.044649052,0.052880441,0.043152435,0.016712215,0.034172738,0.040005366,0.006485337,0.002244924,0.019830165,0.027437965,0.000997744,0.011723494,0.016961651,0,0.00249436,0.017460523
35ppt0C_3,0.335575196,0.092770376,0.023031118,0.135972176,0.008119945,0.054329816,0.050442085,0.012032283,0.079132558,0.050252982,0.000885812,0.007795148,0.019733928,0.014837355,0.00191926,0.010334476,0,0,0.000664359,0.035601215
50ppt-3C_1,0.537831936,0.081546494,0.041054442,0.034868156,0.037305178,0.016496762,0.032118696,0.020246026,0.026807238,0.023256603,0.005061507,0.006861153,0.039429761,0.014247204,0.006748675,0.004311654,0.001312242,0.001312242,0.003093143,0.002517363
50ppt-3C_2,0.34711509,0.150303637,0.024386821,0.032796069,0.010184534,0.021209993,0.009686208,0.030600321,0.140808194,0.054231513,0.00046718,0.014800277,0.026566996,0.019481426,0.002522775,0.01387526,9.34E-05,0,0.001541696,0.011452596
50ppt-3C_3,0.421863964,0.137700453,0.035358463,0.055582432,0.047680352,0.023706242,0.028483206,0.025246478,0.030268987,0.031027589,0.005893077,0.004339448,0.043840922,0.010848619,0.004955542,0.005960044,0,0.000133934,0.004218908,0.004936409
Ev32Core_A,0.200236426,0.045480267,0.015529847,0.128799129,0.004806857,0.078265499,0.028101628,0.005731253,0.079251522,0.064774049,0.00135578,0.017230735,0.027033438,0.015344968,0.001725539,0.029457408,0.000123253,0,0.000739517,0.011304038
