,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
Barrow_BarrowBlank2_16S.16S.exp.,1.1080246913580247,0.41054259066653725,1.6498628257887518,0.905825941172469,2803.227366255144,414.44381693609307,2932069.563443073,381968.01930974115,62.62139993341835,6.933651942624422,0.7152052599873991,0.03712606500754489,0.6578264882563274,0.1505513996591976
B234-P_Station_B23_16S.16S.exp.,1.0,0.0,1.0,0.0,1769.3162393162393,103.86754659886412,1616303.4615384615,50089.67143648862,37.462449680127534,7.079813683243038,0.6901090896283252,0.018017787526964254,0.5648142897120523,0.18317743259211128
Barrow_S1IC6_16S.16S.exp.,1.0,0.0,1.0,0.0,1757.5555555555557,111.24300668333126,1621975.0,53646.45490178649,38.26408072408339,7.5825393654802875,0.6921492023306128,0.019297200366363964,0.5440735297022906,0.19618455451514952
B234-P_B43_16S.16S.exp.,1.0,0.0,1.0,0.0,1806.48,76.06126185881708,1598381.4,36680.21186893554,34.92929558122695,5.184483316549944,0.6836623334890954,0.013194262308877365,0.6303550913428994,0.13413917169741596
B234-P_core_4_16S.16S.exp.,1.0,0.0,1.0,0.0,1604.6666666666674,4.597723360379284e-13,1695705.0,0.0,48.68528429550979,1.4367885501185262e-14,0.718670667460355,0.0,0.2744436495753881,1.1224910547800986e-16
Barrow_S1IC5_16S.16S.exp.,1.0,0.0,1.0,0.0,1719.3333333333335,118.4272240973644,1640407.5,57111.01242317457,40.86938161693999,8.072229575914324,0.6987795686130485,0.020543438552902412,0.47666605967056486,0.20885440707427916
Barrow_S2C1D_16S.16S.exp.,1.0,0.0,1.0,0.0,1752.0952380952385,114.03488959066875,1624608.2142857143,54992.828259941976,38.63626656592004,7.772839526181267,0.6930963975138179,0.01978150518217753,0.5344438911263297,0.20110822855781219
B234-P_core_1_16S.16S.exp.,1.0,0.0,1.0,0.0,1604.6666666666672,2.3360424480146385e-13,1695705.0,0.0,48.68528429550977,7.300132650045745e-15,0.718670667460355,0.0,0.27444364957538797,0.0
B234-P_B33_16S.16S.exp.,1.0,0.0,1.0,0.0,1784.1449275362313,96.71930782387159,1609152.391304348,46642.464456894304,36.4516974942701,6.592575846715243,0.6875367736123968,0.016777790514834662,0.590965682767839,0.17057103079256375
B234-P_core_2_16S.16S.exp.,1.0,0.0,1.0,0.0,1717.4666666666667,307.5306875899116,1500729.6,222679.31147979214,33.89372735962404,2.2174099662574287,0.6883024877100345,0.024843530418124996,0.6883024877100345,0.024843530418124996
