,archaea_41,archaea_414,archaea_476,archaea_477,archaea_478,archaea_500,archaea_173,archaea_4,archaea_588,archaea_198,archaea_294,archaea_176,archaea_179
Barrow_BarrowBlank2_16S.16S.exp.,62.25,171.0,89.0,38.0,312.0,299.0,,,,,,,
B234-P_Station_B23_16S.16S.exp.,,,,,,,56.0,22.0,,,,,
Barrow_S1IC6_16S.16S.exp.,,,,,,,12.0,6.0,,,,,
B234-P_B43_16S.16S.exp.,,,,,,,22.0,3.0,,,,,
B234-P_core_4_16S.16S.exp.,,,,,,,,46.0,,,,,
Barrow_S1IC5_16S.16S.exp.,,,,,,,8.0,8.0,,,,,
Barrow_S2C1D_16S.16S.exp.,,,,,,,9.0,5.0,,,,,
B234-P_core_1_16S.16S.exp.,,,,,,,,19.0,,,,,
B234-P_B33_16S.16S.exp.,,,,,,,18.0,5.0,,,,,
B234-P_core_2_16S.16S.exp.,,,,,,,13.0,,2.0,,,,
B234-P_Blank771_16S.16S.exp.,,,,,,,,18.0,1.0,,,,
B234-P_DockSlush3_16S.16S.exp.,,,,,,,35.0,13.0,,,,,
B234-P_StationB52_16S.16S.exp.,,,,,,,7.0,,,,,,
B234-P_StationB51_16S.16S.exp.,,,,,,,11.0,6.0,,,,,
B234-P_Carboy9_16S.16S.exp.,,,,,,,,,2.0,,,,
B234-P_Station_B13_16S.16S.exp.,,,,,,,201.0,109.0,,12.0,,,
Barrow_S2C2_16S.16S.exp.,,,,,,,,,,,6.0,,
B234-P_MQBlank121118_16S.16S.exp.,,,,,,,,21.0,7.0,,,,
B234-P_Station_B22_16S.16S.exp.,,,,,,,78.0,53.0,6.0,,,,
B234-P_Hero11_16S.16S.exp.,,,,,,,26.0,9.0,,,,,
B234-P_Station_B21_16S.16S.exp.,,,,,,,,36.0,41.0,,,,
B234-P_Core_6_16S.16S.exp.,,,,,,,1.0,,5.0,,,,
B234-P_CTDSW_16S.16S.exp.,,,,,,,177.0,53.0,,13.0,,31.0,72.0
Barrow_S1IC4_16S.16S.exp.,,,,,,,,28.0,,,,,
B234-P_B41_16S.16S.exp.,,,,,,,14.0,9.0,,,,,
B234-P_B42_16S.16S.exp.,,,,,,,11.0,5.0,,,,,
B234-P_core_3_16S.16S.exp.,,,,,,,8.0,,16.0,,,,
B234-P_B31_16S.16S.exp.,,,,,,,28.0,14.0,,,,,
B234-P_B32_16S.16S.exp.,,,,,,,30.0,13.0,,,,,
B234-P_Station_B14_16S.16S.exp.,,,,,,,,7.0,,2.0,,,
B234-P_DockSlush1_16S.16S.exp.,,,,,,,63.0,14.0,,,,,
B234-P_DockSlush2_16S.16S.exp.,,,,,,,127.0,,,,,,
B234-P_StationB53_16S.16S.exp.,,,,,,,10.0,7.0,,,,,
B234-P_Station_B12_16S.16S.exp.,,,,,,,260.0,129.0,3.0,9.0,,,
B234-P_blankMQ191118_16S.16S.exp.,,,,,,,,33.0,3.0,,,,
B234-P_Carboy8_16S.16S.exp.,,,,,,,3.0,,,,,,
B234-P_Carboy7_16S.16S.exp.,,,,,,,2.0,,,,,,
