,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
archaea_41,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,,Methanobacterium
archaea_414,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas moolapensis,Natronomonas moolapensis 8.8.11,Natronomonas moolapensis 8.8.11
archaea_476,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus sp. CBA1104,,Halorhabdus sp. CBA1104
archaea_477,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,,,Halorhabdus
archaea_478,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,,Halapricum salinum
archaea_500,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Halobacterium salinarum NRC-1,Halobacterium salinarum NRC-1
archaea_173,Archaea,Thaumarchaeota,TACK group,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus oxyclinae,,Nitrosopumilus oxyclinae
archaea_4,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Methanomassiliicoccales,,,,,Methanomassiliicoccales
archaea_588,Archaea,Candidatus Micrarchaeota,DPANN group,,,,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,,Candidatus Mancarchaeum acidiphilum
archaea_198,Archaea,Thaumarchaeota,TACK group,,,,Candidatus Nitrosotenuis,,,Candidatus Nitrosotenuis
archaea_294,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Salinadaptatus,Salinadaptatus halalkaliphilus,,Salinadaptatus halalkaliphilus
archaea_176,Archaea,Thaumarchaeota,TACK group,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus sediminis,,Candidatus Nitrosopumilus sediminis
archaea_179,Archaea,Thaumarchaeota,TACK group,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus,Nitrosopumilus maritimus SCM1,Nitrosopumilus maritimus SCM1
