,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
B234-P_StationB52_16S.16S.exp.,2.5899771867113324,1.0183160309605817,3.567420769396705,2.1505434076266083,3547.953234485341,1166.6767959017086,3983004.1275749765,1292357.5809351385,42.22895457526664,7.036645151498782,0.39376828127904256,0.07574285484076884,0.5633927619581367,0.11581649751621785
Barrow_S1IC6_16S.16S.exp.,2.6489218739112332,1.1327525012380895,4.002976333673328,3.0918529905168737,3393.69918934854,1099.9339034141199,3862417.224178298,1255277.032216633,40.614774536491,8.131896946215557,0.3989768947114688,0.08775275523357266,0.5356804712309308,0.12693291540320856
B234-P_Carboy2_16S.16S.exp.,3.016556568295534,1.5847357649989293,3.69634482708453,3.2968730512874296,3233.251724125588,901.2247592333339,3755707.86799643,1074528.4382356326,38.838500966608756,8.377117256428932,0.38219196277334017,0.10603179096210955,0.4948411385586324,0.15382063092660098
B234-P_MQBlank121118_16S.16S.exp.,2.759831084350907,1.3400346475519227,5.897063971848902,5.075026442525744,3120.0633048808886,1266.1737417181612,3759501.6839064704,1577374.75094384,35.284966046834064,10.47259529392004,0.41266211214143794,0.1362558694563516,0.4266349509534718,0.1401726122528077
B234-P_Carboy5_16S.16S.exp.,2.7221410388084664,1.1709066900320093,3.7779700092096182,2.5803014515290994,3446.9649111505987,882.4190532930282,3904674.194694296,993803.2927835321,41.76179433272813,6.66642719534473,0.39108235409954695,0.07205976608367039,0.5572695811707274,0.11348374711178648
B234-P_B43_16S.16S.exp.,2.5791179889179863,0.9784320806844132,3.58629182380724,2.088704806969265,3615.5644228353303,1129.2098450899312,4047044.4160546167,1245203.5732086587,42.7921614302661,6.340451958610841,0.3919552779020798,0.06307309678994916,0.5760080879636311,0.10246913383007815
B234-P_Blankdry1_16S.16S.exp.,2.5419374247894106,1.6674627023863466,1.6399088877428227,0.3996491447696012,3134.2290785628334,1831.5255070284984,3754094.32261475,2068848.8739966012,52.195265502743624,13.908088507266694,0.4028205677383797,0.040533670855426,0.47595796737088447,0.09599030620456611
mock_community_II_2_16S.16S.exp.,5.884960831140993,0.5662879870966805,1.0096981361830661,0.249994306121192,3060.237050584147,823.2566262131706,3209176.8227544175,942209.5192478173,39.9190760005159,7.128906299574932,0.5134614734493862,0.02352356551157545,0.5294259428793948,0.03930074866500453
B234-P_B32_16S.16S.exp.,2.5552025602159514,0.9420044655837384,3.7087071128539297,2.2172609305251916,3616.3586663285246,1322.3819892612744,4052275.3063820973,1461747.635829013,42.015128224158886,8.094461585162184,0.39898424772396884,0.0771579726113788,0.5754116238359647,0.10701782216110083
mock_community_I_1_16S.16S.exp.,5.498990431414302,1.3761956691972779,1.3628437752428495,0.7105446228765167,3182.0716339107385,1388.604815191156,3406442.1015133034,1587112.7307796318,42.773050019631285,12.083714887832846,0.490691310433913,0.03395319078363913,0.5042006227995155,0.035837692967525515
B234-P_Blank773_16S.16S.exp.,1.5385467861617037,1.4510634292236442,1.2912811988050494,0.23237632207335499,1429.3963910571458,1246.1639154308214,1825308.407307025,1377474.4862056526,40.34517977260132,8.444807284345417,0.4208096332539453,0.029743380863074362,0.5490004283518214,0.050421138213279204
