,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Actinobacteria_173,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Acidimicrobium ferrooxidans DSM 10331,Acidimicrobium ferrooxidans DSM 10331
Bacteroidetes_1027,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_1039,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_1111,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_1115,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum todarodis,,Tenacibaculum todarodis
Bacteroidetes_1124,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. L3A8,,Polaribacter sp. L3A8
Bacteroidetes_1125,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,,Polaribacter
Bacteroidetes_1126,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. L12M9,,Polaribacter sp. L12M9
Bacteroidetes_1127,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,,Polaribacter
Bacteroidetes_1133,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter reichenbachii,,Polaribacter reichenbachii
Bacteroidetes_1144,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_1149,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola taffensis,Fluviicola taffensis DSM 16823,Fluviicola taffensis DSM 16823
Bacteroidetes_1152,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_1156,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_223,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,Haliscomenobacter hydrossis DSM 1100,Haliscomenobacter hydrossis DSM 1100
Bacteroidetes_224,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,Saprospira grandis str. Lewin,Saprospira grandis str. Lewin
Bacteroidetes_518,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Owenweeksia,Owenweeksia hongkongensis,Owenweeksia hongkongensis DSM 17368,Owenweeksia hongkongensis DSM 17368
Bacteroidetes_94,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_975,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,,,Kordia
Bacteroidetes_997,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavivirga,Flavivirga eckloniae,,Flavivirga eckloniae
Cyanobacteria_135,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_140,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 8807,,Synechococcus sp. PCC 8807
Cyanobacteria_148,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,,,,,Synechococcales
Cyanobacteria_15,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium gracile,Cyanobium gracile PCC 6307,Cyanobium gracile PCC 6307
Cyanobacteria_151,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis sp. NIES-3709,,Geminocystis sp. NIES-3709
Cyanobacteria_154,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,,,,,Chroococcales
Cyanobacteria_160,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_161,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_216,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,,,,,Synechococcales
Cyanobacteria_31,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Leptolyngbyaceae,Leptolyngbya,,,Leptolyngbya
Cyanobacteria_44,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,Cyanobacteria/Melainabacteria group
Firmicutes_Tenericutes_3380,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Halanaerobiales,Halanaerobiaceae,,,,Halanaerobiaceae
Firmicutes_Tenericutes_3430,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. SC05B48,,Blautia sp. SC05B48
Firmicutes_Tenericutes_3723,Bacteria,Firmicutes,Terrabacteria group,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,,Anaerococcus
Firmicutes_Tenericutes_3813,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Thermosediminibacter,Thermosediminibacter oceani,Thermosediminibacter oceani DSM 16646,Thermosediminibacter oceani DSM 16646
Firmicutes_Tenericutes_883,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,,Mycoplasmataceae
Firmicutes_Tenericutes_884,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,,Mycoplasmataceae
Firmicutes_Tenericutes_887,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Hepatoplasma,Candidatus Hepatoplasma crinochetorum,Candidatus Hepatoplasma crinochetorum Av,Candidatus Hepatoplasma crinochetorum Av
Fusobacteria_34,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,,,,Leptotrichiaceae
Planctomycetes_68,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstia,Fuerstia marisgermanicae,,Fuerstia marisgermanicae
Proteobacteria_1413,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas sp. CNPT3,,Psychromonas sp. CNPT3
Proteobacteria_1540,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,,,Kangiella
Proteobacteria_1587,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,,,Halioglobus
Proteobacteria_1595,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,Oleiphilus messinensis,,Oleiphilus messinensis
