  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = InvSimpson ~ as.factor(sample_type), data = data)

$`as.factor(sample_type)`
                        diff         lwr       upr     p adj
35ppt0C-20ppt3C    2.0679267  -9.3177731 13.453627 0.9996360
50ppt-3C-20ppt3C  -5.7526050 -17.1383049  5.633095 0.7452278
B1-20ppt3C         0.3091296 -11.0765702 11.694829 1.0000000
B2-20ppt3C         4.8858902  -6.4998097 16.271590 0.8765955
B3-20ppt3C         3.6302975  -7.7554023 15.015997 0.9773362
B4-20ppt3C         4.3366226  -7.0490772 15.722322 0.9340636
B5-20ppt3C         1.6176729  -9.7680269 13.003373 0.9999518
icecore-20ppt3C   17.1041590   6.9204794 27.287838 0.0002250
inlet-20ppt3C     -1.0738176 -12.4595174 10.311882 0.9999986
50ppt-3C-35ppt0C  -7.8205317 -19.2062316  3.565168 0.3672879
B1-35ppt0C        -1.7587971 -13.1444969  9.626903 0.9999031
B2-35ppt0C         2.8179635  -8.5677364 14.203663 0.9960434
B3-35ppt0C         1.5623708  -9.8233290 12.948071 0.9999640
B4-35ppt0C         2.2686959  -9.1170039 13.654396 0.9992393
B5-35ppt0C        -0.4502538 -11.8359536 10.935446 1.0000000
icecore-35ppt0C   15.0362323   4.8525527 25.219912 0.0011573
inlet-35ppt0C     -3.1417443 -14.5274441  8.243956 0.9913920
B1-50ppt-3C        6.0617346  -5.3239652 17.447434 0.6896077
B2-50ppt-3C       10.6384952  -0.7472047 22.024195 0.0801852
B3-50ppt-3C        9.3829025  -2.0027973 20.768602 0.1677679
B4-50ppt-3C       10.0892277  -1.2964722 21.474927 0.1118266
B5-50ppt-3C        7.3702780  -4.0154219 18.755978 0.4441038
icecore-50ppt-3C  22.8567640  12.6730844 33.040443 0.0000030
inlet-50ppt-3C     4.6787874  -6.7069124 16.064487 0.9008288
B2-B1              4.5767606  -6.8089393 15.962460 0.9116285
B3-B1              3.3211679  -8.0645319 14.706868 0.9873947
B4-B1              4.0274930  -7.3582068 15.413193 0.9569395
B5-B1              1.3085433 -10.0771565 12.694243 0.9999921
icecore-B1        16.7950294   6.6113498 26.978709 0.0002869
inlet-B1          -1.3829472 -12.7686470 10.002753 0.9999872
B3-B2             -1.2555926 -12.6412925 10.130107 0.9999944
B4-B2             -0.5492675 -11.9349674 10.836432 1.0000000
B5-B2             -3.2682172 -14.6539171  8.117483 0.9886989
icecore-B2        12.2182688   2.0345893 22.401948 0.0107774
inlet-B2          -5.9597078 -17.3454076  5.425992 0.7083060
B4-B3              0.7063251 -10.6793747 12.092025 1.0000000
B5-B3             -2.0126246 -13.3983244  9.373075 0.9997074
icecore-B3        13.4738614   3.2901819 23.657541 0.0040129
inlet-B3          -4.7041151 -16.0898150  6.681585 0.8980307
B5-B4             -2.7189497 -14.1046495  8.666750 0.9969602
icecore-B4        12.7675363   2.5838568 22.951216 0.0070114
inlet-B4          -5.4104402 -16.7961401  5.975260 0.8022226
icecore-B5        15.4864860   5.3028065 25.670166 0.0008087
inlet-B5          -2.6914905 -14.0771904  8.694209 0.9971811
inlet-icecore    -18.1779765 -28.3616561 -7.994297 0.0000974

