"","SampleID","variable","value","superkingdom","phylum","clade","class","order","family","genus","species","strain","taxon"
"1","B31","archaea_173",28,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"2","B32","archaea_173",30,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"3","B33","archaea_173",18,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"4","B41","archaea_173",14,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"5","B42","archaea_173",11,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"6","B43","archaea_173",22,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"7","blank771","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"8","blank772","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"9","blankdry1","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"10","blankdry2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"11","blankFiltSW1","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"12","blankFiltSW2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"13","blankMQ191118","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"14","Carboy1","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"15","Carboy2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
