"","SampleID","variable","value","variable2"
"1","B31","archaea_173",28,"Mollicutes"
"2","B32","archaea_173",30,"Mollicutes"
"3","B33","archaea_173",18,"Mollicutes"
"4","B41","archaea_173",14,"Mollicutes"
"5","B42","archaea_173",11,"Mollicutes"
"6","B43","archaea_173",22,"Mollicutes"
"7","blank771","archaea_173",0,"Mollicutes"
"8","blank772","archaea_173",0,"Mollicutes"
"9","blankdry1","archaea_173",0,"Mollicutes"
"10","blankdry2","archaea_173",0,"Mollicutes"
"11","blankFiltSW1","archaea_173",0,"Mollicutes"
"12","blankFiltSW2","archaea_173",0,"Mollicutes"
"13","blankMQ191118","archaea_173",0,"Mollicutes"
"14","Carboy1","archaea_173",0,"Mollicutes"
"15","Carboy2","archaea_173",0,"Mollicutes"
"16","Carboy3","archaea_173",0,"Mollicutes"
"17","Carboy4","archaea_173",0,"Mollicutes"
"18","Carboy5","archaea_173",0,"Mollicutes"
"19","Carboy6","archaea_173",0,"Mollicutes"
"20","Carboy7","archaea_173",2,"Mollicutes"
"21","Carboy8","archaea_173",3,"Mollicutes"
"22","Carboy9","archaea_173",0,"Mollicutes"
"23","core_1","archaea_173",0,"Mollicutes"
"24","core_2","archaea_173",13,"Mollicutes"
"25","core_3","archaea_173",8,"Mollicutes"
"26","core_4","archaea_173",0,"Mollicutes"
"27","core_6","archaea_173",1,"Mollicutes"
"28","CTDSW","archaea_173",177,"Mollicutes"
"29","dockslush_1","archaea_173",63,"Mollicutes"
"30","dockslush_2","archaea_173",127,"Mollicutes"
"31","dockslush_3","archaea_173",35,"Mollicutes"
"32","Hero11","archaea_173",26,"Mollicutes"
"33","Hero12","archaea_173",0,"Mollicutes"
"34","Hero13","archaea_173",0,"Mollicutes"
"35","iceslush","archaea_173",0,"Mollicutes"
"36","blankMQ121118","archaea_173",0,"Mollicutes"
"37","B12","archaea_173",260,"Mollicutes"
"38","B13","archaea_173",201,"Mollicutes"
"39","B14","archaea_173",0,"Mollicutes"
"40","B21","archaea_173",0,"Mollicutes"
"41","B22","archaea_173",78,"Mollicutes"
"42","B23","archaea_173",56,"Mollicutes"
"43","B51","archaea_173",11,"Mollicutes"
"44","B52","archaea_173",7,"Mollicutes"
"45","B53","archaea_173",10,"Mollicutes"
"46","Barrow_Blank1","archaea_173",0,"Mollicutes"
"47","Barrow_Blank2","archaea_173",0,"Mollicutes"
"48","Barrow_S1IC4","archaea_173",0,"Mollicutes"
"49","Barrow_S1IC5","archaea_173",8,"Mollicutes"
"50","Barrow_S1IC6","archaea_173",12,"Mollicutes"
"51","Barrow_S2C1D","archaea_173",9,"Mollicutes"
"52","Barrow_S2C2","archaea_173",0,"Mollicutes"
"53","Barrow_S2C3","archaea_173",0,"Mollicutes"
"54","mock_1","archaea_173",0,"Mollicutes"
"55","mock_2","archaea_173",0,"Mollicutes"
"56","mock_3","archaea_173",0,"Mollicutes"
"57","mock_4","archaea_173",0,"Mollicutes"
"58","B31","Firmicutes_Tenericutes_748",551,"Betaproteobacteria"
"59","B32","Firmicutes_Tenericutes_748",304,"Betaproteobacteria"
"60","B33","Firmicutes_Tenericutes_748",549,"Betaproteobacteria"
"61","B41","Firmicutes_Tenericutes_748",408,"Betaproteobacteria"
"62","B42","Firmicutes_Tenericutes_748",715,"Betaproteobacteria"
"63","B43","Firmicutes_Tenericutes_748",523,"Betaproteobacteria"
"64","blank771","Firmicutes_Tenericutes_748",37,"Betaproteobacteria"
"65","blank772","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"66","blankdry1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"67","blankdry2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"68","blankFiltSW1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"69","blankFiltSW2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"70","blankMQ191118","Firmicutes_Tenericutes_748",38,"Betaproteobacteria"
"71","Carboy1","Firmicutes_Tenericutes_748",1040,"Betaproteobacteria"
"72","Carboy2","Firmicutes_Tenericutes_748",997,"Betaproteobacteria"
"73","Carboy3","Firmicutes_Tenericutes_748",1133,"Betaproteobacteria"
"74","Carboy4","Firmicutes_Tenericutes_748",1323,"Betaproteobacteria"
"75","Carboy5","Firmicutes_Tenericutes_748",435,"Betaproteobacteria"
"76","Carboy6","Firmicutes_Tenericutes_748",985,"Betaproteobacteria"
"77","Carboy7","Firmicutes_Tenericutes_748",480,"Betaproteobacteria"
"78","Carboy8","Firmicutes_Tenericutes_748",288,"Betaproteobacteria"
"79","Carboy9","Firmicutes_Tenericutes_748",542,"Betaproteobacteria"
"80","core_1","Firmicutes_Tenericutes_748",374,"Betaproteobacteria"
"81","core_2","Firmicutes_Tenericutes_748",443,"Betaproteobacteria"
"82","core_3","Firmicutes_Tenericutes_748",323,"Betaproteobacteria"
"83","core_4","Firmicutes_Tenericutes_748",27,"Betaproteobacteria"
"84","core_6","Firmicutes_Tenericutes_748",44,"Betaproteobacteria"
"85","CTDSW","Firmicutes_Tenericutes_748",15,"Betaproteobacteria"
"86","dockslush_1","Firmicutes_Tenericutes_748",455,"Betaproteobacteria"
"87","dockslush_2","Firmicutes_Tenericutes_748",163,"Betaproteobacteria"
"88","dockslush_3","Firmicutes_Tenericutes_748",647,"Betaproteobacteria"
"89","Hero11","Firmicutes_Tenericutes_748",613,"Betaproteobacteria"
"90","Hero12","Firmicutes_Tenericutes_748",144,"Betaproteobacteria"
"91","Hero13","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"92","iceslush","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"93","blankMQ121118","Firmicutes_Tenericutes_748",39,"Betaproteobacteria"
"94","B12","Firmicutes_Tenericutes_748",184,"Betaproteobacteria"
"95","B13","Firmicutes_Tenericutes_748",234,"Betaproteobacteria"
"96","B14","Firmicutes_Tenericutes_748",1554,"Betaproteobacteria"
"97","B21","Firmicutes_Tenericutes_748",350,"Betaproteobacteria"
"98","B22","Firmicutes_Tenericutes_748",753,"Betaproteobacteria"
"99","B23","Firmicutes_Tenericutes_748",279,"Betaproteobacteria"
"100","B51","Firmicutes_Tenericutes_748",732,"Betaproteobacteria"
"101","B52","Firmicutes_Tenericutes_748",908,"Betaproteobacteria"
"102","B53","Firmicutes_Tenericutes_748",1186,"Betaproteobacteria"
"103","Barrow_Blank1","Firmicutes_Tenericutes_748",232,"Betaproteobacteria"
"104","Barrow_Blank2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",46,"Betaproteobacteria"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",187,"Betaproteobacteria"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",1060,"Betaproteobacteria"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",833,"Betaproteobacteria"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",441,"Betaproteobacteria"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",411,"Betaproteobacteria"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"115","B31","Proteobacteria_6937",470.625,"Gammaproteobacteria"
"116","B32","Proteobacteria_6937",416.25,"Gammaproteobacteria"
"117","B33","Proteobacteria_6937",358.125,"Gammaproteobacteria"
"118","B41","Proteobacteria_6937",615,"Gammaproteobacteria"
"119","B42","Proteobacteria_6937",416.75,"Gammaproteobacteria"
"120","B43","Proteobacteria_6937",531.875,"Gammaproteobacteria"
"121","blank771","Proteobacteria_6937",168,"Gammaproteobacteria"
"122","blank772","Proteobacteria_6937",0,"Gammaproteobacteria"
"123","blankdry1","Proteobacteria_6937",44.125,"Gammaproteobacteria"
"124","blankdry2","Proteobacteria_6937",0,"Gammaproteobacteria"
"125","blankFiltSW1","Proteobacteria_6937",0,"Gammaproteobacteria"
"126","blankFiltSW2","Proteobacteria_6937",0,"Gammaproteobacteria"
"127","blankMQ191118","Proteobacteria_6937",118.125,"Gammaproteobacteria"
"128","Carboy1","Proteobacteria_6937",653.5,"Gammaproteobacteria"
"129","Carboy2","Proteobacteria_6937",731.5,"Gammaproteobacteria"
"130","Carboy3","Proteobacteria_6937",473,"Gammaproteobacteria"
"131","Carboy4","Proteobacteria_6937",545.75,"Gammaproteobacteria"
"132","Carboy5","Proteobacteria_6937",660.375,"Gammaproteobacteria"
"133","Carboy6","Proteobacteria_6937",625.75,"Gammaproteobacteria"
"134","Carboy7","Proteobacteria_6937",429.125,"Gammaproteobacteria"
"135","Carboy8","Proteobacteria_6937",1603.125,"Gammaproteobacteria"
"136","Carboy9","Proteobacteria_6937",1022.25,"Gammaproteobacteria"
"137","core_1","Proteobacteria_6937",368,"Gammaproteobacteria"
"138","core_2","Proteobacteria_6937",395.5,"Gammaproteobacteria"
"139","core_3","Proteobacteria_6937",241,"Gammaproteobacteria"
"140","core_4","Proteobacteria_6937",136.375,"Gammaproteobacteria"
"141","core_6","Proteobacteria_6937",41.375,"Gammaproteobacteria"
"142","CTDSW","Proteobacteria_6937",1348.625,"Gammaproteobacteria"
"143","dockslush_1","Proteobacteria_6937",693.5,"Gammaproteobacteria"
"144","dockslush_2","Proteobacteria_6937",33.375,"Gammaproteobacteria"
"145","dockslush_3","Proteobacteria_6937",578.5,"Gammaproteobacteria"
