"","SampleID","variable","value","variable2"
"1","B31","archaea_173",28,"Mycoplasmopsis"
"2","B32","archaea_173",30,"Mycoplasmopsis"
"3","B33","archaea_173",18,"Mycoplasmopsis"
"4","B41","archaea_173",14,"Mycoplasmopsis"
"5","B42","archaea_173",11,"Mycoplasmopsis"
"6","B43","archaea_173",22,"Mycoplasmopsis"
"7","blank771","archaea_173",0,"Mycoplasmopsis"
"8","blank772","archaea_173",0,"Mycoplasmopsis"
"9","blankdry1","archaea_173",0,"Mycoplasmopsis"
"10","blankdry2","archaea_173",0,"Mycoplasmopsis"
"11","blankFiltSW1","archaea_173",0,"Mycoplasmopsis"
"12","blankFiltSW2","archaea_173",0,"Mycoplasmopsis"
"13","blankMQ191118","archaea_173",0,"Mycoplasmopsis"
"14","Carboy1","archaea_173",0,"Mycoplasmopsis"
"15","Carboy2","archaea_173",0,"Mycoplasmopsis"
"16","Carboy3","archaea_173",0,"Mycoplasmopsis"
"17","Carboy4","archaea_173",0,"Mycoplasmopsis"
"18","Carboy5","archaea_173",0,"Mycoplasmopsis"
"19","Carboy6","archaea_173",0,"Mycoplasmopsis"
"20","Carboy7","archaea_173",2,"Mycoplasmopsis"
"21","Carboy8","archaea_173",3,"Mycoplasmopsis"
"22","Carboy9","archaea_173",0,"Mycoplasmopsis"
"23","core_1","archaea_173",0,"Mycoplasmopsis"
"24","core_2","archaea_173",13,"Mycoplasmopsis"
"25","core_3","archaea_173",8,"Mycoplasmopsis"
"26","core_4","archaea_173",0,"Mycoplasmopsis"
"27","core_6","archaea_173",1,"Mycoplasmopsis"
"28","CTDSW","archaea_173",177,"Mycoplasmopsis"
"29","dockslush_1","archaea_173",63,"Mycoplasmopsis"
"30","dockslush_2","archaea_173",127,"Mycoplasmopsis"
"31","dockslush_3","archaea_173",35,"Mycoplasmopsis"
"32","Hero11","archaea_173",26,"Mycoplasmopsis"
"33","Hero12","archaea_173",0,"Mycoplasmopsis"
"34","Hero13","archaea_173",0,"Mycoplasmopsis"
"35","iceslush","archaea_173",0,"Mycoplasmopsis"
"36","blankMQ121118","archaea_173",0,"Mycoplasmopsis"
"37","B12","archaea_173",260,"Mycoplasmopsis"
"38","B13","archaea_173",201,"Mycoplasmopsis"
"39","B14","archaea_173",0,"Mycoplasmopsis"
"40","B21","archaea_173",0,"Mycoplasmopsis"
"41","B22","archaea_173",78,"Mycoplasmopsis"
"42","B23","archaea_173",56,"Mycoplasmopsis"
"43","B51","archaea_173",11,"Mycoplasmopsis"
"44","B52","archaea_173",7,"Mycoplasmopsis"
"45","B53","archaea_173",10,"Mycoplasmopsis"
"46","Barrow_Blank1","archaea_173",0,"Mycoplasmopsis"
"47","Barrow_Blank2","archaea_173",0,"Mycoplasmopsis"
"48","Barrow_S1IC4","archaea_173",0,"Mycoplasmopsis"
"49","Barrow_S1IC5","archaea_173",8,"Mycoplasmopsis"
