"","SampleID","variable","value","variable2"
"1","B31","archaea_173",28,"Tenericutes"
"2","B32","archaea_173",30,"Tenericutes"
"3","B33","archaea_173",18,"Tenericutes"
"4","B41","archaea_173",14,"Tenericutes"
"5","B42","archaea_173",11,"Tenericutes"
"6","B43","archaea_173",22,"Tenericutes"
"7","blank771","archaea_173",0,"Tenericutes"
"8","blank772","archaea_173",0,"Tenericutes"
"9","blankdry1","archaea_173",0,"Tenericutes"
"10","blankdry2","archaea_173",0,"Tenericutes"
"11","blankFiltSW1","archaea_173",0,"Tenericutes"
"12","blankFiltSW2","archaea_173",0,"Tenericutes"
"13","blankMQ191118","archaea_173",0,"Tenericutes"
"14","Carboy1","archaea_173",0,"Tenericutes"
"15","Carboy2","archaea_173",0,"Tenericutes"
"16","Carboy3","archaea_173",0,"Tenericutes"
"17","Carboy4","archaea_173",0,"Tenericutes"
"18","Carboy5","archaea_173",0,"Tenericutes"
"19","Carboy6","archaea_173",0,"Tenericutes"
"20","Carboy7","archaea_173",2,"Tenericutes"
"21","Carboy8","archaea_173",3,"Tenericutes"
"22","Carboy9","archaea_173",0,"Tenericutes"
"23","core_1","archaea_173",0,"Tenericutes"
"24","core_2","archaea_173",13,"Tenericutes"
"25","core_3","archaea_173",8,"Tenericutes"
"26","core_4","archaea_173",0,"Tenericutes"
"27","core_6","archaea_173",1,"Tenericutes"
"28","CTDSW","archaea_173",177,"Tenericutes"
"29","dockslush_1","archaea_173",63,"Tenericutes"
"30","dockslush_2","archaea_173",127,"Tenericutes"
"31","dockslush_3","archaea_173",35,"Tenericutes"
"32","Hero11","archaea_173",26,"Tenericutes"
"33","Hero12","archaea_173",0,"Tenericutes"
"34","Hero13","archaea_173",0,"Tenericutes"
"35","iceslush","archaea_173",0,"Tenericutes"
"36","blankMQ121118","archaea_173",0,"Tenericutes"
"37","B12","archaea_173",260,"Tenericutes"
"38","B13","archaea_173",201,"Tenericutes"
"39","B14","archaea_173",0,"Tenericutes"
"40","B21","archaea_173",0,"Tenericutes"
"41","B22","archaea_173",78,"Tenericutes"
"42","B23","archaea_173",56,"Tenericutes"
"43","B51","archaea_173",11,"Tenericutes"
"44","B52","archaea_173",7,"Tenericutes"
"45","B53","archaea_173",10,"Tenericutes"
"46","Barrow_Blank1","archaea_173",0,"Tenericutes"
"47","Barrow_Blank2","archaea_173",0,"Tenericutes"
"48","Barrow_S1IC4","archaea_173",0,"Tenericutes"
"49","Barrow_S1IC5","archaea_173",8,"Tenericutes"
"50","Barrow_S1IC6","archaea_173",12,"Tenericutes"
"51","Barrow_S2C1D","archaea_173",9,"Tenericutes"
"52","Barrow_S2C2","archaea_173",0,"Tenericutes"
"53","Barrow_S2C3","archaea_173",0,"Tenericutes"
"54","mock_1","archaea_173",0,"Tenericutes"
"55","mock_2","archaea_173",0,"Tenericutes"
"56","mock_3","archaea_173",0,"Tenericutes"
"57","mock_4","archaea_173",0,"Tenericutes"
"58","B31","Firmicutes_Tenericutes_748",551,"Proteobacteria"
"59","B32","Firmicutes_Tenericutes_748",304,"Proteobacteria"
"60","B33","Firmicutes_Tenericutes_748",549,"Proteobacteria"
"61","B41","Firmicutes_Tenericutes_748",408,"Proteobacteria"
"62","B42","Firmicutes_Tenericutes_748",715,"Proteobacteria"
"63","B43","Firmicutes_Tenericutes_748",523,"Proteobacteria"
"64","blank771","Firmicutes_Tenericutes_748",37,"Proteobacteria"
"65","blank772","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"66","blankdry1","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"67","blankdry2","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"68","blankFiltSW1","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"69","blankFiltSW2","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"70","blankMQ191118","Firmicutes_Tenericutes_748",38,"Proteobacteria"
"71","Carboy1","Firmicutes_Tenericutes_748",1040,"Proteobacteria"
"72","Carboy2","Firmicutes_Tenericutes_748",997,"Proteobacteria"
"73","Carboy3","Firmicutes_Tenericutes_748",1133,"Proteobacteria"
"74","Carboy4","Firmicutes_Tenericutes_748",1323,"Proteobacteria"
"75","Carboy5","Firmicutes_Tenericutes_748",435,"Proteobacteria"
"76","Carboy6","Firmicutes_Tenericutes_748",985,"Proteobacteria"
"77","Carboy7","Firmicutes_Tenericutes_748",480,"Proteobacteria"
"78","Carboy8","Firmicutes_Tenericutes_748",288,"Proteobacteria"
"79","Carboy9","Firmicutes_Tenericutes_748",542,"Proteobacteria"
"80","core_1","Firmicutes_Tenericutes_748",374,"Proteobacteria"
"81","core_2","Firmicutes_Tenericutes_748",443,"Proteobacteria"
"82","core_3","Firmicutes_Tenericutes_748",323,"Proteobacteria"
"83","core_4","Firmicutes_Tenericutes_748",27,"Proteobacteria"
"84","core_6","Firmicutes_Tenericutes_748",44,"Proteobacteria"
"85","CTDSW","Firmicutes_Tenericutes_748",15,"Proteobacteria"
"86","dockslush_1","Firmicutes_Tenericutes_748",455,"Proteobacteria"
"87","dockslush_2","Firmicutes_Tenericutes_748",163,"Proteobacteria"
"88","dockslush_3","Firmicutes_Tenericutes_748",647,"Proteobacteria"
"89","Hero11","Firmicutes_Tenericutes_748",613,"Proteobacteria"
"90","Hero12","Firmicutes_Tenericutes_748",144,"Proteobacteria"
"91","Hero13","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"92","iceslush","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"93","blankMQ121118","Firmicutes_Tenericutes_748",39,"Proteobacteria"
"94","B12","Firmicutes_Tenericutes_748",184,"Proteobacteria"
"95","B13","Firmicutes_Tenericutes_748",234,"Proteobacteria"
"96","B14","Firmicutes_Tenericutes_748",1554,"Proteobacteria"
"97","B21","Firmicutes_Tenericutes_748",350,"Proteobacteria"
"98","B22","Firmicutes_Tenericutes_748",753,"Proteobacteria"
"99","B23","Firmicutes_Tenericutes_748",279,"Proteobacteria"
"100","B51","Firmicutes_Tenericutes_748",732,"Proteobacteria"
"101","B52","Firmicutes_Tenericutes_748",908,"Proteobacteria"
"102","B53","Firmicutes_Tenericutes_748",1186,"Proteobacteria"
"103","Barrow_Blank1","Firmicutes_Tenericutes_748",232,"Proteobacteria"
"104","Barrow_Blank2","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",46,"Proteobacteria"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",187,"Proteobacteria"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",1060,"Proteobacteria"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",833,"Proteobacteria"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",441,"Proteobacteria"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",411,"Proteobacteria"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"115","B31","Proteobacteria_6937",470.625,"Proteobacteria"
"116","B32","Proteobacteria_6937",416.25,"Proteobacteria"
"117","B33","Proteobacteria_6937",358.125,"Proteobacteria"
"118","B41","Proteobacteria_6937",615,"Proteobacteria"
"119","B42","Proteobacteria_6937",416.75,"Proteobacteria"
"120","B43","Proteobacteria_6937",531.875,"Proteobacteria"
"121","blank771","Proteobacteria_6937",168,"Proteobacteria"
"122","blank772","Proteobacteria_6937",0,"Proteobacteria"
"123","blankdry1","Proteobacteria_6937",44.125,"Proteobacteria"
"124","blankdry2","Proteobacteria_6937",0,"Proteobacteria"
"125","blankFiltSW1","Proteobacteria_6937",0,"Proteobacteria"
"126","blankFiltSW2","Proteobacteria_6937",0,"Proteobacteria"
"127","blankMQ191118","Proteobacteria_6937",118.125,"Proteobacteria"
"128","Carboy1","Proteobacteria_6937",653.5,"Proteobacteria"
