"","SampleID","variable","value","variable2"
"1","B31","archaea_173",0.00718901317789328,"Mollicutes"
"2","B32","archaea_173",0.00946273237116502,"Mollicutes"
"3","B33","archaea_173",0.00582095608316698,"Mollicutes"
"4","B41","archaea_173",0.0039781424091134,"Mollicutes"
"5","B42","archaea_173",0.00296943050817608,"Mollicutes"
"6","B43","archaea_173",0.00621631240959425,"Mollicutes"
"7","blank771","archaea_173",0,"Mollicutes"
"8","blank772","archaea_173",0,"Mollicutes"
"9","blankdry1","archaea_173",0,"Mollicutes"
"10","blankdry2","archaea_173",0,"Mollicutes"
"11","blankFiltSW1","archaea_173",0,"Mollicutes"
"12","blankFiltSW2","archaea_173",0,"Mollicutes"
"13","blankMQ191118","archaea_173",0,"Mollicutes"
"14","Carboy1","archaea_173",0,"Mollicutes"
"15","Carboy2","archaea_173",0,"Mollicutes"
"16","Carboy3","archaea_173",0,"Mollicutes"
"17","Carboy4","archaea_173",0,"Mollicutes"
"18","Carboy5","archaea_173",0,"Mollicutes"
"19","Carboy6","archaea_173",0,"Mollicutes"
"20","Carboy7","archaea_173",0.000399935493240408,"Mollicutes"
"21","Carboy8","archaea_173",0.000311883987110121,"Mollicutes"
"22","Carboy9","archaea_173",0,"Mollicutes"
"23","core_1","archaea_173",0,"Mollicutes"
"24","core_2","archaea_173",0.00167367025149473,"Mollicutes"
"25","core_3","archaea_173",0.000772144960451194,"Mollicutes"
"26","core_4","archaea_173",0,"Mollicutes"
"27","core_6","archaea_173",0.000123229370119803,"Mollicutes"
"28","CTDSW","archaea_173",0.027497886159526,"Mollicutes"
"29","dockslush_1","archaea_173",0.0116727085513297,"Mollicutes"
"30","dockslush_2","archaea_173",0.0239520832602075,"Mollicutes"
"31","dockslush_3","archaea_173",0.00718752226453677,"Mollicutes"
"32","Hero11","archaea_173",0.00579485677457618,"Mollicutes"
"33","Hero12","archaea_173",0,"Mollicutes"
"34","Hero13","archaea_173",0,"Mollicutes"
"35","iceslush","archaea_173",0,"Mollicutes"
"36","blankMQ121118","archaea_173",0,"Mollicutes"
"37","B12","archaea_173",0.027661012388753,"Mollicutes"
"38","B13","archaea_173",0.0211248940818263,"Mollicutes"
"39","B14","archaea_173",0,"Mollicutes"
"40","B21","archaea_173",0,"Mollicutes"
"41","B22","archaea_173",0.00553903647065105,"Mollicutes"
"42","B23","archaea_173",0.0129247214989679,"Mollicutes"
"43","B51","archaea_173",0.00309821816419785,"Mollicutes"
"44","B52","archaea_173",0.00203026947428638,"Mollicutes"
"45","B53","archaea_173",0.00233130330614675,"Mollicutes"
"46","Barrow_Blank1","archaea_173",0,"Mollicutes"
"47","Barrow_Blank2","archaea_173",0,"Mollicutes"
"48","Barrow_S1IC4","archaea_173",0,"Mollicutes"
"49","Barrow_S1IC5","archaea_173",0.00213442777421225,"Mollicutes"
"50","Barrow_S1IC6","archaea_173",0.00200227219337925,"Mollicutes"
"51","Barrow_S2C1D","archaea_173",0.00178915800145624,"Mollicutes"
"52","Barrow_S2C2","archaea_173",0,"Mollicutes"
"53","Barrow_S2C3","archaea_173",0,"Mollicutes"
"54","mock_1","archaea_173",0,"Mollicutes"
"55","mock_2","archaea_173",0,"Mollicutes"
"56","mock_3","archaea_173",0,"Mollicutes"
"57","mock_4","archaea_173",0,"Mollicutes"
"58","B31","Firmicutes_Tenericutes_748",0.141469509322114,"Betaproteobacteria"
"59","B32","Firmicutes_Tenericutes_748",0.0958890213611388,"Betaproteobacteria"
"60","B33","Firmicutes_Tenericutes_748",0.177539160536593,"Betaproteobacteria"
"61","B41","Firmicutes_Tenericutes_748",0.115934435922733,"Betaproteobacteria"
"62","B42","Firmicutes_Tenericutes_748",0.193012983031445,"Betaproteobacteria"
"63","B43","Firmicutes_Tenericutes_748",0.147778699555354,"Betaproteobacteria"
"64","blank771","Firmicutes_Tenericutes_748",0.00452264072170038,"Betaproteobacteria"
"65","blank772","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"66","blankdry1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"67","blankdry2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"68","blankFiltSW1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"69","blankFiltSW2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"70","blankMQ191118","Firmicutes_Tenericutes_748",0.00785274331812259,"Betaproteobacteria"
"71","Carboy1","Firmicutes_Tenericutes_748",0.18007119326374,"Betaproteobacteria"
"72","Carboy2","Firmicutes_Tenericutes_748",0.152742440110383,"Betaproteobacteria"
"73","Carboy3","Firmicutes_Tenericutes_748",0.314117688224204,"Betaproteobacteria"
"74","Carboy4","Firmicutes_Tenericutes_748",0.342934527550558,"Betaproteobacteria"
"75","Carboy5","Firmicutes_Tenericutes_748",0.13795119940579,"Betaproteobacteria"
"76","Carboy6","Firmicutes_Tenericutes_748",0.174484914029703,"Betaproteobacteria"
"77","Carboy7","Firmicutes_Tenericutes_748",0.095984518377698,"Betaproteobacteria"
"78","Carboy8","Firmicutes_Tenericutes_748",0.0299408627625716,"Betaproteobacteria"
"79","Carboy9","Firmicutes_Tenericutes_748",0.0828562536353023,"Betaproteobacteria"
"80","core_1","Firmicutes_Tenericutes_748",0.0643332450281281,"Betaproteobacteria"
"81","core_2","Firmicutes_Tenericutes_748",0.0570335324163205,"Betaproteobacteria"
"82","core_3","Firmicutes_Tenericutes_748",0.031175352778217,"Betaproteobacteria"
"83","core_4","Firmicutes_Tenericutes_748",0.00475129728131167,"Betaproteobacteria"
"84","core_6","Firmicutes_Tenericutes_748",0.00542209228527132,"Betaproteobacteria"
"85","CTDSW","Firmicutes_Tenericutes_748",0.00233032933555305,"Betaproteobacteria"
"86","dockslush_1","Firmicutes_Tenericutes_748",0.0843028950929367,"Betaproteobacteria"
"87","dockslush_2","Firmicutes_Tenericutes_748",0.0307416501686128,"Betaproteobacteria"
"88","dockslush_3","Firmicutes_Tenericutes_748",0.132866483004437,"Betaproteobacteria"
"89","Hero11","Firmicutes_Tenericutes_748",0.136624892415969,"Betaproteobacteria"
"90","Hero12","Firmicutes_Tenericutes_748",0.0128473713601913,"Betaproteobacteria"
"91","Hero13","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"92","iceslush","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"93","blankMQ121118","Firmicutes_Tenericutes_748",0.0113182719817556,"Betaproteobacteria"
"94","B12","Firmicutes_Tenericutes_748",0.0195754856905021,"Betaproteobacteria"
"95","B13","Firmicutes_Tenericutes_748",0.0245931602743649,"Betaproteobacteria"
"96","B14","Firmicutes_Tenericutes_748",0.258186769707453,"Betaproteobacteria"
"97","B21","Firmicutes_Tenericutes_748",0.0762768506563538,"Betaproteobacteria"
"98","B22","Firmicutes_Tenericutes_748",0.0534730059282082,"Betaproteobacteria"
"99","B23","Firmicutes_Tenericutes_748",0.0643928088966437,"Betaproteobacteria"
"100","B51","Firmicutes_Tenericutes_748",0.20617233601753,"Betaproteobacteria"
"101","B52","Firmicutes_Tenericutes_748",0.263354954664577,"Betaproteobacteria"
"102","B53","Firmicutes_Tenericutes_748",0.276492572109005,"Betaproteobacteria"
"103","Barrow_Blank1","Firmicutes_Tenericutes_748",0.0427963651986065,"Betaproteobacteria"
"104","Barrow_Blank2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",0.0138265740722291,"Betaproteobacteria"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",0.0498922492222114,"Betaproteobacteria"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",0.176867377081834,"Betaproteobacteria"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",0.16559651280145,"Betaproteobacteria"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",0.135229435354313,"Betaproteobacteria"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",0.0818562205614381,"Betaproteobacteria"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Betaproteobacteria"
"115","B31","Proteobacteria_6937",0.120833190244501,"Gammaproteobacteria"
"116","B32","Proteobacteria_6937",0.131295411649915,"Gammaproteobacteria"
"117","B33","Proteobacteria_6937",0.115812772071343,"Gammaproteobacteria"
"118","B41","Proteobacteria_6937",0.174754112971767,"Gammaproteobacteria"
"119","B42","Proteobacteria_6937",0.112500924025671,"Gammaproteobacteria"
