"","SampleID","Akashiwo","Amylax","Azadinium","Bispinodinium","Blastodinium","Gloeodinium","Gymnodinium","Gyrodiniellum","Gyrodinium","Herdmania","Heterocapsa","Islandinium","Madanidinium","Nusuttodinium","Parvodinium","Paulsenella","Pelagodinium","Pentapharsodinium","Polarella","Polykrikos","Prorocentrum","Proterythropsis","Protoperidinium","Sabulodinium","Sinophysis","Stoeckeria","Thecadinium","Tintinnophagus","Unclassified Eukaryota"
"1","20ppt3C_1",0,0,0.00272688538559864,0,0.000232405004454429,0,0,0,6.97215013363288e-05,0,0.000170430336599915,3.87341674090715e-05,0,0,0.000170430336599915,0,0,0.00596506178099702,0.000565518844172445,0,0,0,0,0,0,0,0,0,0.000286632838827129
"2","20ppt3C_2",0,0,0.00236012528843539,0,0.000552743097291559,0,0,0,6.14158996990621e-05,0,8.77369995700887e-05,0,4.38684997850444e-05,0,0,0,0,0.0037551435815998,0.000640480096861648,0,0,0,0,0,0,5.26421997420532e-05,0,0,0.000245663598796248
"3","20ppt3C_3",0,0,0.00611637986766583,0,5.05950540523827e-05,0,0,0.000224866906899479,5.62167267248697e-05,0,0.000320435342331757,5.05950540523827e-05,0.000123676798794713,0,0.000297948651641809,0,0,0.00698773913190131,0.000269840288279375,0,0.000550923921903723,0,0,0,0,0,0,0,0.000123676798794713
"4","35ppt0C_1",0,0,0.00543944815431016,0,9.11639355470976e-05,0,3.7984973144624e-05,0.000220312844238819,0,0,0.000668535527345382,5.31789624024736e-05,0.000136745903320646,0,0.000212715849609894,0,0,0.00666256428956705,0.000212715849609894,5.31789624024736e-05,0.000584968586427209,0,0,0,0,0,0,0,0.000303879785156992
"5","35ppt0C_2",0,0,0.00714771080939011,0,0.000153852071233509,0,0,0.00042309319589215,3.84630178083772e-05,0,0.000852596894752362,9.61575445209431e-05,0.000121799556393195,0,0.00037821967511571,0,0,0.00802594971601472,0.000397451184019898,7.69260356167545e-05,0.000794902368039796,0,0,0,0,0,0,0,0.000903880918496865
"6","35ppt0C_3",0,0,0.00303632794882708,0,0.000279494622904584,0,0,0,3.81129031233524e-05,0,0.000184212365096203,0,6.98736557261461e-05,0,0.000165155913534527,0,0,0.00612347310181862,0.000635215052055874,0,0,0,0,0,0,3.17607526027937e-05,0,0,0.000209620967178438
"7","50ppt-3C_1",0,0,0.0101596425217594,0,0.000447478051516698,0,7.56300932140899e-05,0.000831931025354989,0.000737393408837376,3.15125388392041e-05,0.000573528206873515,3.78150466070449e-05,0.000831931025354989,0,0.000428570528213176,0,0,0.00797897483408648,0.0010336112739259,0,0.00197898743910202,0.000138655170892498,0,0,0,0,0,0,0.00376259713740097
"8","50ppt-3C_2",0,0,0.00412176110355493,0,0.000945864775857665,0,0,0,0.000103561836772737,0,0.00021402779599699,0,0,0,0.000144986571481832,0,0,0.00303781387866695,0.000317589632769727,0,0,0,0,0,0,4.83288571606106e-05,0,0,0.00021402779599699
"9","50ppt-3C_3",0,0,0.00874972983901891,0,0.000376482399447826,0,0,0.000599583080602093,0,0,0.000808739969184218,0,0.000439229466022463,0,0.000376482399447826,0,0,0.0102626313330963,0.00131768839806739,0,0.00172903027894557,0,0,0,0,6.27470665746376e-05,0,0,0.00271903955156763
"10","Ev32Core_A",0,0,0,0,0.000369628831048822,0,0.00197135376559372,0.000539042045279532,0.00623748652394887,0,0.0332973971969814,0,0.000277221623286616,0,0,0,0.0017095333436008,0.141706453103342,0.000662251655629139,6.16048051748036e-05,0.00181734175265671,0,0,0,0,0,0.000308024025874018,0.000184814415524411,0.000939473278915755
"11","Ev32Core_B",0,0,0,0,0.000742433726871734,0.000109181430422314,0.00124466830681438,0.00187064184123564,0.00786834175243475,0.000480398293858181,0.00222002241858705,0,0.00114276563842022,0,0.00302796500371217,0,0.00063325229644942,0.0586158706127262,0.00476758912844103,0.000116460192450468,0.00460017760179349,0.000414889435604792,0,0,0,0.000625973534421266,0,0,0.00644170439491651
"12","Ev32Core_C",0,4.601781546856e-05,0,0,0.000328698681918286,0,0.000874338493902639,0.0013608125431417,0.00445715412681195,0,0.00259671958715446,0.00103211386122342,0.00184728659238076,0,0.000709989152943497,0,0.00164349340959143,0.112704204056142,0.0132005390658383,0.000354994576471748,0.00189987838148769,0.000223515103704434,0,0.000992670019393222,0,0.000466752128323965,0,9.20356309371199e-05,0.00259014561351609
