"","SampleID","Akashiwo","Amylax","Azadinium","Bispinodinium","Blastodinium","Gloeodinium","Gymnodinium","Gyrodiniellum","Gyrodinium","Herdmania","Heterocapsa","Islandinium","Madanidinium","Nusuttodinium","Parvodinium","Paulsenella","Pelagodinium","Pentapharsodinium","Polarella","Polykrikos","Prorocentrum","Proterythropsis","Protoperidinium","Sabulodinium","Sinophysis","Stoeckeria","Thecadinium","Tintinnophagus","Unclassified Eukaryota"
"1","20ppt3C_1",0,0,0.266666666666667,0,0.0227272727272727,0,0,0,0.00681818181818182,0,0.0166666666666667,0.00378787878787879,0,0,0.0166666666666667,0,0,0.583333333333333,0.0553030303030303,0,0,0,0,0,0,0,0,0,0.028030303030303
"2","20ppt3C_2",0,0,0.302587176602925,0,0.0708661417322835,0,0,0,0.0078740157480315,0,0.0112485939257593,0,0.00562429696287964,0,0,0,0,0.481439820022497,0.0821147356580427,0,0,0,0,0,0,0.00674915635545557,0,0,0.031496062992126
"3","20ppt3C_3",0,0,0.403112263801408,0,0.00333456835865135,0,0,0.0148203038162282,0.00370507595405706,0,0.0211189329381252,0.00333456835865135,0.00815116709892553,0,0.0196369025565024,0,0,0.460540941089292,0.0177843645794739,0,0.0363097443497592,0,0,0,0,0,0,0,0.00815116709892553
"4","35ppt0C_1",0,0,0.370600414078675,0,0.0062111801242236,0,0.0025879917184265,0.0150103519668737,0,0,0.0455486542443064,0.0036231884057971,0.0093167701863354,0,0.0144927536231884,0,0,0.453933747412008,0.0144927536231884,0.0036231884057971,0.0398550724637681,0,0,0,0,0,0,0,0.020703933747412
"5","35ppt0C_2",0,0,0.368229854689564,0,0.00792602377807133,0,0,0.0217965653896962,0.00198150594451783,0,0.0439233817701453,0.00495376486129458,0.00627476882430647,0,0.0194848084544254,0,0,0.413474240422721,0.0204755614266843,0.00396301188903567,0.0409511228533686,0,0,0,0,0,0,0,0.0465653896961691
"6","35ppt0C_3",0,0,0.281839622641509,0,0.0259433962264151,0,0,0,0.0035377358490566,0,0.0170990566037736,0,0.00648584905660377,0,0.0153301886792453,0,0,0.568396226415094,0.0589622641509434,0,0,0,0,0,0,0.00294811320754717,0,0,0.0194575471698113
"7","50ppt-3C_1",0,0,0.349750488175309,0,0.0154046430896073,0,0.00260360164894771,0.0286396181384248,0.0253851160772402,0.00108483402039488,0.0197439791711868,0.00130180082447386,0.0286396181384248,0,0.0147537426773704,0,0,0.274679973963984,0.035582555868952,0,0.0681275764807984,0.00477326968973747,0,0,0,0,0,0,0.129529182035149
"8","50ppt-3C_2",0,0,0.450566037735849,0,0.103396226415094,0,0,0,0.0113207547169811,0,0.0233962264150943,0,0,0,0.0158490566037736,0,0,0.332075471698113,0.0347169811320755,0,0,0,0,0,0,0.00528301886792453,0,0,0.0233962264150943
"9","50ppt-3C_3",0,0,0.31885162601626,0,0.013719512195122,0,0,0.021849593495935,0,0,0.0294715447154472,0,0.0160060975609756,0,0.013719512195122,0,0,0.373983739837398,0.0480182926829268,0,0.0630081300813008,0,0,0,0,0.00228658536585366,0,0,0.0990853658536585
"10","Ev32Core_A",0,0,0,0,0.00194457948468644,0,0.0103710905849943,0.00283584508183439,0.0328147788040836,0,0.17517420191217,0,0.00145843461351483,0,0,0,0.00899368011667477,0.745503159941663,0.00348403824339653,0.000324096580781073,0.00956084913304165,0,0,0,0,0,0.00162048290390536,0.000972289742343218,0.00494247285691136
