,SampleID,Alveolata,Amoebozoa,Apusozoa,Archaeplastida,Excavata,Hacrobia,Rhizaria,Stramenopiles,Unclassified Eukaryota,SAR
1,20ppt3C_1,0.015578882,0,0,0.016570477,0,0.070612387,0.013270326,0.829461208,0.05450672,0.858310416
2,20ppt3C_2,0.012572712,0,0,0.01636295,0,0.061187784,0.015748791,0.839283364,0.054844398,0.867604868
3,20ppt3C_3,0.035450268,0,0,0.007206984,1.12E-05,0.077134971,0.009298247,0.841665589,0.029232698,0.886414104
4,35ppt0C_1,0.035477965,9.88E-05,0,0.007802113,9.88E-05,0.076942362,0.006054805,0.849085702,0.024439532,0.890618471
5,35ppt0C_2,0.037680936,5.13E-05,0,0.008468274,0,0.109658064,0.007929792,0.812550483,0.023661166,0.858161211
6,35ppt0C_3,0.01636314,0,0,0.016223392,0.000101634,0.071772949,0.013657124,0.827748734,0.054133027,0.857768998
7,50ppt-3C_1,0.060850712,0,1.89E-05,0.01038023,0.000428571,0.095754001,0.009913845,0.802580247,0.020073487,0.873344804
8,50ppt-3C_2,0.013904903,0,0,0.020829737,0,0.101849614,0.009154866,0.800602039,0.05365884,0.823661808
9,50ppt-3C_3,0.04367893,0,0,0.011419966,0.000167326,0.069237902,0.011071371,0.84150091,0.022923595,0.896251211
10,Ev32Core_A,0.228954258,0,0.000292623,0.008871092,0.002833821,0.040135531,0.051008779,0.635099338,0.032804559,0.915062375
11,Ev32Core_B,0.183082701,0,9.46E-05,0.017942148,0.001302898,0.080663241,0.062597353,0.619713799,0.034603235,0.865393854
12,Ev32Core_C,0.198067252,4.60E-05,0.000677119,0.008237189,0.008408112,0.066022417,0.148755875,0.544121224,0.025664793,0.890944351
13,Ev37Core_A,0.414275797,6.18E-05,0.000313816,0.001920937,0.0027768,0.02472018,0.055431403,0.492373308,0.008125945,0.962080508
14,EvXCore_A,0.268208092,0.001296199,0.001401296,0.003047819,0.017165878,0.010965143,0.084007707,0.597687861,0.016220004,0.949903661
15,Hero_1,0.15401171,3.06E-05,0,0.012469655,0.000443706,0.087379384,0.009914523,0.710806014,0.024944409,0.874732247
16,Hero_2,0.124253849,0.006440465,0,0.029924599,0.036453424,0.068027411,0.142073123,0.576775055,0.016052074,0.843102026
17,Hero_3,0.163829518,0.022511698,0,0.024762868,0.018009359,0.048893386,0.173871253,0.510686733,0.037435184,0.848387505
18,Station_B1_2,0.181020836,0,1.33E-05,0.016654768,0.00054097,0.144904466,0.01187916,0.594804918,0.05018158,0.787704914
19,Station_B1_3,0.183507513,4.04E-05,8.97E-06,0.015285939,0.000659341,0.11385961,0.015294909,0.617743889,0.053599462,0.816546311
20,Station_B1_4,0.036459227,0,0,0.002951841,0.027643593,0.034213434,0.014571724,0.858323594,0.025836588,0.909354544
21,Station_B2_1,0.127202041,0.001290852,0,0.011496173,0.001298445,0.133922063,0.011799903,0.689664075,0.023326449,0.828666019
22,Station_B2_2,0.184975923,0.000166934,0,0.013329053,0.000667737,0.101611557,0.027043339,0.648295345,0.023910112,0.860314607
23,Station_B2_3,0.158649115,0.000233852,0,0.01107874,0.000341034,0.073176198,0.010796169,0.721638133,0.024086759,0.891083417
24,Station_B3_1,0.173480341,0,0,0.014274239,0.000355434,0.097189937,0.008871638,0.677798867,0.028029544,0.860150846
25,Station_B3_2,0.11748739,0,0,0.013138104,0.000643613,0.120789406,0.007898253,0.718755028,0.021288206,0.844140671
26,Station_B3_3,0.167351427,0,0,0.016884091,0.000349878,0.112760534,0.009106813,0.664437447,0.029109812,0.840895687
27,Station_B4_1,0.045924082,0,0,0.004339349,0.000290396,0.072225679,0.009475213,0.851507986,0.016237295,0.906907281
28,Station_B4_2,0.068916887,0,0,0.005447777,0.000372253,0.059639201,0.011160427,0.834068294,0.020395161,0.914145608
29,Station_B4_3,0.043839064,1.22E-05,0,0.004231312,0.000194543,0.060794708,0.009818345,0.864677059,0.01643281,0.918334468
30,Station_B5_1,0.033086299,0,0,0.002625533,0.030331016,0.040711031,0.01010525,0.860075866,0.023065005,0.903267415
31,Station_B5_2,0.035327344,0,0,0.002404899,0.027791995,0.03590082,0.009779921,0.866195142,0.02259988,0.911302407
32,Station_B5_3,0.033524917,0,0,0.002410464,0.031456887,0.039447003,0.009675427,0.858272792,0.02521251,0.901473136
