"","Chaetoceros_neogracilis","Corethron_inerme","Cryptophyceae","Dinoflagellata","Fragilariopsis_sublineata","Pentapharsodinium_dalei","Phaeocystis_antarctica","Polar-centric-Mediophyceae","Porosira_pseudodelicatula","Pseudopedinella_elastica","Raphid-pennate_X_sp.","Rhizosolenia_pungens","Stellarima_microtrias","Strombidiidae_M_X_sp.","Thalassiosira_tumida","Unclassified Eukaryota"
"20ppt3C_1",0.096579773017779,0.00510516326451563,0.0504628733005384,0.0038424294069799,0.229275283727776,0.00596506178099702,0.0159197428051284,0.00185149320215362,0.000596506178099702,0.0322733082852384,0.000325367006236201,0.405639694774761,0.010094124026804,0.000472556842390673,0.0151605531239106,0.0545067203780455
"20ppt3C_2",0.0908692104547409,0.00337787448344841,0.0509050071505655,0.00268475218684471,0.262456460513963,0.0037551435815998,0.00747519236337156,0.00172841889153075,0.000517648297463523,0.0336910078349141,0.000175473999140177,0.394132149468752,0.00684348596646692,0.00110548619458312,0.015818981022487,0.0548443984312625
"20ppt3C_3",0.0256123406958506,0.193846517092696,0.0240663807109167,0.00602643310490603,0.135055064283827,0.00698773913190131,0.0460302558423233,0.0204122934738002,0.0196758543537044,0.016415284203662,0.000230488579571966,0.31942344125071,0.0156394933748588,0.0126656285311131,0.0177419989543689,0.0292326978969322
"35ppt0C_1",0.0236114593066983,0.149106213581907,0.0258677667114889,0.00647263942384393,0.093443033935775,0.00666256428956705,0.0449362232300902,0.0198813349438962,0.0219629114722216,0.0121627884009086,0.000159536887207421,0.406705107459489,0.0224111341553282,0.0126489960571598,0.0247965904688105,0.0244395317212511
"35ppt0C_2",0.0230201161583138,0.173032296113953,0.0292383040373348,0.00746182545482519,0.112927420285396,0.00802594971601472,0.0708360577970948,0.017641704168109,0.0217572470736054,0.0131992256112415,0.000128210059361257,0.334429529340872,0.0171993794633127,0.00915419823839378,0.0178660717719912,0.0236611664551201
"35ppt0C_3",0.0978231180166045,0.00590749998411962,0.0498707337369066,0.00388751611858195,0.226422405305316,0.00612347310181862,0.0173540752221665,0.0021089139728255,0.00120690859890616,0.0334250160391801,0.000184212365096203,0.403075711282055,0.0102714273917435,0.000628862901535315,0.0145591289931206,0.0541330267362015
"50ppt-3C_1",0.0119432522200584,0.101835920512772,0.0232562536633326,0.00718485885533854,0.138560633275981,0.00797897483408648,0.0668002798313449,0.0124096377948786,0.0303402723943857,0.017974752153882,0.00115966142928271,0.392085310745145,0.0207667630950355,0.013462156592108,0.019953739592984,0.020073487240573
"50ppt-3C_2",0.0776506652121982,0.00814686449278864,0.0676604000248548,0.00337611587879123,0.223997348816979,0.00303781387866695,0.0275129279692905,0.00177435947003956,0.000793974081924317,0.0231840431921901,0.000269260775609116,0.406266181536996,0.0086508654317493,0.000766357592118254,0.00966577143212212,0.0536588396931808
"50ppt-3C_3",0.00903557758674782,0.0912063472143788,0.0262003862430542,0.00745295712980974,0.159126560833281,0.0102626313330963,0.0384500080176807,0.0151220430444877,0.040743761895798,0.022825988440596,0.0015059295977913,0.401553338492537,0.0304881024589878,0.00407158743106538,0.0199117357930183,0.0229235949886009
"Ev32Core_A",0.0295395040813183,0.00766979824426305,0.0292006776528569,0.0239026644078238,0.252364084398583,0.141706453103342,0.00637609733559218,0.00257200061604805,0.00380409671954412,0.0107192361004158,0.0803634683505313,0.142984752810719,0.00434313876482366,0.00220237178499923,0.00942553519174496,0.0328045587555829
