SampleID,Rhizosolenia_pungens,Corethron_inerme,Fragilariopsis_sublineata,Pentapharsodinium_dalei,Phaeocystis_antarctica,Raphid-pennate_X_sp.,Eukarya,Cryptophyceae,Thalassiosira_tumida,Porosira_pseudodelicatula,Stellarima_microtrias,Dinoflagellata,Chaetoceros_neogracilis,Polar-centric-Mediophyceae,Strombidiidae_M_X_sp.,Pseudopedinella_elastica,MAST-1A_XX_sp.,Aureococcus_anophagefferens,Placidiales_XX_sp.,Telonemia_XX
20ppt3C_1,0.405639695,0.005105163,0.229275284,0.005965062,0.015919743,0.000325367,0.05450672,0.050462873,0.015160553,0.000596506,0.010094124,0.003842429,0.096579773,0.001851493,0.000472557,0.032273308,0.00804896,0.000154937,0,0.00046481
20ppt3C_2,0.394132149,0.003377874,0.262456461,0.003755144,0.007475192,0.000175474,0.054844398,0.050905007,0.015818981,0.000517648,0.006843486,0.002684752,0.09086921,0.001728419,0.001105486,0.033691008,0.006396027,9.65E-05,0,0.00047378
20ppt3C_3,0.319423441,0.193846517,0.135055064,0.006987739,0.046030256,0.000230489,0.029232698,0.024066381,0.017741999,0.019675854,0.015639493,0.006026433,0.025612341,0.020412293,0.012665629,0.016415284,0.012862387,0.005374319,0.000247354,0.00497518
35ppt0C_1,0.406705107,0.149106214,0.093443034,0.006662564,0.044936223,0.000159537,0.024439532,0.025867767,0.02479659,0.021962911,0.022411134,0.006472639,0.023611459,0.019881335,0.012648996,0.012162788,0.00917717,0.005553403,0.000425432,0.004611376
35ppt0C_2,0.334429529,0.173032296,0.11292742,0.00802595,0.070836058,0.00012821,0.023661166,0.029238304,0.017866072,0.021757247,0.017199379,0.007461825,0.023020116,0.017641704,0.009154198,0.013199226,0.012378681,0.006006641,0.000871828,0.007372078
35ppt0C_3,0.403075711,0.0059075,0.226422405,0.006123473,0.017354075,0.000184212,0.054133027,0.049870734,0.014559129,0.001206909,0.010271427,0.003887516,0.097823118,0.002108914,0.000628863,0.033425016,0.007927484,0.000215973,4.45E-05,0.000438298
50ppt-3C_1,0.392085311,0.101835921,0.138560633,0.007978975,0.06680028,0.001159661,0.020073487,0.023256254,0.01995374,0.030340272,0.020766763,0.007184859,0.011943252,0.012409638,0.013462157,0.017974752,0.004430663,0.003441169,0.005514694,0.002792011
50ppt-3C_2,0.406266182,0.008146864,0.223997349,0.003037814,0.027512928,0.000269261,0.05365884,0.0676604,0.009665771,0.000793974,0.008650865,0.003376116,0.077650665,0.001774359,0.000766358,0.023184043,0.013545888,0.000220932,9.67E-05,0.000517809
50ppt-3C_3,0.401553338,0.091206347,0.159126561,0.010262631,0.038450008,0.00150593,0.022923595,0.026200386,0.019911736,0.040743762,0.030488102,0.007452957,0.009035578,0.015122043,0.004071587,0.022825988,0.00132466,0.003667217,0.001889384,0.002049738
Ev32Core_A,0.142984753,0.007669798,0.252364084,0.141706453,0.006376097,0.080363468,0.032804559,0.029200678,0.009425535,0.003804097,0.004343139,0.023902664,0.029539504,0.002572001,0.002202372,0.010719236,0.00231018,0.000492838,0.000939473,0.000431234
Ev32Core_B,0.227534101,0.087476162,0.047988878,0.058615871,0.02598518,0.029879318,0.034603235,0.040826576,0.028656486,0.034348478,0.022717016,0.031939208,0.003450133,0.013116329,0.021122967,0.007788275,0.004083385,0.006143275,0.015525599,0.005873961
Ev32Core_C,0.105374223,0.077671499,0.174512704,0.112704204,0.048621109,0.051441344,0.025664793,0.010518358,0.011964632,0.012023798,0.011589916,0.024205371,0.007895342,0.008164875,0.004792427,0.004706965,0.002524406,0.002143115,0.004733261,0.001281925
Ev37Core_A,0.008900977,0.000394648,0.296998773,0.271669979,0.001778293,0.112702911,0.008125945,0.017854256,0.002567589,0.000675181,0.000190192,0.037301368,0,0.001835351,0,8.56E-05,3.33E-05,0.000280533,4.28E-05,9.03E-05
EvXCore_A,0.059590121,0.002977754,0.128358732,0.194745139,0.008933263,0.181888247,0.016220004,0.000175162,0.008793134,0.032299877,0.028025924,0.044386057,0,0.003853565,0.000280259,0,0.00014013,0,0,0
Hero_1,0.282206899,0.149044248,0.037495665,0.047246986,0.028504253,0.001111814,0.024944409,0.045686367,0.034282625,0.037995471,0.032931108,0.026178625,0.002942736,0.021257064,0.028641955,0.010771334,0.007991799,0.008323303,0.017039311,0.006742284
Hero_2,0.051896795,0.033802623,0.020293355,0.010161404,0.015188109,0.320560399,0.016052074,0,0.059574301,0,0.005507776,0.01150644,0.003946748,0.002464263,0.016366243,0.001708294,0.007343701,0.012144596,0.010318489,0.029571159
Hero_3,0.014721133,0.050158088,0.043581637,0.016997597,0.023042873,0.302567345,0.037435184,0.005868218,0.005767042,0.004299987,0.011584672,0.021778171,0,0,0.017098773,0.001517643,0,0.028455799,0,0.017984065
Station_B1_1,0.094184933,0.093511825,0.080287973,0.07242808,0.063150897,0.000648023,0.056754282,0.01395131,0.026443524,0.032810873,0.013963853,0.029382622,0.000915594,0.008261249,0.007454356,0.006530401,0.064049768,0.055830327,0.013244756,0.051791679
Station_B1_2,0.089322059,0.102176737,0.081265159,0.079788578,0.065492792,0.000953348,0.05018158,0.013076388,0.026090697,0.032036928,0.015182622,0.029354251,0.001037597,0.008398331,0.00557376,0.006828632,0.062149423,0.055422777,0.012734956,0.053396358
Station_B1_3,0.100107647,0.092262839,0.108436869,0.099336174,0.041287284,0.000923974,0.053599462,0.013334828,0.029997757,0.032460193,0.01472976,0.029849742,0.000950886,0.009078269,0.006212155,0.007831352,0.053828213,0.046687598,0.015712043,0.047189953
Station_B1_4,0.225955459,0.425408172,0.0181259,0.007926092,0.019498107,0.000542501,0.025836588,0.007965982,0.024715686,0.031652512,0.030403963,0.009673263,0.006023351,0.024081439,0.001021177,0.008496516,0.002361473,0.004152522,0.01408108,0.002090223
Station_B2_1,0.197720508,0.143421212,0.071558741,0.019036265,0.07199915,0.001374377,0.023326449,0.039424128,0.032658547,0.027449581,0.024450249,0.014214555,0.002953772,0.024002248,0.039408942,0.012232718,0.019431114,0.02178502,0.022415259,0.014427166
Station_B2_2,0.210105939,0.090606742,0.084751204,0.057720706,0.052532905,0.00859069,0.023910112,0.033091493,0.033579454,0.029046549,0.025386838,0.026182986,0.002016051,0.02459069,0.048886035,0.010195827,0.015653291,0.018953451,0.020738363,0.009232745
Station_B2_3,0.252189927,0.141870232,0.066443208,0.042941079,0.023804188,0.001403112,0.024086759,0.033265451,0.035652691,0.033431096,0.028344815,0.023891882,0.002572372,0.025148837,0.037143497,0.009792554,0.015531672,0.016905553,0.019117403,0.009285874
Station_B3_1,0.289408771,0.11916999,0.034143013,0.056642,0.029529476,0.00059713,0.028029544,0.055035437,0.034725925,0.037100225,0.031207126,0.028989216,0.002615996,0.019541774,0.031064952,0.010449766,0.006468903,0.008246074,0.016570344,0.006490229
Station_B3_2,0.280251569,0.194196288,0.031753916,0.035027948,0.0470887,0.000370777,0.021288206,0.059730102,0.032530449,0.028787699,0.026681964,0.01539075,0.003001196,0.020126904,0.030410723,0.009038568,0.007394556,0.008380963,0.016342178,0.007401552
Station_B3_3,0.254710851,0.130824212,0.0328585,0.050552307,0.030719248,0.000589794,0.029109812,0.067796271,0.033238367,0.033468286,0.033748188,0.028500025,0.003238866,0.017693807,0.03362823,0.013645224,0.008567002,0.009866547,0.022022292,0.007087519
Station_B4_1,0.30492429,0.288977391,0.024053101,0.012354283,0.041534951,0.000439743,0.016237295,0.020087119,0.034947106,0.04707737,0.038174653,0.01460278,0.004297864,0.024841319,0.001684298,0.0078324,0.004339349,0.006645924,0.017456959,0.003559428
Station_B4_2,0.327518076,0.208547498,0.041355859,0.025685446,0.027317632,0.004703272,0.020395161,0.02189849,0.03935858,0.043131219,0.040697258,0.016014031,0.004123416,0.026701983,0.003550719,0.011711647,0.004345336,0.006106378,0.018741499,0.003557878
Station_B4_3,0.317591557,0.286640971,0.024390837,0.011550995,0.033941686,0.000370848,0.01643281,0.01792836,0.035011673,0.046501872,0.044550362,0.013563299,0.003811828,0.024621857,0.001507709,0.008304557,0.003738875,0.005045961,0.016882691,0.003009338
Station_B5_1,0.209485502,0.454118042,0.016974378,0.006754642,0.026392716,0.000465574,0.023065005,0.007739217,0.026980408,0.029422764,0.031246899,0.009761794,0.004762595,0.025217332,0.000786134,0.008265851,0.001732547,0.004106212,0.014188565,0.00167912
Station_B5_2,0.225012179,0.446669832,0.016957618,0.007486018,0.023709834,0.000665972,0.02259988,0.006548724,0.026028402,0.029981069,0.02996257,0.009533265,0.006067744,0.024246311,0.00118395,0.007405854,0.001597099,0.00331136,0.013189944,0.001436773
Station_B5_3,0.238219614,0.4176548,0.018189265,0.006277949,0.024433642,0.00049015,0.02521251,0.008735413,0.025360227,0.033075053,0.031483744,0.008956988,0.005680368,0.023876348,0.000960157,0.00963514,0.001812884,0.004042059,0.015396081,0.001436878
