,kingdom,supergroup,division,class,order,family,genus,species,taxon
Apicomplexa_104,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines_X,Selenidium2,Selenidium2_orientale,Selenidium2_orientale
Apicomplexa_11,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Sarcocystidae,Sarcocystis10,Sarcocystis10_neurona,Sarcocystis10_neurona
Apicomplexa_201,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Gregarinidae,Leidyana1,Gregarina_blattarum,Gregarina_blattarum
Apicomplexa_221,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Colpodellaceae,Voromonas,Voromonas_pontica,Voromonas_pontica
Apicomplexa_63,Eukaryota,Alveolata,Apicomplexa,,,,,,Apicomplexa
Apusomonadidae_12,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Amastigomonas,Amastigomonas_sp.,Amastigomonas_sp.
Apusomonadidae_3,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Apusomonas,Apusomonas_proboscidea,Apusomonas_proboscidea
Bacillariophyta_104,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Melosira,Melosira_varians,Melosira_varians
Bacillariophyta_108,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Coscinodiscus,Coscinodiscus_wailesii,Coscinodiscus_wailesii
Bacillariophyta_109,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Stellarima,Stellarima_microtrias,Stellarima_microtrias
Bacillariophyta_11,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Attheya,Attheya_longicornis,Attheya_longicornis
Bacillariophyta_113,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Corethron,Corethron_inerme,Corethron_inerme
Bacillariophyta_115,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Corethron,,Corethron
Bacillariophyta_116,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia_shrubsolei,Rhizosolenia_shrubsolei
Bacillariophyta_117,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia_fallax,Rhizosolenia_fallax
Bacillariophyta_121,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia_pungens,Rhizosolenia_pungens
