"","SampleID","variable","value","kingdom","supergroup","division","class","order","family","genus","species","taxon"
"1","core_1","Bacillariophyta_119",391,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"2","B51","Bacillariophyta_119",22,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"3","B12","Bacillariophyta_119",225,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"4","B11","Bacillariophyta_119",211,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"5","core_2","Bacillariophyta_119",150,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"6","B52","Bacillariophyta_119",40,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"7","dockslush_3","Bacillariophyta_119",53,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"8","B14","Bacillariophyta_119",81,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"9","blank771","Bacillariophyta_119",397,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"10","core_4","Bacillariophyta_119",1794,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"11","mock_3","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"12","hero_13","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"13","Carboy4","Bacillariophyta_119",39,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"14","Carboy7","Bacillariophyta_119",114,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"15","Barrow_S2C3","Bacillariophyta_119",416,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"16","Carboy2","Bacillariophyta_119",89,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"17","Barrow_S1IC6","Bacillariophyta_119",210,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"18","B22","Bacillariophyta_119",53,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"19","Barrow_S2C1D","Bacillariophyta_119",318,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"20","Barrow_S1IC5","Bacillariophyta_119",791,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"21","Carboy1","Bacillariophyta_119",65,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"22","B21","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"23","B32","Bacillariophyta_119",60,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"24","Carboy8","Bacillariophyta_119",68,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"25","B31","Bacillariophyta_119",62,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"26","B42","Bacillariophyta_119",93,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"27","blankMQ121118","Bacillariophyta_119",460,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"28","Barrow_blank1","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"29","B41","Bacillariophyta_119",27,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"30","Barrow_blank2","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"31","blankdry2","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"32","blankFiltSW1","Bacillariophyta_119",108,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"33","core_3","Bacillariophyta_119",100,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"34","B53","Bacillariophyta_119",23,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"35","dockslush_2","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"36","B13","Bacillariophyta_119",290,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"37","dockslush_1","Bacillariophyta_119",68,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"38","mock_1","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"39","core_6","Bacillariophyta_119",24,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
