"","SampleID","variable","value"
"1","core_1","Colpodellidea",391
"2","B51","Colpodellidea",22
"3","B12","Colpodellidea",225
"4","B11","Colpodellidea",211
"5","core_2","Colpodellidea",150
"6","B52","Colpodellidea",40
"7","dockslush_3","Colpodellidea",53
"8","B14","Colpodellidea",81
"9","blank771","Colpodellidea",397
"10","core_4","Colpodellidea",1794
"11","mock_3","Colpodellidea",0
"12","hero_13","Colpodellidea",0
"13","Carboy4","Colpodellidea",39
"14","Carboy7","Colpodellidea",114
"15","Barrow_S2C3","Colpodellidea",416
"16","Carboy2","Colpodellidea",89
"17","Barrow_S1IC6","Colpodellidea",210
"18","B22","Colpodellidea",53
"19","Barrow_S2C1D","Colpodellidea",318
"20","Barrow_S1IC5","Colpodellidea",791
"21","Carboy1","Colpodellidea",65
"22","B21","Colpodellidea",0
"23","B32","Colpodellidea",60
"24","Carboy8","Colpodellidea",68
"25","B31","Colpodellidea",62
"26","B42","Colpodellidea",93
"27","blankMQ121118","Colpodellidea",460
"28","Barrow_blank1","Colpodellidea",0
"29","B41","Colpodellidea",27
"30","Barrow_blank2","Colpodellidea",0
"31","blankdry2","Colpodellidea",0
"32","blankFiltSW1","Colpodellidea",108
"33","core_3","Colpodellidea",100
"34","B53","Colpodellidea",23
"35","dockslush_2","Colpodellidea",0
"36","B13","Colpodellidea",290
"37","dockslush_1","Colpodellidea",68
"38","mock_1","Colpodellidea",0
"39","core_6","Colpodellidea",24
"40","mock_2","Colpodellidea",0
"41","hero_11","Colpodellidea",99
"42","hero_12","Colpodellidea",0
"43","Carboy6","Colpodellidea",93
"44","Carboy5","Colpodellidea",72
"45","blankMQ191118","Colpodellidea",408
"46","Barrow_S1IC4","Colpodellidea",319
"47","iceslush","Colpodellidea",0
"48","Barrow_S2C2","Colpodellidea",736
"49","Carboy3","Colpodellidea",97
"50","B23","Colpodellidea",96
"51","B33","Colpodellidea",40
"52","CTDSW","Colpodellidea",192
"53","Carboy9","Colpodellidea",135
"54","B43","Colpodellidea",42
"55","core_1","",169
"56","B51","",0
"57","B12","",0
"58","B11","",61
"59","core_2","",439
"60","B52","",44
"61","dockslush_3","",0
"62","B14","",305
"63","blank771","",139
"64","core_4","",23
"65","mock_3","",0
"66","hero_13","",0
"67","Carboy4","",0
"68","Carboy7","",0
"69","Barrow_S2C3","",5567
"70","Carboy2","",0
"71","Barrow_S1IC6","",2162
"72","B22","",0
"73","Barrow_S2C1D","",3716
"74","Barrow_S1IC5","",1877
"75","Carboy1","",0
"76","B21","",0
"77","B32","",0
"78","Carboy8","",0
"79","B31","",0
"80","B42","",0
"81","blankMQ121118","",79
"82","Barrow_blank1","",0
"83","B41","",0
"84","Barrow_blank2","",926
"85","blankdry2","",0
"86","blankFiltSW1","",0
"87","core_3","",612
"88","B53","",0
"89","dockslush_2","",137
"90","B13","",42
"91","dockslush_1","",0
"92","mock_1","",0
"93","core_6","",41
"94","mock_2","",0
"95","hero_11","",0
"96","hero_12","",0
"97","Carboy6","",0
"98","Carboy5","",0
"99","blankMQ191118","",0
"100","Barrow_S1IC4","",483
"101","iceslush","",71
"102","Barrow_S2C2","",11361
"103","Carboy3","",0
"104","B23","",0
"105","B33","",0
"106","CTDSW","",0
"107","Carboy9","",0
"108","B43","",0
"109","core_1","Apusomonadidae_Group-1",16386
"110","B51","Apusomonadidae_Group-1",2224
"111","B12","Apusomonadidae_Group-1",18327
"112","B11","Apusomonadidae_Group-1",19204
"113","core_2","Apusomonadidae_Group-1",6593
"114","B52","Apusomonadidae_Group-1",2750
"115","dockslush_3","Apusomonadidae_Group-1",6036
"116","B14","Apusomonadidae_Group-1",4544
"117","blank771","Apusomonadidae_Group-1",14388
"118","core_4","Apusomonadidae_Group-1",62463
"119","mock_3","Apusomonadidae_Group-1",0
"120","hero_13","Apusomonadidae_Group-1",1723
"121","Carboy4","Apusomonadidae_Group-1",12300
"122","Carboy7","Apusomonadidae_Group-1",21985
"123","Barrow_S2C3","Apusomonadidae_Group-1",4933
"124","Carboy2","Apusomonadidae_Group-1",29914
"125","Barrow_S1IC6","Apusomonadidae_Group-1",10116
"126","B22","Apusomonadidae_Group-1",6600
"127","Barrow_S2C1D","Apusomonadidae_Group-1",12229
"128","Barrow_S1IC5","Apusomonadidae_Group-1",15527
"129","Carboy1","Apusomonadidae_Group-1",29596
"130","B21","Apusomonadidae_Group-1",9424
"131","B32","Apusomonadidae_Group-1",4539
"132","Carboy8","Apusomonadidae_Group-1",32444
"133","B31","Apusomonadidae_Group-1",4803
"134","B42","Apusomonadidae_Group-1",5777
"135","blankMQ121118","Apusomonadidae_Group-1",15544
"136","Barrow_blank1","Apusomonadidae_Group-1",12150
"137","B41","Apusomonadidae_Group-1",2899
"138","Barrow_blank2","Apusomonadidae_Group-1",1337
"139","blankdry2","Apusomonadidae_Group-1",0
"140","blankFiltSW1","Apusomonadidae_Group-1",37519
"141","core_3","Apusomonadidae_Group-1",26546
"142","B53","Apusomonadidae_Group-1",2709
"143","dockslush_2","Apusomonadidae_Group-1",8407
"144","B13","Apusomonadidae_Group-1",24176
"145","dockslush_1","Apusomonadidae_Group-1",5733
"146","mock_1","Apusomonadidae_Group-1",0
"147","core_6","Apusomonadidae_Group-1",3664
"148","mock_2","Apusomonadidae_Group-1",0
"149","hero_11","Apusomonadidae_Group-1",7352
"150","hero_12","Apusomonadidae_Group-1",2067
"151","Carboy6","Apusomonadidae_Group-1",35645
"152","Carboy5","Apusomonadidae_Group-1",17616
"153","blankMQ191118","Apusomonadidae_Group-1",14994
"154","Barrow_S1IC4","Apusomonadidae_Group-1",9001
"155","iceslush","Apusomonadidae_Group-1",78
"156","Barrow_S2C2","Apusomonadidae_Group-1",2567
"157","Carboy3","Apusomonadidae_Group-1",24024
"158","B23","Apusomonadidae_Group-1",6819
"159","B33","Apusomonadidae_Group-1",3287
"160","CTDSW","Apusomonadidae_Group-1",17362
"161","Carboy9","Apusomonadidae_Group-1",22824
"162","B43","Apusomonadidae_Group-1",4012
"163","core_1","Apusomonadidae_Group-1",73
"164","B51","Apusomonadidae_Group-1",291
"165","B12","Apusomonadidae_Group-1",506
"166","B11","Apusomonadidae_Group-1",514
"167","core_2","Apusomonadidae_Group-1",491
"168","B52","Apusomonadidae_Group-1",342
"169","dockslush_3","Apusomonadidae_Group-1",522
"170","B14","Apusomonadidae_Group-1",562
"171","blank771","Apusomonadidae_Group-1",81
"172","core_4","Apusomonadidae_Group-1",351
"173","mock_3","Apusomonadidae_Group-1",0
