"","SampleID","variable","value"
"1","core_1","Apicomplexa",391
"2","B51","Apicomplexa",22
"3","B12","Apicomplexa",225
"4","B11","Apicomplexa",211
"5","core_2","Apicomplexa",150
"6","B52","Apicomplexa",40
"7","dockslush_3","Apicomplexa",53
"8","B14","Apicomplexa",81
"9","blank771","Apicomplexa",397
"10","core_4","Apicomplexa",1794
"11","mock_3","Apicomplexa",0
"12","hero_13","Apicomplexa",0
"13","Carboy4","Apicomplexa",39
"14","Carboy7","Apicomplexa",114
"15","Barrow_S2C3","Apicomplexa",416
"16","Carboy2","Apicomplexa",89
"17","Barrow_S1IC6","Apicomplexa",210
"18","B22","Apicomplexa",53
"19","Barrow_S2C1D","Apicomplexa",318
"20","Barrow_S1IC5","Apicomplexa",791
"21","Carboy1","Apicomplexa",65
"22","B21","Apicomplexa",0
"23","B32","Apicomplexa",60
"24","Carboy8","Apicomplexa",68
"25","B31","Apicomplexa",62
"26","B42","Apicomplexa",93
"27","blankMQ121118","Apicomplexa",460
"28","Barrow_blank1","Apicomplexa",0
"29","B41","Apicomplexa",27
"30","Barrow_blank2","Apicomplexa",0
"31","blankdry2","Apicomplexa",0
"32","blankFiltSW1","Apicomplexa",108
"33","core_3","Apicomplexa",100
"34","B53","Apicomplexa",23
"35","dockslush_2","Apicomplexa",0
"36","B13","Apicomplexa",290
"37","dockslush_1","Apicomplexa",68
"38","mock_1","Apicomplexa",0
"39","core_6","Apicomplexa",24
"40","mock_2","Apicomplexa",0
"41","hero_11","Apicomplexa",99
"42","hero_12","Apicomplexa",0
"43","Carboy6","Apicomplexa",93
"44","Carboy5","Apicomplexa",72
"45","blankMQ191118","Apicomplexa",408
"46","Barrow_S1IC4","Apicomplexa",319
"47","iceslush","Apicomplexa",0
"48","Barrow_S2C2","Apicomplexa",736
"49","Carboy3","Apicomplexa",97
"50","B23","Apicomplexa",96
"51","B33","Apicomplexa",40
"52","CTDSW","Apicomplexa",192
"53","Carboy9","Apicomplexa",135
"54","B43","Apicomplexa",42
"55","core_1","Apicomplexa",169
"56","B51","Apicomplexa",0
"57","B12","Apicomplexa",0
"58","B11","Apicomplexa",61
"59","core_2","Apicomplexa",439
"60","B52","Apicomplexa",44
"61","dockslush_3","Apicomplexa",0
"62","B14","Apicomplexa",305
"63","blank771","Apicomplexa",139
"64","core_4","Apicomplexa",23
"65","mock_3","Apicomplexa",0
"66","hero_13","Apicomplexa",0
"67","Carboy4","Apicomplexa",0
"68","Carboy7","Apicomplexa",0
"69","Barrow_S2C3","Apicomplexa",5567
"70","Carboy2","Apicomplexa",0
"71","Barrow_S1IC6","Apicomplexa",2162
"72","B22","Apicomplexa",0
"73","Barrow_S2C1D","Apicomplexa",3716
"74","Barrow_S1IC5","Apicomplexa",1877
"75","Carboy1","Apicomplexa",0
"76","B21","Apicomplexa",0
"77","B32","Apicomplexa",0
"78","Carboy8","Apicomplexa",0
"79","B31","Apicomplexa",0
"80","B42","Apicomplexa",0
"81","blankMQ121118","Apicomplexa",79
"82","Barrow_blank1","Apicomplexa",0
"83","B41","Apicomplexa",0
"84","Barrow_blank2","Apicomplexa",926
"85","blankdry2","Apicomplexa",0
"86","blankFiltSW1","Apicomplexa",0
"87","core_3","Apicomplexa",612
"88","B53","Apicomplexa",0
"89","dockslush_2","Apicomplexa",137
"90","B13","Apicomplexa",42
"91","dockslush_1","Apicomplexa",0
"92","mock_1","Apicomplexa",0
"93","core_6","Apicomplexa",41
"94","mock_2","Apicomplexa",0
"95","hero_11","Apicomplexa",0
"96","hero_12","Apicomplexa",0
"97","Carboy6","Apicomplexa",0
"98","Carboy5","Apicomplexa",0
"99","blankMQ191118","Apicomplexa",0
"100","Barrow_S1IC4","Apicomplexa",483
"101","iceslush","Apicomplexa",71
"102","Barrow_S2C2","Apicomplexa",11361
"103","Carboy3","Apicomplexa",0
"104","B23","Apicomplexa",0
"105","B33","Apicomplexa",0
"106","CTDSW","Apicomplexa",0
"107","Carboy9","Apicomplexa",0
"108","B43","Apicomplexa",0
"109","core_1","Apusomonadidae",16386
"110","B51","Apusomonadidae",2224
"111","B12","Apusomonadidae",18327
"112","B11","Apusomonadidae",19204
"113","core_2","Apusomonadidae",6593
"114","B52","Apusomonadidae",2750
"115","dockslush_3","Apusomonadidae",6036
"116","B14","Apusomonadidae",4544
"117","blank771","Apusomonadidae",14388
"118","core_4","Apusomonadidae",62463
"119","mock_3","Apusomonadidae",0
"120","hero_13","Apusomonadidae",1723
"121","Carboy4","Apusomonadidae",12300
"122","Carboy7","Apusomonadidae",21985
"123","Barrow_S2C3","Apusomonadidae",4933
"124","Carboy2","Apusomonadidae",29914
"125","Barrow_S1IC6","Apusomonadidae",10116
"126","B22","Apusomonadidae",6600
"127","Barrow_S2C1D","Apusomonadidae",12229
"128","Barrow_S1IC5","Apusomonadidae",15527
"129","Carboy1","Apusomonadidae",29596
"130","B21","Apusomonadidae",9424
"131","B32","Apusomonadidae",4539
"132","Carboy8","Apusomonadidae",32444
"133","B31","Apusomonadidae",4803
"134","B42","Apusomonadidae",5777
"135","blankMQ121118","Apusomonadidae",15544
"136","Barrow_blank1","Apusomonadidae",12150
"137","B41","Apusomonadidae",2899
"138","Barrow_blank2","Apusomonadidae",1337
"139","blankdry2","Apusomonadidae",0
"140","blankFiltSW1","Apusomonadidae",37519
"141","core_3","Apusomonadidae",26546
"142","B53","Apusomonadidae",2709
"143","dockslush_2","Apusomonadidae",8407
"144","B13","Apusomonadidae",24176
"145","dockslush_1","Apusomonadidae",5733
"146","mock_1","Apusomonadidae",0
"147","core_6","Apusomonadidae",3664
"148","mock_2","Apusomonadidae",0
"149","hero_11","Apusomonadidae",7352
"150","hero_12","Apusomonadidae",2067
"151","Carboy6","Apusomonadidae",35645
"152","Carboy5","Apusomonadidae",17616
"153","blankMQ191118","Apusomonadidae",14994
"154","Barrow_S1IC4","Apusomonadidae",9001
"155","iceslush","Apusomonadidae",78
"156","Barrow_S2C2","Apusomonadidae",2567
"157","Carboy3","Apusomonadidae",24024
"158","B23","Apusomonadidae",6819
"159","B33","Apusomonadidae",3287
"160","CTDSW","Apusomonadidae",17362
"161","Carboy9","Apusomonadidae",22824
"162","B43","Apusomonadidae",4012
"163","core_1","Apusomonadidae",73
"164","B51","Apusomonadidae",291
"165","B12","Apusomonadidae",506
"166","B11","Apusomonadidae",514
"167","core_2","Apusomonadidae",491
"168","B52","Apusomonadidae",342
"169","dockslush_3","Apusomonadidae",522
"170","B14","Apusomonadidae",562
"171","blank771","Apusomonadidae",81
"172","core_4","Apusomonadidae",351
"173","mock_3","Apusomonadidae",0
"174","hero_13","Apusomonadidae",0
"175","Carboy4","Apusomonadidae",747
"176","Carboy7","Apusomonadidae",148
"177","Barrow_S2C3","Apusomonadidae",115
"178","Carboy2","Apusomonadidae",0
"179","Barrow_S1IC6","Apusomonadidae",284
"180","B22","Apusomonadidae",300
"181","Barrow_S2C1D","Apusomonadidae",341
"182","Barrow_S1IC5","Apusomonadidae",205
"183","Carboy1","Apusomonadidae",0
"184","B21","Apusomonadidae",596
"185","B32","Apusomonadidae",455
"186","Carboy8","Apusomonadidae",0
"187","B31","Apusomonadidae",463
"188","B42","Apusomonadidae",461
"189","blankMQ121118","Apusomonadidae",98
"190","Barrow_blank1","Apusomonadidae",0
"191","B41","Apusomonadidae",332
"192","Barrow_blank2","Apusomonadidae",0
"193","blankdry2","Apusomonadidae",0
"194","blankFiltSW1","Apusomonadidae",0
"195","core_3","Apusomonadidae",145
"196","B53","Apusomonadidae",320
"197","dockslush_2","Apusomonadidae",0
"198","B13","Apusomonadidae",526
"199","dockslush_1","Apusomonadidae",376
"200","mock_1","Apusomonadidae",0
"201","core_6","Apusomonadidae",0
"202","mock_2","Apusomonadidae",0
"203","hero_11","Apusomonadidae",622
"204","hero_12","Apusomonadidae",0
"205","Carboy6","Apusomonadidae",0
"206","Carboy5","Apusomonadidae",813
"207","blankMQ191118","Apusomonadidae",71
"208","Barrow_S1IC4","Apusomonadidae",70
"209","iceslush","Apusomonadidae",0
"210","Barrow_S2C2","Apusomonadidae",228
"211","Carboy3","Apusomonadidae",853
"212","B23","Apusomonadidae",366
"213","B33","Apusomonadidae",330
"214","CTDSW","Apusomonadidae",751
"215","Carboy9","Apusomonadidae",91
"216","B43","Apusomonadidae",416
"217","core_1","Apusomonadidae",82
"218","B51","Apusomonadidae",0
"219","B12","Apusomonadidae",0
"220","B11","Apusomonadidae",0
"221","core_2","Apusomonadidae",126
"222","B52","Apusomonadidae",16
"223","dockslush_3","Apusomonadidae",0
"224","B14","Apusomonadidae",98
"225","blank771","Apusomonadidae",147
"226","core_4","Apusomonadidae",134
"227","mock_3","Apusomonadidae",0
"228","hero_13","Apusomonadidae",0
"229","Carboy4","Apusomonadidae",0
"230","Carboy7","Apusomonadidae",0
"231","Barrow_S2C3","Apusomonadidae",1640
"232","Carboy2","Apusomonadidae",0
"233","Barrow_S1IC6","Apusomonadidae",730
"234","B22","Apusomonadidae",0
"235","Barrow_S2C1D","Apusomonadidae",1277
"236","Barrow_S1IC5","Apusomonadidae",649
"237","Carboy1","Apusomonadidae",0
"238","B21","Apusomonadidae",0
"239","B32","Apusomonadidae",0
"240","Carboy8","Apusomonadidae",0
"241","B31","Apusomonadidae",0
"242","B42","Apusomonadidae",0
"243","blankMQ121118","Apusomonadidae",63
"244","Barrow_blank1","Apusomonadidae",0
"245","B41","Apusomonadidae",0
"246","Barrow_blank2","Apusomonadidae",1057
"247","blankdry2","Apusomonadidae",0
"248","blankFiltSW1","Apusomonadidae",0
"249","core_3","Apusomonadidae",263
"250","B53","Apusomonadidae",0
"251","dockslush_2","Apusomonadidae",0
"252","B13","Apusomonadidae",0
"253","dockslush_1","Apusomonadidae",0
"254","mock_1","Apusomonadidae",0
"255","core_6","Apusomonadidae",11
"256","mock_2","Apusomonadidae",0
"257","hero_11","Apusomonadidae",0
"258","hero_12","Apusomonadidae",0
"259","Carboy6","Apusomonadidae",0
"260","Carboy5","Apusomonadidae",0
"261","blankMQ191118","Apusomonadidae",19
"262","Barrow_S1IC4","Apusomonadidae",212
"263","iceslush","Apusomonadidae",0
"264","Barrow_S2C2","Apusomonadidae",3036
"265","Carboy3","Apusomonadidae",0
"266","B23","Apusomonadidae",0
"267","B33","Apusomonadidae",0
"268","CTDSW","Apusomonadidae",0
"269","Carboy9","Apusomonadidae",0
"270","B43","Apusomonadidae",0
"271","core_1","Ochrophyta",476
"272","B51","Ochrophyta",33
"273","B12","Ochrophyta",116
"274","B11","Ochrophyta",61
"275","core_2","Ochrophyta",1223
"276","B52","Ochrophyta",136
"277","dockslush_3","Ochrophyta",74
"278","B14","Ochrophyta",468
"279","blank771","Ochrophyta",206
"280","core_4","Ochrophyta",15
"281","mock_3","Ochrophyta",0
"282","hero_13","Ochrophyta",1051
"283","Carboy4","Ochrophyta",44
"284","Carboy7","Ochrophyta",119
"285","Barrow_S2C3","Ochrophyta",9676
"286","Carboy2","Ochrophyta",0
"287","Barrow_S1IC6","Ochrophyta",3126
"288","B22","Ochrophyta",41
"289","Barrow_S2C1D","Ochrophyta",5506
"290","Barrow_S1IC5","Ochrophyta",6901
"291","Carboy1","Ochrophyta",10
"292","B21","Ochrophyta",89
"293","B32","Ochrophyta",30
"294","Carboy8","Ochrophyta",16
"295","B31","Ochrophyta",55
"296","B42","Ochrophyta",54
"297","blankMQ121118","Ochrophyta",226
"298","Barrow_blank1","Ochrophyta",3741
"299","B41","Ochrophyta",44
"300","Barrow_blank2","Ochrophyta",3526
"301","blankdry2","Ochrophyta",0
"302","blankFiltSW1","Ochrophyta",0
"303","core_3","Ochrophyta",993
"304","B53","Ochrophyta",53
"305","dockslush_2","Ochrophyta",0
"306","B13","Ochrophyta",105
"307","dockslush_1","Ochrophyta",33
"308","mock_1","Ochrophyta",0
"309","core_6","Ochrophyta",47
"310","mock_2","Ochrophyta",0
"311","hero_11","Ochrophyta",59
"312","hero_12","Ochrophyta",404
"313","Carboy6","Ochrophyta",15
"314","Carboy5","Ochrophyta",31
"315","blankMQ191118","Ochrophyta",153
"316","Barrow_S1IC4","Ochrophyta",1238
"317","iceslush","Ochrophyta",0
"318","Barrow_S2C2","Ochrophyta",13462
"319","Carboy3","Ochrophyta",95
"320","B23","Ochrophyta",40
"321","B33","Ochrophyta",24
"322","CTDSW","Ochrophyta",46
"323","Carboy9","Ochrophyta",116
"324","B43","Ochrophyta",54
"325","core_1","Ochrophyta",1880
"326","B51","Ochrophyta",0
"327","B12","Ochrophyta",0
"328","B11","Ochrophyta",0
"329","core_2","Ochrophyta",187
"330","B52","Ochrophyta",0
"331","dockslush_3","Ochrophyta",0
"332","B14","Ochrophyta",0
"333","blank771","Ochrophyta",44106
"334","core_4","Ochrophyta",5085
"335","mock_3","Ochrophyta",0
"336","hero_13","Ochrophyta",0
"337","Carboy4","Ochrophyta",0
"338","Carboy7","Ochrophyta",0
"339","Barrow_S2C3","Ochrophyta",0
"340","Carboy2","Ochrophyta",0
"341","Barrow_S1IC6","Ochrophyta",0
"342","B22","Ochrophyta",0
"343","Barrow_S2C1D","Ochrophyta",0
"344","Barrow_S1IC5","Ochrophyta",5896
"345","Carboy1","Ochrophyta",0
"346","B21","Ochrophyta",0
"347","B32","Ochrophyta",0
"348","Carboy8","Ochrophyta",0
"349","B31","Ochrophyta",0
"350","B42","Ochrophyta",150
"351","blankMQ121118","Ochrophyta",2296
"352","Barrow_blank1","Ochrophyta",0
"353","B41","Ochrophyta",0
"354","Barrow_blank2","Ochrophyta",0
"355","blankdry2","Ochrophyta",0
"356","blankFiltSW1","Ochrophyta",0
"357","core_3","Ochrophyta",0
"358","B53","Ochrophyta",0
"359","dockslush_2","Ochrophyta",0
"360","B13","Ochrophyta",0
"361","dockslush_1","Ochrophyta",0
"362","mock_1","Ochrophyta",0
"363","core_6","Ochrophyta",0
"364","mock_2","Ochrophyta",0
"365","hero_11","Ochrophyta",0
"366","hero_12","Ochrophyta",0
"367","Carboy6","Ochrophyta",0
"368","Carboy5","Ochrophyta",0
"369","blankMQ191118","Ochrophyta",1729
"370","Barrow_S1IC4","Ochrophyta",2849
"371","iceslush","Ochrophyta",21546
"372","Barrow_S2C2","Ochrophyta",0
"373","Carboy3","Ochrophyta",0
"374","B23","Ochrophyta",18
"375","B33","Ochrophyta",0
"376","CTDSW","Ochrophyta",50
"377","Carboy9","Ochrophyta",0
"378","B43","Ochrophyta",0
"379","core_1","Ochrophyta",46
"380","B51","Ochrophyta",0
"381","B12","Ochrophyta",0
"382","B11","Ochrophyta",0
"383","core_2","Ochrophyta",130
"384","B52","Ochrophyta",13
"385","dockslush_3","Ochrophyta",0
"386","B14","Ochrophyta",80
"387","blank771","Ochrophyta",17
"388","core_4","Ochrophyta",0
"389","mock_3","Ochrophyta",0
"390","hero_13","Ochrophyta",0
"391","Carboy4","Ochrophyta",0
"392","Carboy7","Ochrophyta",0
"393","Barrow_S2C3","Ochrophyta",1588
"394","Carboy2","Ochrophyta",0
"395","Barrow_S1IC6","Ochrophyta",660
"396","B22","Ochrophyta",0
"397","Barrow_S2C1D","Ochrophyta",1225
"398","Barrow_S1IC5","Ochrophyta",483
"399","Carboy1","Ochrophyta",0
"400","B21","Ochrophyta",0
"401","B32","Ochrophyta",0
"402","Carboy8","Ochrophyta",0
"403","B31","Ochrophyta",0
"404","B42","Ochrophyta",0
"405","blankMQ121118","Ochrophyta",10
"406","Barrow_blank1","Ochrophyta",0
"407","B41","Ochrophyta",0
"408","Barrow_blank2","Ochrophyta",0
"409","blankdry2","Ochrophyta",0
"410","blankFiltSW1","Ochrophyta",0
"411","core_3","Ochrophyta",214
"412","B53","Ochrophyta",0
"413","dockslush_2","Ochrophyta",0
"414","B13","Ochrophyta",0
"415","dockslush_1","Ochrophyta",0
"416","mock_1","Ochrophyta",0
"417","core_6","Ochrophyta",0
"418","mock_2","Ochrophyta",0
"419","hero_11","Ochrophyta",0
"420","hero_12","Ochrophyta",0
"421","Carboy6","Ochrophyta",0
"422","Carboy5","Ochrophyta",0
"423","blankMQ191118","Ochrophyta",6
"424","Barrow_S1IC4","Ochrophyta",89
"425","iceslush","Ochrophyta",0
"426","Barrow_S2C2","Ochrophyta",3083
"427","Carboy3","Ochrophyta",0
"428","B23","Ochrophyta",0
"429","B33","Ochrophyta",0
"430","CTDSW","Ochrophyta",0
"431","Carboy9","Ochrophyta",0
"432","B43","Ochrophyta",0
"433","core_1","Ochrophyta",367
"434","B51","Ochrophyta",233
"435","B12","Ochrophyta",686
"436","B11","Ochrophyta",537
"437","core_2","Ochrophyta",596
"438","B52","Ochrophyta",306
"439","dockslush_3","Ochrophyta",342
"440","B14","Ochrophyta",603
"441","blank771","Ochrophyta",420
"442","core_4","Ochrophyta",1081
"443","mock_3","Ochrophyta",0
"444","hero_13","Ochrophyta",0
"445","Carboy4","Ochrophyta",216
"446","Carboy7","Ochrophyta",342
"447","Barrow_S2C3","Ochrophyta",4493
"448","Carboy2","Ochrophyta",0
"449","Barrow_S1IC6","Ochrophyta",1732
"450","B22","Ochrophyta",190
"451","Barrow_S2C1D","Ochrophyta",3100
"452","Barrow_S1IC5","Ochrophyta",2090
"453","Carboy1","Ochrophyta",0
"454","B21","Ochrophyta",356
"455","B32","Ochrophyta",284
"456","Carboy8","Ochrophyta",0
"457","B31","Ochrophyta",290
"458","B42","Ochrophyta",266
"459","blankMQ121118","Ochrophyta",331
"460","Barrow_blank1","Ochrophyta",2164
"461","B41","Ochrophyta",201
"462","Barrow_blank2","Ochrophyta",7188
"463","blankdry2","Ochrophyta",0
"464","blankFiltSW1","Ochrophyta",0
"465","core_3","Ochrophyta",784
"466","B53","Ochrophyta",223
"467","dockslush_2","Ochrophyta",372
"468","B13","Ochrophyta",584
"469","dockslush_1","Ochrophyta",239
"470","mock_1","Ochrophyta",0
"471","core_6","Ochrophyta",91
"472","mock_2","Ochrophyta",0
"473","hero_11","Ochrophyta",444
"474","hero_12","Ochrophyta",53
"475","Carboy6","Ochrophyta",18
"476","Carboy5","Ochrophyta",187
"477","blankMQ191118","Ochrophyta",268
"478","Barrow_S1IC4","Ochrophyta",592
"479","iceslush","Ochrophyta",53
"480","Barrow_S2C2","Ochrophyta",5251
"481","Carboy3","Ochrophyta",351
"482","B23","Ochrophyta",220
"483","B33","Ochrophyta",151
"484","CTDSW","Ochrophyta",151
"485","Carboy9","Ochrophyta",274
"486","B43","Ochrophyta",233
"487","core_1","Ochrophyta",228
"488","B51","Ochrophyta",0
"489","B12","Ochrophyta",0
"490","B11","Ochrophyta",0
"491","core_2","Ochrophyta",638
"492","B52","Ochrophyta",0
"493","dockslush_3","Ochrophyta",0
"494","B14","Ochrophyta",0
"495","blank771","Ochrophyta",2535
"496","core_4","Ochrophyta",681
"497","mock_3","Ochrophyta",0
"498","hero_13","Ochrophyta",1412
"499","Carboy4","Ochrophyta",0
"500","Carboy7","Ochrophyta",0
"501","Barrow_S2C3","Ochrophyta",0
"502","Carboy2","Ochrophyta",0
"503","Barrow_S1IC6","Ochrophyta",0
"504","B22","Ochrophyta",0
"505","Barrow_S2C1D","Ochrophyta",0
"506","Barrow_S1IC5","Ochrophyta",486
"507","Carboy1","Ochrophyta",0
"508","B21","Ochrophyta",0
"509","B32","Ochrophyta",0
"510","Carboy8","Ochrophyta",0
"511","B31","Ochrophyta",0
"512","B42","Ochrophyta",0
"513","blankMQ121118","Ochrophyta",283
"514","Barrow_blank1","Ochrophyta",0
"515","B41","Ochrophyta",0
"516","Barrow_blank2","Ochrophyta",0
"517","blankdry2","Ochrophyta",0
"518","blankFiltSW1","Ochrophyta",0
"519","core_3","Ochrophyta",359
"520","B53","Ochrophyta",0
"521","dockslush_2","Ochrophyta",624
"522","B13","Ochrophyta",0
"523","dockslush_1","Ochrophyta",0
"524","mock_1","Ochrophyta",0
"525","core_6","Ochrophyta",218
"526","mock_2","Ochrophyta",0
"527","hero_11","Ochrophyta",0
"528","hero_12","Ochrophyta",6015
"529","Carboy6","Ochrophyta",0
"530","Carboy5","Ochrophyta",0
"531","blankMQ191118","Ochrophyta",269
"532","Barrow_S1IC4","Ochrophyta",231
"533","iceslush","Ochrophyta",837
"534","Barrow_S2C2","Ochrophyta",0
"535","Carboy3","Ochrophyta",0
"536","B23","Ochrophyta",0
"537","B33","Ochrophyta",0
"538","CTDSW","Ochrophyta",0
