"","SampleID","variable","value"
"1","core_1","Colpodella",391
"2","B51","Colpodella",22
"3","B12","Colpodella",225
"4","B11","Colpodella",211
"5","core_2","Colpodella",150
"6","B52","Colpodella",40
"7","dockslush_3","Colpodella",53
"8","B14","Colpodella",81
"9","blank771","Colpodella",397
"10","core_4","Colpodella",1794
"11","mock_3","Colpodella",0
"12","hero_13","Colpodella",0
"13","Carboy4","Colpodella",39
"14","Carboy7","Colpodella",114
"15","Barrow_S2C3","Colpodella",416
"16","Carboy2","Colpodella",89
"17","Barrow_S1IC6","Colpodella",210
"18","B22","Colpodella",53
"19","Barrow_S2C1D","Colpodella",318
"20","Barrow_S1IC5","Colpodella",791
"21","Carboy1","Colpodella",65
"22","B21","Colpodella",0
"23","B32","Colpodella",60
"24","Carboy8","Colpodella",68
"25","B31","Colpodella",62
"26","B42","Colpodella",93
"27","blankMQ121118","Colpodella",460
"28","Barrow_blank1","Colpodella",0
"29","B41","Colpodella",27
"30","Barrow_blank2","Colpodella",0
"31","blankdry2","Colpodella",0
"32","blankFiltSW1","Colpodella",108
"33","core_3","Colpodella",100
"34","B53","Colpodella",23
"35","dockslush_2","Colpodella",0
"36","B13","Colpodella",290
"37","dockslush_1","Colpodella",68
"38","mock_1","Colpodella",0
"39","core_6","Colpodella",24
"40","mock_2","Colpodella",0
"41","hero_11","Colpodella",99
"42","hero_12","Colpodella",0
"43","Carboy6","Colpodella",93
"44","Carboy5","Colpodella",72
"45","blankMQ191118","Colpodella",408
"46","Barrow_S1IC4","Colpodella",319
"47","iceslush","Colpodella",0
"48","Barrow_S2C2","Colpodella",736
"49","Carboy3","Colpodella",97
"50","B23","Colpodella",96
"51","B33","Colpodella",40
"52","CTDSW","Colpodella",192
"53","Carboy9","Colpodella",135
"54","B43","Colpodella",42
"55","core_1","",169
"56","B51","",0
"57","B12","",0
"58","B11","",61
"59","core_2","",439
"60","B52","",44
"61","dockslush_3","",0
"62","B14","",305
"63","blank771","",139
"64","core_4","",23
"65","mock_3","",0
"66","hero_13","",0
"67","Carboy4","",0
"68","Carboy7","",0
"69","Barrow_S2C3","",5567
"70","Carboy2","",0
"71","Barrow_S1IC6","",2162
"72","B22","",0
"73","Barrow_S2C1D","",3716
"74","Barrow_S1IC5","",1877
"75","Carboy1","",0
"76","B21","",0
"77","B32","",0
"78","Carboy8","",0
"79","B31","",0
"80","B42","",0
"81","blankMQ121118","",79
"82","Barrow_blank1","",0
"83","B41","",0
"84","Barrow_blank2","",926
"85","blankdry2","",0
"86","blankFiltSW1","",0
"87","core_3","",612
"88","B53","",0
"89","dockslush_2","",137
"90","B13","",42
"91","dockslush_1","",0
"92","mock_1","",0
"93","core_6","",41
"94","mock_2","",0
"95","hero_11","",0
"96","hero_12","",0
"97","Carboy6","",0
"98","Carboy5","",0
"99","blankMQ191118","",0
"100","Barrow_S1IC4","",483
"101","iceslush","",71
"102","Barrow_S2C2","",11361
"103","Carboy3","",0
"104","B23","",0
"105","B33","",0
"106","CTDSW","",0
"107","Carboy9","",0
