"","SampleID","variable","value"
"1","core_1","Colpodella_sp.",391
"2","B51","Colpodella_sp.",22
"3","B12","Colpodella_sp.",225
"4","B11","Colpodella_sp.",211
"5","core_2","Colpodella_sp.",150
"6","B52","Colpodella_sp.",40
"7","dockslush_3","Colpodella_sp.",53
"8","B14","Colpodella_sp.",81
"9","blank771","Colpodella_sp.",397
"10","core_4","Colpodella_sp.",1794
"11","mock_3","Colpodella_sp.",0
"12","hero_13","Colpodella_sp.",0
"13","Carboy4","Colpodella_sp.",39
"14","Carboy7","Colpodella_sp.",114
"15","Barrow_S2C3","Colpodella_sp.",416
"16","Carboy2","Colpodella_sp.",89
"17","Barrow_S1IC6","Colpodella_sp.",210
"18","B22","Colpodella_sp.",53
"19","Barrow_S2C1D","Colpodella_sp.",318
"20","Barrow_S1IC5","Colpodella_sp.",791
"21","Carboy1","Colpodella_sp.",65
"22","B21","Colpodella_sp.",0
"23","B32","Colpodella_sp.",60
"24","Carboy8","Colpodella_sp.",68
"25","B31","Colpodella_sp.",62
"26","B42","Colpodella_sp.",93
"27","blankMQ121118","Colpodella_sp.",460
"28","Barrow_blank1","Colpodella_sp.",0
"29","B41","Colpodella_sp.",27
"30","Barrow_blank2","Colpodella_sp.",0
"31","blankdry2","Colpodella_sp.",0
"32","blankFiltSW1","Colpodella_sp.",108
"33","core_3","Colpodella_sp.",100
"34","B53","Colpodella_sp.",23
"35","dockslush_2","Colpodella_sp.",0
"36","B13","Colpodella_sp.",290
"37","dockslush_1","Colpodella_sp.",68
"38","mock_1","Colpodella_sp.",0
"39","core_6","Colpodella_sp.",24
"40","mock_2","Colpodella_sp.",0
"41","hero_11","Colpodella_sp.",99
"42","hero_12","Colpodella_sp.",0
"43","Carboy6","Colpodella_sp.",93
"44","Carboy5","Colpodella_sp.",72
"45","blankMQ191118","Colpodella_sp.",408
"46","Barrow_S1IC4","Colpodella_sp.",319
"47","iceslush","Colpodella_sp.",0
"48","Barrow_S2C2","Colpodella_sp.",736
"49","Carboy3","Colpodella_sp.",97
"50","B23","Colpodella_sp.",96
"51","B33","Colpodella_sp.",40
"52","CTDSW","Colpodella_sp.",192
"53","Carboy9","Colpodella_sp.",135
"54","B43","Colpodella_sp.",42
"55","core_1","Apicomplexa",169
"56","B51","Apicomplexa",0
"57","B12","Apicomplexa",0
"58","B11","Apicomplexa",61
"59","core_2","Apicomplexa",439
"60","B52","Apicomplexa",44
"61","dockslush_3","Apicomplexa",0
"62","B14","Apicomplexa",305
"63","blank771","Apicomplexa",139
"64","core_4","Apicomplexa",23
"65","mock_3","Apicomplexa",0
"66","hero_13","Apicomplexa",0
"67","Carboy4","Apicomplexa",0
"68","Carboy7","Apicomplexa",0
"69","Barrow_S2C3","Apicomplexa",5567
"70","Carboy2","Apicomplexa",0
"71","Barrow_S1IC6","Apicomplexa",2162
"72","B22","Apicomplexa",0
"73","Barrow_S2C1D","Apicomplexa",3716
"74","Barrow_S1IC5","Apicomplexa",1877
"75","Carboy1","Apicomplexa",0
"76","B21","Apicomplexa",0
"77","B32","Apicomplexa",0
"78","Carboy8","Apicomplexa",0
"79","B31","Apicomplexa",0
"80","B42","Apicomplexa",0
"81","blankMQ121118","Apicomplexa",79
"82","Barrow_blank1","Apicomplexa",0
"83","B41","Apicomplexa",0
"84","Barrow_blank2","Apicomplexa",926
"85","blankdry2","Apicomplexa",0
"86","blankFiltSW1","Apicomplexa",0
"87","core_3","Apicomplexa",612
"88","B53","Apicomplexa",0
"89","dockslush_2","Apicomplexa",137
"90","B13","Apicomplexa",42
"91","dockslush_1","Apicomplexa",0
"92","mock_1","Apicomplexa",0
"93","core_6","Apicomplexa",41
"94","mock_2","Apicomplexa",0
"95","hero_11","Apicomplexa",0
"96","hero_12","Apicomplexa",0
"97","Carboy6","Apicomplexa",0
"98","Carboy5","Apicomplexa",0
"99","blankMQ191118","Apicomplexa",0
"100","Barrow_S1IC4","Apicomplexa",483
"101","iceslush","Apicomplexa",71
"102","Barrow_S2C2","Apicomplexa",11361
"103","Carboy3","Apicomplexa",0
"104","B23","Apicomplexa",0
"105","B33","Apicomplexa",0
"106","CTDSW","Apicomplexa",0
"107","Carboy9","Apicomplexa",0
"108","B43","Apicomplexa",0
"109","core_1","Apusomonas_proboscidea",16386
"110","B51","Apusomonas_proboscidea",2224
"111","B12","Apusomonas_proboscidea",18327
