DATE,DAY,RFU,LN(RFU),PC,LN(PC),REPLICATE,TREATMENT
11/13/18,1,86.2,4.456670178,,,A,20ppt3C
11/14/18,2,87.3,4.469350463,,,A,20ppt3C
11/15/18,3,178.8,5.186267863,,,A,20ppt3C
11/16/18,4,152.3,5.02585226,,,A,20ppt3C
11/17/01,5,211.2,5.352805552,,,A,20ppt3C
11/18/18,6,320.1,5.768633447,,,A,20ppt3C
11/19/18,7,399,5.988961417,,,A,20ppt3C
11/20/18,8,502.8,6.220192477,,,A,20ppt3C
11/21/18,9,893.3,6.794922471,,,A,20ppt3C
11/22/18,10,1219,7.105786129,,,A,20ppt3C
11/13/18,1,118.1,4.771531723,,,B,20ppt3C
11/14/18,2,87.7,4.473921899,,,B,20ppt3C
11/15/18,3,103.4,4.638604962,,,B,20ppt3C
11/16/18,4,200.5,5.300814247,,,B,20ppt3C
11/17/01,5,178.8,5.186267863,,,B,20ppt3C
11/18/18,6,305.5,5.721949779,,,B,20ppt3C
11/19/18,7,438.7,6.083815808,,,B,20ppt3C
11/20/18,8,465.2,6.142467421,,,B,20ppt3C
11/21/18,9,770,6.646390515,,,B,20ppt3C
11/22/18,10,1892.5,7.545653985,,,B,20ppt3C
11/13/18,1,73.3,4.294560609,,,C,20ppt3C
11/14/18,2,88.1,4.478472533,,,C,20ppt3C
11/15/18,3,90.6,4.506454213,,,C,20ppt3C
11/16/18,4,253,5.533389489,,,C,20ppt3C
11/17/01,5,196.5,5.280662431,,,C,20ppt3C
11/18/18,6,388.2,5.961520671,,,C,20ppt3C
11/19/18,7,399.8,5.990964422,,,C,20ppt3C
11/20/18,8,688.3,6.534224789,,,C,20ppt3C
11/21/18,9,769.9,6.646260636,,,C,20ppt3C
11/22/18,10,949.5,6.85593553,,,C,20ppt3C
11/13/18,1,112,4.718498871,,,A,35ppt0C
11/14/18,2,188.3,5.238036436,,,A,35ppt0C
11/15/18,3,202.5,5.310739887,,,A,35ppt0C
11/16/18,4,404.2,6.001909805,,,A,35ppt0C
11/17/01,5,175.4,5.16706908,,,A,35ppt0C
11/18/18,6,244.4,5.498806227,,,A,35ppt0C
11/19/18,7,541.7,6.294712343,,,A,35ppt0C
11/20/18,8,725.2,6.586447479,,,A,35ppt0C
11/21/18,9,735.4,6.600414569,,,A,35ppt0C
11/22/18,10,746.5,6.615395617,,,A,35ppt0C
11/13/18,1,86.3,4.457829598,,,B,35ppt0C
11/14/18,2,129.8,4.865994804,,,B,35ppt0C
11/15/18,3,258,5.552959585,,,B,35ppt0C
11/16/18,4,179,5.187385806,,,B,35ppt0C
11/17/01,5,149.4,5.006627273,,,B,35ppt0C
11/18/18,6,263.4,5.573673789,,,B,35ppt0C
11/19/18,7,567.5,6.341240749,,,B,35ppt0C
11/20/18,8,584.3,6.37041455,,,B,35ppt0C
11/21/18,9,798.9,6.683235781,,,B,35ppt0C
11/22/18,10,789.2,6.671019774,,,B,35ppt0C
11/13/18,1,105.7,4.660604893,,,C,35ppt0C
11/14/18,2,121.8,4.802380355,,,C,35ppt0C
