Org,CN,Treatment
Tank,7.562499077,20ppt3C
Tank,7.764807399,20ppt3C
Tank,7.468322367,20ppt3C
Tank,6.336824706,35ppt0C
Tank,6.100972671,35ppt0C
Tank,6.034285423,35ppt0C
Tank,6.183481676,50ppt-3C
Tank,6.302305935,50ppt-3C
Tank,6.260115709,50ppt-3C
Field,8.00417345,Hero
Field,8.121178551,Hero
Field,8.116026621,Hero
Field,5.508343056,StaB1
Field,5.610546953,StaB1
Field,5.506405649,StaB1
Field,5.218421701,StaB2
Field,5.2080796,StaB2
Field,5.222394487,StaB2
Field,5.374371568,StaB3
Field,5.296753352,StaB3
Field,5.774709523,StaB3
Field,5.515156374,StaB4
Field,5.573393592,StaB4
Field,5.572814991,StaB4
Field,5.194091156,StaB5
Field,5.230283663,StaB5
Field,5.227043727,StaB5
